family,system,kind,kind_n,kernel,method,agg_bias_mean,agg_dist_mean,agg_spurious_mean,agg_trunc_mean,agg_bias_std,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,agg_horizon_instab,agg_horizon_sens,sc,vamp2,admissible_v2_fam,violations_v2_fam,rank_v2_fam,admissible_v2_pooled,violations_v2_pooled,rank_v2_pooled,admissible_v3_fam,violations_v3_fam,rank_v3_fam,admissible_v3_pooled,violations_v3_pooled,rank_v3_pooled,true_eig_err,agg_koopman_gap,score_noSSL_fam,score_noSSL_pooled,score_fam,score_pooled
hermite,duffing,omega=0.5,omega=0.5,hermite(good),PCR,1.6493604364679966e-06,68.70629323511676,0.0691472969209842,3.592656001934973e-08,6.22123903223733e-07,0.0141196073141351,,3.5,0.0,0.0031019737965358,-0.992735759529644,2.999999999999924,True,,2,True,,16,True,,1,True,,16,,0.0003891087209968,-0.021351783914899336,-1.7047088326668696,-1.109597195525956,-1.94417895973686
hermite,duffing,omega=0.5,omega=0.5,hermite(ugly),PCR,0.0,10.491186656738636,0.1749181012805512,0.0,0.0,0.0272581198405085,,1.0,0.0,0.0046307869547764,-0.1692971918433142,1.0000100361549296,True,,1,True,,1,True,,2,True,,4,,0.0,-3.062449178433635,-8.159689370080537,-1.3167221180429936,-6.163013870474662
hermite,duffing,omega=0.5,omega=0.5,hermite(bad),PCR,0.0278649356220454,11.023333194383136,0.0748432353113405,0.0031074557916253,0.0109925612486073,0.01768126942363,,3.5,3.722674913886337e-07,0.0039924127034796,-0.8387589539214296,3.0000000000002065,True,,3,True,,60,True,,3,True,,65,,0.0003562257218001,3.0838009623485285,0.03253615593835746,2.4263193135689445,-0.12421904001711075
linear,duffing,omega=0.5,omega=0.5,linear,PCR,0.0,7.801958753247092,0.304177224695502,0.0,0.0,0.0158986448429441,,4.6,0.0,0.0541616683729032,-1.0107171894756124,1.9999999999999856,True,,1,True,,5,True,,1,True,,8,,0.2143030797648507,0.0,-3.3769201945604577,0.0,-2.729144299320542
poly,duffing,omega=0.5,omega=0.5,poly(p=1),PCR,0.0,9.47816205606934,0.0590050161288939,0.0,0.0,0.0047796874054318,,3.6,0.0,0.0088800088446543,-0.8400144838685107,2.9999999999999485,True,,1,True,,4,True,,1,True,,2,,0.0126382149393281,-8.86084831639859,-7.0452373754855815,-9.53576304496633,-7.2026670306405345
poly,duffing,omega=0.5,omega=0.5,poly(p=2),PCR,0.0902202867208627,9.96074942144154,0.0732981550694616,0.0110505416743142,0.0342914696728988,0.013120027972255,,4.0,1.5756108198150542e-06,0.0341136500204314,0.0712053784335061,3.000000000000325,True,,3,True,,95,True,,2,True,,95,,0.0130898994253949,1.4312242679768508,0.7755764435933191,0.8615922039234756,1.1076457609813681
poly,duffing,omega=0.5,omega=0.5,poly(p=3),PCR,0.2983687920285242,8.66287975804925,0.0852410436864853,0.0401596396875258,0.1080220184918732,0.0148696708836764,,4.0,1.7909139600980062e-05,0.0335036053499622,2.9369187213923578,3.0000000000004925,True,,2,True,,101,True,,3,True,,117,,0.0145202461704129,2.1366605259522036,1.1196822233862709,2.1572651383971886,2.9911865278894547
poly,duffing,omega=0.5,omega=0.5,poly(p=4),PCR,0.7549925504710789,7.687149362472814,0.1012389042146268,0.1122735181608188,0.2766658222216167,0.0163230684998032,,4.0,4.948414583894056e-05,0.0574336949097477,10.671824437462064,3.000000000002475,True,,4,True,,105,True,,4,True,,123,,0.0178056203942036,5.2929635224695355,1.471537603417382,6.516679376555959,7.498162485701813
rbf,duffing,omega=0.5,omega=0.5,rbf(gamma=0.28078368544787685),PCR,0.0545677424962467,10.156069989701098,0.048393984350826,0.0053729191066605,,,,2.0,9.934690495150278e-06,0.0,-1.0370851702015889,3.000000000000286,True,,2,True,,7,True,,2,True,,6,,0.0087487307058266,-7.436507146792863,-3.3167979713069697,-6.362028627084567,-3.580092196001733
rbf,duffing,omega=0.5,omega=0.5,rbf(gamma=0.14039184272393843),PCR,0.0176513176741986,10.628935482621896,0.0503722007601147,0.0016606853718378,,,,2.0,1.9434892695180395e-06,0.0,-1.0188542876607147,3.0000000000002043,True,,1,True,,6,True,,1,True,,5,,0.0098778545383701,-8.28248350658012,-3.5001486067243723,-6.930826547970169,-3.75364936812715
