kind,kernel,method,trial,spec_radius,ps_radius,ps_margin,henrici
omega=0.5,rbf(gamma=0.5172457127233419),PCR,0,1.000028500138478,1.003954351442042,0.003925851303563821,0.015102891849736667
omega=0.5,rbf(gamma=1.0344914254466837),PCR,0,1.000023241702184,1.0039502905849154,0.003927048882731432,0.013151111598073001
omega=0.5,rbf(gamma=2.0689828508933674),PCR,0,1.0003624818350687,1.0042122706934726,0.003849788858403924,0.00832277090599438
omega=0.5,rbf(gamma=0.23806951525847414),PCR,1,1.0000093795941758,1.003939585493717,0.003930205899541184,0.01709231965259221
omega=0.5,rbf(gamma=0.4761390305169483),PCR,1,1.0000296719653607,1.00395525639197,0.003925584426609285,0.015476687553605489
omega=0.5,rbf(gamma=0.9522780610338966),PCR,1,1.0000943910712243,1.004005236086989,0.0039108450157647745,0.0142025428488765
omega=0.5,rbf(gamma=0.5248674161991063),PCR,2,1.0000405395805365,1.003963648969167,0.003923109388630497,0.015080323183536696
omega=0.5,rbf(gamma=1.0497348323982125),PCR,2,1.0000691639825234,1.0039857543252646,0.003916590342741166,0.013389771102239274
omega=0.5,rbf(gamma=2.099469664796425),PCR,2,1.0002852615118885,1.004152636862777,0.0038673753508884356,0.011056647701074746
omega=0.5,rbf(gamma=0.280783685447862),PCR,3,1.0000198695598872,1.0039476864289818,0.0039278168690946025,0.017416937506700824
omega=0.5,rbf(gamma=0.561567370895724),PCR,3,1.0000771885251025,1.0039919513235915,0.003914762798489013,0.01577386695274216
omega=0.5,rbf(gamma=1.123134741791448),PCR,3,1.0001739281701927,1.0040666590608718,0.003892730890679097,0.014627425788548193
omega=0.5,rbf(gamma=0.5322788041364971),PCR,4,1.0000304885463136,1.003955887001223,0.003925398454909468,0.01539823867919591
omega=0.5,rbf(gamma=1.0645576082729942),PCR,4,1.0000557549796456,1.003975399147062,0.003919644167416303,0.013572666356774841
omega=0.5,rbf(gamma=2.1291152165459883),PCR,4,1.000347066644455,1.0042003662254604,0.0038532995810054427,0.01100585547807156
omega=0.5,rbf(gamma=0.5172457127233419),Reduced Rank,0,1.000028500138478,1.003954351442042,0.003925851303563821,0.015102891849736667
omega=0.5,rbf(gamma=1.0344914254466837),Reduced Rank,0,1.000023241702184,1.0039502905849154,0.003927048882731432,0.013151111598073001
omega=0.5,rbf(gamma=2.0689828508933674),Reduced Rank,0,1.0003624818350687,1.0042122706934726,0.003849788858403924,0.00832277090599438
omega=0.5,rbf(gamma=0.23806951525847414),Reduced Rank,1,1.0000093795941758,1.003939585493717,0.003930205899541184,0.01709231965259221
omega=0.5,rbf(gamma=0.4761390305169483),Reduced Rank,1,1.0000296719653607,1.00395525639197,0.003925584426609285,0.015476687553605489
omega=0.5,rbf(gamma=0.9522780610338966),Reduced Rank,1,1.0000943910712243,1.004005236086989,0.0039108450157647745,0.0142025428488765
omega=0.5,rbf(gamma=0.5248674161991063),Reduced Rank,2,1.0000405395805365,1.003963648969167,0.003923109388630497,0.015080323183536696
omega=0.5,rbf(gamma=1.0497348323982125),Reduced Rank,2,1.0000691639825234,1.0039857543252646,0.003916590342741166,0.013389771102239274
omega=0.5,rbf(gamma=2.099469664796425),Reduced Rank,2,1.0002852615118885,1.004152636862777,0.0038673753508884356,0.011056647701074746
omega=0.5,rbf(gamma=0.280783685447862),Reduced Rank,3,1.0000198695598872,1.0039476864289818,0.0039278168690946025,0.017416937506700824
omega=0.5,rbf(gamma=0.561567370895724),Reduced Rank,3,1.0000771885251025,1.0039919513235915,0.003914762798489013,0.01577386695274216
omega=0.5,rbf(gamma=1.123134741791448),Reduced Rank,3,1.0001739281701927,1.0040666590608718,0.003892730890679097,0.014627425788548193
omega=0.5,rbf(gamma=0.5322788041364971),Reduced Rank,4,1.0000304885463136,1.003955887001223,0.003925398454909468,0.01539823867919591
omega=0.5,rbf(gamma=1.0645576082729942),Reduced Rank,4,1.0000557549796456,1.003975399147062,0.003919644167416303,0.013572666356774841
omega=0.5,rbf(gamma=2.1291152165459883),Reduced Rank,4,1.000347066644455,1.0042003662254604,0.0038532995810054427,0.01100585547807156
omega=1.5,rbf(gamma=0.35748085434752047),PCR,0,1.00000377463116,1.0039352570293727,0.003931482398212616,0.022833290918728318
omega=1.5,rbf(gamma=0.7149617086950409),PCR,0,0.9999508045043619,1.003894350549792,0.003943546045430013,0.022443285380703407
omega=1.5,rbf(gamma=1.4299234173900819),PCR,0,1.0002337896141047,1.0041128873990144,0.003879097784909691,0.025844197995215694
omega=1.5,rbf(gamma=0.642235755219055),PCR,1,1.0000853765227915,1.0050766833200935,0.004991306797301975,0.03330298490026731
omega=1.5,rbf(gamma=1.28447151043811),PCR,1,1.000128094720679,1.0051097081240221,0.0049816134033431325,0.027051007329065443
omega=1.5,rbf(gamma=2.56894302087622),PCR,1,1.0001633558479321,1.0051369679774669,0.004973612129534732,0.020792933479810455
omega=1.5,rbf(gamma=0.3190836761396936),PCR,2,1.0000097448870713,1.0039398675932183,0.00393012270614701,0.021114943507109633
omega=1.5,rbf(gamma=0.6381673522793871),PCR,2,1.0000127463579929,1.003942185496089,0.00392943913809618,0.017483577814777235
omega=1.5,rbf(gamma=1.2763347045587743),PCR,2,1.0000238729159696,1.0039507780433266,0.003926905127356939,0.018577204317515295
omega=1.5,rbf(gamma=0.6034676736658823),PCR,3,1.0000958872022294,1.0050848089701625,0.0049889217679330855,0.036514688758789646
omega=1.5,rbf(gamma=1.2069353473317646),PCR,3,1.000142373756953,1.005120747034757,0.004978373277803927,0.029723333820541924
omega=1.5,rbf(gamma=2.413870694663529),PCR,3,1.0001805887825557,1.0001805887825557,0.0,0.022789942867207716
omega=1.5,rbf(gamma=0.745749163487558),PCR,4,1.0000222697756203,1.005027896431719,0.005005626656098716,0.010617112576986734
omega=1.5,rbf(gamma=1.491498326975116),PCR,4,1.0000394878744068,1.0050412074880033,0.0050017196135965225,0.008636588541635409
omega=1.5,rbf(gamma=2.982996653950232),PCR,4,1.0000603628011335,1.0050573455836223,0.004996982782488724,0.00937052030132284
omega=1.5,rbf(gamma=0.35748085434752047),Reduced Rank,0,1.00000377463116,1.0039352570293727,0.003931482398212616,0.022833290918728318
omega=1.5,rbf(gamma=0.7149617086950409),Reduced Rank,0,0.9999508045043619,1.003894350549792,0.003943546045430013,0.022443285380703407
omega=1.5,rbf(gamma=1.4299234173900819),Reduced Rank,0,1.0002337896141047,1.0041128873990144,0.003879097784909691,0.025844197995215694
omega=1.5,rbf(gamma=0.642235755219055),Reduced Rank,1,1.0000853765227915,1.0050766833200935,0.004991306797301975,0.03330298490026731
omega=1.5,rbf(gamma=1.28447151043811),Reduced Rank,1,1.000128094720679,1.0051097081240221,0.0049816134033431325,0.027051007329065443
omega=1.5,rbf(gamma=2.56894302087622),Reduced Rank,1,1.0001633558479321,1.0051369679774669,0.004973612129534732,0.020792933479810455
omega=1.5,rbf(gamma=0.3190836761396936),Reduced Rank,2,1.0000097448870713,1.0039398675932183,0.00393012270614701,0.021114943507109633
omega=1.5,rbf(gamma=0.6381673522793871),Reduced Rank,2,1.0000127463579929,1.003942185496089,0.00392943913809618,0.017483577814777235
omega=1.5,rbf(gamma=1.2763347045587743),Reduced Rank,2,1.0000238729159696,1.0039507780433266,0.003926905127356939,0.018577204317515295
omega=1.5,rbf(gamma=0.6034676736658823),Reduced Rank,3,1.0000958872022294,1.0050848089701625,0.0049889217679330855,0.036514688758789646
omega=1.5,rbf(gamma=1.2069353473317646),Reduced Rank,3,1.000142373756953,1.005120747034757,0.004978373277803927,0.029723333820541924
omega=1.5,rbf(gamma=2.413870694663529),Reduced Rank,3,1.0001805887825557,1.0001805887825557,0.0,0.022789942867207716
omega=1.5,rbf(gamma=0.745749163487558),Reduced Rank,4,1.0000222697756203,1.005027896431719,0.005005626656098716,0.010617112576986734
omega=1.5,rbf(gamma=1.491498326975116),Reduced Rank,4,1.0000394878744068,1.0050412074880033,0.0050017196135965225,0.008636588541635409
omega=1.5,rbf(gamma=2.982996653950232),Reduced Rank,4,1.0000603628011335,1.0050573455836223,0.004996982782488724,0.00937052030132284
omega=3.0,rbf(gamma=2.5776209622828685),PCR,0,1.0002677456903042,1.0041391101706343,0.0038713644803300973,0.024618292973080436
omega=3.0,rbf(gamma=5.155241924565737),PCR,0,1.0003058130482976,1.0003058130482976,0.0,0.01899259072156541
omega=3.0,rbf(gamma=10.310483849131474),PCR,0,1.000278612022282,1.000278612022282,0.0,0.021293307755054135
omega=3.0,rbf(gamma=4.576783367952412),PCR,1,1.0002951927557984,1.0041603063219753,0.0038651135661769143,0.027176393688043553
omega=3.0,rbf(gamma=9.153566735904825),PCR,1,1.0003321311062572,1.004188832171735,0.0038567010654777523,0.030040644614107957
omega=3.0,rbf(gamma=18.30713347180965),PCR,1,1.000360062414695,1.004210402282425,0.0038503398677298684,0.03927367302841944
omega=3.0,rbf(gamma=3.606908227376386),PCR,2,1.000289644214941,1.0041560214299616,0.0038663772150207,0.027307379950498825
omega=3.0,rbf(gamma=7.213816454752772),PCR,2,1.0003041998951336,1.0003041998951336,0.0,0.02648738959025085
omega=3.0,rbf(gamma=14.427632909505544),PCR,2,1.0001630090342093,1.0001630090342093,0.0,0.028138186802140853
