kind,kernel,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag
omega=0.5,encoder(d=4),SSL+Ridge (PCR),0,1,0.0004958743980738686,10.911777402085091,4.544396204225297e-05,0.1254383895757072,0.0010352720619775102,1.0001390716882903,0.0
omega=0.5,encoder(d=4),SSL+Ridge (PCR),0,2,0.0011921887747386093,26.23426130032707,4.544396204225297e-05,0.09999250210784645,0.0010352720619775102,0.9991037996263128,0.0
omega=0.5,encoder(d=4),SSL+Ridge (PCR),0,3,0.0014844393732162797,32.66527183162584,4.544396204225297e-05,0.11421382904036015,0.0010352720619775102,0.9984444032145153,0.0
omega=0.5,encoder(d=4),SSL+Ridge (RRR),0,1,0.04591756251032474,11.467817340451951,0.004004036788095119,0.12601712172534776,0.001031283868436761,1.0001342838129013,0.0
omega=0.5,encoder(d=4),SSL+Ridge (RRR),0,2,0.10524549732013443,26.28484773992397,0.004004036788095119,0.10074382570936014,0.001031283868436761,0.9991029999444645,0.0
omega=0.5,encoder(d=4),SSL+Ridge (RRR),0,3,0.13083002046875553,32.67453007868007,0.004004036788095119,0.11439370038531334,0.001031283868436761,0.9984463296607392,0.0
omega=0.5,encoder(d=4),SSL+CCA,0,1,18.378430353603967,18.38681108649715,0.9995441986729641,0.04774892651148608,0.0005295540242938879,1.0000488073660618,0.0
omega=0.5,encoder(d=4),SSL+CCA,0,2,51.62538517741878,51.64892682680642,0.9995441986729641,0.13235223767826496,0.0005295540242938879,0.9994968362495105,0.00669418614207444
omega=0.5,encoder(d=4),SSL+CCA,0,3,51.62538517741878,51.64892682680642,0.9995441986729641,0.13235223767826496,0.0005295540242938879,0.9994968362495105,-0.00669418614207444
omega=0.5,encoder(d=4),SSL+Ridge (PCR),1,1,0.0016286382022964608,17.518012465051843,9.296934829482329e-05,0.09990405965030721,0.0010193075750879466,1.0000868293711123,0.0
omega=0.5,encoder(d=4),SSL+Ridge (PCR),1,2,0.003024534645785376,32.532600273737614,9.296934829482329e-05,0.1413355943770088,0.0010193075750879466,0.9990674760141827,0.00030245379805252294
omega=0.5,encoder(d=4),SSL+Ridge (PCR),1,3,0.003024534645785376,32.532600273737614,9.296934829482329e-05,0.1413355943770088,0.0010193075750879466,0.9990674760141827,-0.00030245379805252294
omega=0.5,encoder(d=4),SSL+Ridge (RRR),1,1,0.15679692585287758,17.561183015621825,0.008928608380961375,0.09985708617165981,0.001020292088513175,1.0000879836461043,0.0
omega=0.5,encoder(d=4),SSL+Ridge (RRR),1,2,0.2904594970603769,32.53132903440235,0.008928608380961375,0.14138481452895824,0.001020292088513175,0.9990676444498934,0.0003068021441837251
omega=0.5,encoder(d=4),SSL+Ridge (RRR),1,3,0.2904594970603769,32.53132903440235,0.008928608380961375,0.14138481452895824,0.001020292088513175,0.9990676444498934,-0.0003068021441837251
omega=0.5,encoder(d=4),SSL+CCA,1,1,26.246218284721053,26.260455747273415,0.9994578364256362,0.07389029768709764,0.00013490895999801467,0.9999834796907174,0.0
omega=0.5,encoder(d=4),SSL+CCA,1,2,37.17353049797897,37.19369556491024,0.9994578364256362,0.13504127923590237,0.00013490895999801467,0.9998470070749084,0.001768286065803699
omega=0.5,encoder(d=4),SSL+CCA,1,3,37.17353049797897,37.19369556491024,0.9994578364256362,0.13504127923590237,0.00013490895999801467,0.9998470070749084,-0.001768286065803699
omega=0.5,encoder(d=4),SSL+Ridge (PCR),2,1,0.00012652112247789403,23.773460630594663,5.32194805139437e-06,0.09932363311473005,0.0019007135418362964,0.9998596130743602,0.0
omega=0.5,encoder(d=4),SSL+Ridge (PCR),2,2,0.00022660647780829715,42.57961100332902,5.32194805139437e-06,0.1373922233101596,0.0019007135418362964,0.9978818860852556,0.012397845744281814
omega=0.5,encoder(d=4),SSL+Ridge (PCR),2,3,0.00022660647780829715,42.57961100332902,5.32194805139437e-06,0.1373922233101596,0.0019007135418362964,0.9978818860852556,-0.012397845744281814
omega=0.5,encoder(d=4),SSL+Ridge (RRR),2,1,0.04057087258625922,23.7860995757885,0.0017056547021082715,0.09964598013494377,0.0019037485003663424,0.9998606094575394,0.0
omega=0.5,encoder(d=4),SSL+Ridge (RRR),2,2,0.07266982602964404,42.605238879722044,0.0017056547021082715,0.13758689106227254,0.0019037485003663424,0.9978798228645297,0.012399816585296009
omega=0.5,encoder(d=4),SSL+Ridge (RRR),2,3,0.07266982602964404,42.605238879722044,0.0017056547021082715,0.13758689106227254,0.0019037485003663424,0.9978798228645297,-0.012399816585296009
omega=0.5,encoder(d=4),SSL+CCA,2,1,34.500845911874954,34.539176266263155,0.9988902354215773,0.08925027243606325,0.00037039063973409725,0.9999076451140153,0.0
omega=0.5,encoder(d=4),SSL+CCA,2,2,49.16977878327353,49.22440628576336,0.9988902354215773,0.13622101577700954,0.00037039063973409725,0.9994687207004305,0.011704675280793579
omega=0.5,encoder(d=4),SSL+CCA,2,3,49.16977878327353,49.22440628576336,0.9988902354215773,0.13622101577700954,0.00037039063973409725,0.9994687207004305,-0.011704675280793579
omega=0.5,encoder(d=8),SSL+Ridge (PCR),0,1,0.0032489225625701793,5.792399534389236,0.0005608940721857083,0.10892904381952986,0.0011053580527274898,1.0002957262384207,0.0
omega=0.5,encoder(d=8),SSL+Ridge (PCR),0,2,0.01078953369977116,19.236312585237695,0.0005608940721857083,0.12028040560232475,0.0011053580527274898,0.999190156403827,0.0006505541921190596
