kernel,kind,method,eigenfunction_id,n,bias_mean,bias_std,dist_mean,trunc_mean,spurious_mean,spurious_std
encoder(d=16),omega=0.5,SSL+CCA,1,3,16.61040861834076,1.5250036756905263,16.610415935032005,0.999999534579862,0.03252151271036937,0.013977791145753538
encoder(d=16),omega=0.5,SSL+CCA,2,3,56.39802381848856,37.91894637331042,56.398062218793456,0.999999534579862,0.10751242781535192,0.07124835817429677
encoder(d=16),omega=0.5,SSL+CCA,3,3,74.57283656736391,11.83799676264981,74.57287675886106,0.999999534579862,0.1443286822761185,0.015673778952504165
encoder(d=16),omega=0.5,SSL+Ridge (PCR),1,3,0.032582049433438405,0.030452024132154164,9.013928716913112,0.003320506561675851,0.09942602189910844,0.04378625002995957
encoder(d=16),omega=0.5,SSL+Ridge (PCR),2,3,0.03876142824897406,0.0325439603895486,10.371507020914402,0.003320506561675851,0.11034967029958602,0.04299576990855746
encoder(d=16),omega=0.5,SSL+Ridge (PCR),3,3,0.042358424479341024,0.03635635928726701,11.745993707170683,0.003320506561675851,0.15348794362670518,0.017746025550118647
encoder(d=16),omega=0.5,SSL+Ridge (RRR),1,3,1.2076798633297503,1.3120495632175193,10.817862796749864,0.09305452659001745,0.09939280505623359,0.04443558539522159
encoder(d=16),omega=0.5,SSL+Ridge (RRR),2,3,1.3645183511931693,1.252236517958166,12.887978175405848,0.09305452659001745,0.10996572760969255,0.044092255560354794
encoder(d=16),omega=0.5,SSL+Ridge (RRR),3,3,1.5129867810431883,1.34252979378634,15.540270276069513,0.09305452659001745,0.15412936285071618,0.01766597079351751
encoder(d=16),omega=1.5,SSL+CCA,1,3,22.220624470995713,6.093849995342849,22.2206532186365,0.9999988086924523,0.03991324096988686,0.030145399330516034
encoder(d=16),omega=1.5,SSL+CCA,2,3,79.43767031511136,80.58441165893049,79.43780463897556,0.9999988086924523,0.09642470233750396,0.05592469157464523
encoder(d=16),omega=1.5,SSL+CCA,3,3,144.07168987656766,93.27376786859821,144.0719067886018,0.9999988086924523,0.11703998508315126,0.023816615733643007
encoder(d=16),omega=1.5,SSL+Ridge (PCR),1,3,0.04019275526249223,0.06343204341616367,7.825015106566432,0.00579308994029737,0.08219212830653695,0.04290062866330099
encoder(d=16),omega=1.5,SSL+Ridge (PCR),2,3,0.03648242901172069,0.05447871884107592,17.49295149003728,0.00579308994029737,0.14805785407725122,0.03243715611396011
encoder(d=16),omega=1.5,SSL+Ridge (PCR),3,3,0.03648242901172069,0.05447871884107592,17.49295149003728,0.00579308994029737,0.14805785407725122,0.03243715611396011
