kind,kernel,method,trial,data_seed,spurious_ref_count,spurious_residual_count,spectral_gap,rank,vamp2
all,encoder(d=4),SSL+Ridge (PCR),0,0,2,3,0.07287395921174455,3,2.382610458357809
all,encoder(d=4),SSL+Ridge (RRR),0,0,2,3,0.06960643358226493,3,2.382610458357809
all,encoder(d=4),SSL+CCA,0,0,2,3,0.05882705412943812,3,2.382610458357809
all,encoder(d=4),SSL+Ridge (PCR),1,1,1,3,0.05186766319269409,3,2.4739201162478013
all,encoder(d=4),SSL+Ridge (RRR),1,1,1,3,0.05174387108629819,3,2.4739201162478013
all,encoder(d=4),SSL+CCA,1,1,1,3,0.05183686076514715,3,2.4739201162478013
all,encoder(d=4),SSL+Ridge (PCR),2,2,1,3,0.0484496388750828,3,2.5114523891084097
all,encoder(d=4),SSL+Ridge (RRR),2,2,1,3,0.044600757014326864,3,2.5114523891084097
all,encoder(d=4),SSL+CCA,2,2,1,3,0.04206886661064069,3,2.5114523891084097
all,encoder(d=8),SSL+Ridge (PCR),0,0,1,2,0.06019653599821728,3,2.5208717664724043
all,encoder(d=8),SSL+Ridge (RRR),0,0,1,2,0.0567624124461823,3,2.5208717664724043
all,encoder(d=8),SSL+CCA,0,0,1,2,0.05312997833115496,3,2.5208717664724043
all,encoder(d=8),SSL+Ridge (PCR),1,1,1,2,0.05494131163344251,3,2.50318302682068
all,encoder(d=8),SSL+Ridge (RRR),1,1,1,2,0.050593740682778665,3,2.50318302682068
all,encoder(d=8),SSL+CCA,1,1,1,2,0.04727013006515568,3,2.50318302682068
all,encoder(d=8),SSL+Ridge (PCR),2,2,1,3,0.0523707663421531,3,2.539834265149162
all,encoder(d=8),SSL+Ridge (RRR),2,2,1,3,0.04473253862942539,3,2.539834265149162
all,encoder(d=8),SSL+CCA,2,2,1,2,0.041081208597376295,3,2.539834265149162
all,encoder(d=16),SSL+Ridge (PCR),0,0,1,2,0.05936764651589421,3,2.525714680345734
all,encoder(d=16),SSL+Ridge (RRR),0,0,1,2,0.056021337146425876,3,2.525714680345734
all,encoder(d=16),SSL+CCA,0,0,1,2,0.05350142431068361,3,2.525714680345734
all,encoder(d=16),SSL+Ridge (PCR),1,1,1,2,0.05637931472706725,3,2.4899629128079654
all,encoder(d=16),SSL+Ridge (RRR),1,1,1,2,0.051200603891026986,3,2.4899629128079654
all,encoder(d=16),SSL+CCA,1,1,1,2,0.04764557006144421,3,2.4899629128079654
all,encoder(d=16),SSL+Ridge (PCR),2,2,1,2,0.048625940234319986,3,2.54185949335003
all,encoder(d=16),SSL+Ridge (RRR),2,2,1,2,0.043620084612471355,3,2.54185949335003
all,encoder(d=16),SSL+CCA,2,2,1,2,0.04097066184409481,3,2.54185949335003
