kernel,kind,method,eigenfunction_id,n,bias_mean,bias_std,dist_mean,trunc_mean,spurious_mean,spurious_std
encoder(d=16),A=rev,SSL+CCA,1,3,14.318821967076095,5.614292689668702,14.92575170409509,0.9572546314416425,0.024243562806523497,0.01099773367168406
encoder(d=16),A=rev,SSL+CCA,2,3,65.57699493987683,21.360095900317813,68.44994329224004,0.9572546314416425,0.4824417311920513,0.006825745172136002
encoder(d=16),A=rev,SSL+CCA,3,3,98.74584844839349,17.48881795522477,103.23727528195316,0.9572546314416425,0.584463028392562,0.029471237385903473
encoder(d=16),A=rev,SSL+Ridge (PCR),1,3,0.3440332876351626,0.5126240458797086,6.811227378469531,0.05144923603658568,0.25231904981144043,0.13149454632235258
encoder(d=16),A=rev,SSL+Ridge (PCR),2,3,0.313938130464541,0.47066260793546993,5.991418272434487,0.05144923603658568,0.4819896152111847,0.008615256024631627
encoder(d=16),A=rev,SSL+Ridge (PCR),3,3,0.3275737081476995,0.48836104516553447,6.493692800504103,0.05144923603658568,0.564421263416342,0.039539481478883184
encoder(d=16),A=rev,SSL+Ridge (RRR),1,3,8.96634032697856,13.55985888606652,10.904858793207248,0.6371382273031497,0.24291697195318432,0.12678144332625393
encoder(d=16),A=rev,SSL+Ridge (RRR),2,3,8.977281006430145,12.140492105642776,15.298941110338061,0.6371382273031497,0.48094394454326705,0.008166834552725703
encoder(d=16),A=rev,SSL+Ridge (RRR),3,3,11.311013673136562,15.703265483963339,18.064023353004863,0.6371382273031497,0.5661578852398285,0.03870544635548362
encoder(d=16),A=rot,SSL+CCA,1,3,11.893274495098318,1.2419472725308105,12.42706884710365,0.9574834206352479,0.031018332083395467,0.02221188059181476
encoder(d=16),A=rot,SSL+CCA,2,3,67.50512232164694,18.183965896444075,70.42560005183338,0.9574834206352479,0.4907782556297184,0.001468226351735613
encoder(d=16),A=rot,SSL+CCA,3,3,67.50512232164694,18.183965896444075,70.42560005183338,0.9574834206352479,0.4907782556297184,0.001468226351735613
encoder(d=16),A=rot,SSL+Ridge (PCR),1,3,1.3097121002482195,1.861388127797582,6.622743275030288,0.20078044133220663,0.3042509674368045,0.06363913535911737
encoder(d=16),A=rot,SSL+Ridge (PCR),2,3,1.1756536139202491,1.6618273253680764,6.0501720371984336,0.20078044133220663,0.5060940909363961,0.05051219668797387
encoder(d=16),A=rot,SSL+Ridge (PCR),3,3,1.1756536139202491,1.6618273253680764,6.0501720371984336,0.20078044133220663,0.5060940909363961,0.05051219668797387
encoder(d=16),A=rot,SSL+Ridge (RRR),1,3,9.842282194428968,10.670460158393205,10.838290497087288,0.808979335817095,0.2950118378210815,0.05972583659626458
encoder(d=16),A=rot,SSL+Ridge (RRR),2,3,12.772584707396208,10.058811386608761,16.845118288345848,0.808979335817095,0.5058270987352661,0.048732078000539206
encoder(d=16),A=rot,SSL+Ridge (RRR),3,3,12.772584707396208,10.058811386608761,16.845118288345848,0.808979335817095,0.5058270987352661,0.048732078000539206
encoder(d=4),A=rev,SSL+CCA,1,3,24.31476860328503,3.7943805110344386,26.682517385039585,0.9117165263449566,0.1888637593027587,0.02920470412851438
encoder(d=4),A=rev,SSL+CCA,2,3,28.09859458469432,18.27563288577457,30.883884593398076,0.9117165263449566,0.4879571213572887,0.015585606938106414
encoder(d=4),A=rev,SSL+CCA,3,3,41.54528819652956,20.651477545354926,45.634957738207156,0.9117165263449566,0.5983678847061958,0.04026960348296743
encoder(d=4),A=rev,SSL+Ridge (PCR),1,3,0.004271066666254157,0.004017141072603099,22.58606430998852,0.00018375720704820776,0.252152952729268,0.043948496391716614
encoder(d=4),A=rev,SSL+Ridge (PCR),2,3,0.002725722347014226,0.0013785844865592104,20.852500836823147,0.00018375720704820776,0.4936898551359961,0.0263671034981917
