system,kind,kernel,trial,final_train_loss,final_val_loss,method,latent_norm_mean,latent_norm_std,latent_cov_rank,operator_rank
linear,A=rev,encoder(d=4),0,-0.9533244669437408,-0.5448148250579834,SSL+Ridge (PCR),0.9434261075371757,0.7830078249727058,4,3
linear,A=rev,encoder(d=4),0,-0.9533244669437408,-0.5448148250579834,SSL+Ridge (RRR),0.9434261075371757,0.7830078249727058,4,3
linear,A=rev,encoder(d=4),0,-0.9533244669437408,-0.5448148250579834,SSL+CCA,0.9434261075371757,0.7830078249727058,4,3
linear,A=rev,encoder(d=4),1,-1.925477921962738,-1.253050684928894,SSL+Ridge (PCR),1.4255272548094546,1.056100942891368,4,3
linear,A=rev,encoder(d=4),1,-1.925477921962738,-1.253050684928894,SSL+Ridge (RRR),1.4255272548094546,1.056100942891368,4,3
linear,A=rev,encoder(d=4),1,-1.925477921962738,-1.253050684928894,SSL+CCA,1.4255272548094546,1.056100942891368,4,3
linear,A=rev,encoder(d=4),2,-1.9291253983974457,-1.2210063934326172,SSL+Ridge (PCR),1.7412657200809687,1.3459568913352948,4,3
linear,A=rev,encoder(d=4),2,-1.9291253983974457,-1.2210063934326172,SSL+Ridge (RRR),1.7412657200809687,1.3459568913352948,4,3
linear,A=rev,encoder(d=4),2,-1.9291253983974457,-1.2210063934326172,SSL+CCA,1.7412657200809687,1.3459568913352948,4,3
linear,A=rev,encoder(d=8),0,-2.829333484172821,-1.7271623611450195,SSL+Ridge (PCR),2.0360284200526637,0.9442151562909672,8,3
linear,A=rev,encoder(d=8),0,-2.829333484172821,-1.7271623611450195,SSL+Ridge (RRR),2.0360284200526637,0.9442151562909672,8,3
linear,A=rev,encoder(d=8),0,-2.829333484172821,-1.7271623611450195,SSL+CCA,2.0360284200526637,0.9442151562909672,8,3
linear,A=rev,encoder(d=8),1,-1.9347428381443024,-1.2799550294876099,SSL+Ridge (PCR),1.3636395484611603,1.021026383472651,8,3
linear,A=rev,encoder(d=8),1,-1.9347428381443024,-1.2799550294876099,SSL+Ridge (RRR),1.3636395484611603,1.021026383472651,8,3
linear,A=rev,encoder(d=8),1,-1.9347428381443024,-1.2799550294876099,SSL+CCA,1.3636395484611603,1.021026383472651,8,3
linear,A=rev,encoder(d=8),2,-2.015126049518585,-1.2747160196304321,SSL+Ridge (PCR),1.3647188286418332,0.8297913436311383,8,3
linear,A=rev,encoder(d=8),2,-2.015126049518585,-1.2747160196304321,SSL+Ridge (RRR),1.3647188286418332,0.8297913436311383,8,3
linear,A=rev,encoder(d=8),2,-2.015126049518585,-1.2747160196304321,SSL+CCA,1.3647188286418332,0.8297913436311383,8,3
linear,A=rev,encoder(d=16),0,-3.0161905884742737,-2.109086513519287,SSL+Ridge (PCR),1.8558047162769262,0.785379083267118,16,3
linear,A=rev,encoder(d=16),0,-3.0161905884742737,-2.109086513519287,SSL+Ridge (RRR),1.8558047162769262,0.785379083267118,16,3
