family,system,kind,kernel,method,agg_bias_mean,agg_dist_mean,agg_spurious_mean,agg_trunc_mean,agg_bias_std,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,agg_horizon_instab,agg_horizon_sens,agg_bias_mean_z,agg_dist_mean_z,agg_spurious_mean_z,agg_trunc_mean_z,agg_bias_std_z,agg_spurious_std_z,mean_spurious_ref_count_z,mean_spurious_residual_count_z,mean_spectral_gap_z,agg_horizon_instab_z,agg_horizon_sens_z,score_vs_analytic,rank_score_vs_analytic
hermite,duffing,omega=0.5,hermite(good),PCR,1.6493604364679966e-06,68.70629323511676,0.0691472969209842,3.592656001934973e-08,6.22123903223733e-07,0.0141196073141351,,3.5,0.0002029082864628,0.0,0.0031019737965358,-0.3844120319302133,0.24688134390993155,-0.41693215346032914,-0.4527305627560659,-0.4169361255081817,-0.45656324336686627,0.0,-0.3266567369479482,0.1081399532301963,-0.1117884592052663,-0.08980265101338747,-1.4733808356289098,24
hermite,duffing,omega=0.5,hermite(ugly),PCR,0.0,10.491186656738636,0.1749181012805512,0.0,0.0,0.0272581198405085,,1.0,,0.0,0.0046307869547764,-0.3844120525917221,-0.2263583338818447,0.35682830897865375,-0.4527305889232368,-0.41693628962137197,-0.11396702682752541,0.0,-2.7399009519889366,0.0,-0.1117884592052663,-0.08980265101338747,-3.554525263276346,1
hermite,duffing,omega=0.5,hermite(bad),PCR,0.0278649356220454,11.023333194383136,0.0748432353113405,0.0031074557916253,0.0109925612486073,0.01768126942363,,3.5,0.0001596041834322,3.722674913886337e-07,0.0039924127034796,-0.38406298903836456,-0.22203243170946205,-0.3752638315672338,-0.45046726823112976,-0.4140365066582866,-0.36369032789374056,0.0,-0.3266567369479482,0.1082369294099782,-0.11178638411575571,-0.08980265101338747,-1.8751519024407348,21
linear,duffing,omega=0.5,linear,PCR,0.0,7.801958753247092,0.304177224695502,0.0,0.0,0.0158986448429441,,4.6,0.0,0.0,0.0541616683729032,-0.3844120525917221,-0.2482194867914173,1.3024162688471224,-0.4527305889232368,-0.41693628962137197,-0.41017355311631404,0.0,0.7351707176700863,0.10859435059880936,-0.1117884592052663,-0.08980265101338747,0.8245187570687803,104
poly,duffing,omega=0.5,poly(p=1),PCR,0.0,9.47816205606934,0.0590050161288939,0.0,0.0,0.0047796874054318,,3.6,0.0002903488289777,0.0,0.0088800088446543,-0.3844120525917221,-0.2345933688030714,-0.49112744698571087,-0.4527305889232368,-0.41693628962137197,-0.700108410072694,0.0,-0.2301269683463086,0.107944136917706,-0.1117884592052663,-0.08980265101338747,-1.9935053478717486,20
poly,duffing,omega=0.5,poly(p=2),PCR,0.0902202867208627,9.96074942144154,0.0732981550694616,0.0110505416743142,0.0342914696728988,0.013120027972255,,4.0,0.0002725181468724,1.5756108198150542e-06,0.0341136500204314,-0.38328186466324865,-0.23067034086894503,-0.38656678052087307,-0.4446819081671431,-0.40789037054139154,-0.4826279976510054,0.0,0.15599210606024946,0.10798406734721416,-0.11177967645211007,-0.08980265101338747,-1.4370877199163785,25
poly,duffing,omega=0.5,poly(p=3),PCR,0.2983687920285242,8.66287975804925,0.0852410436864853,0.0401596396875258,0.1080220184918732,0.0148696708836764,,4.0,0.0003365481065893,1.7909139600980062e-05,0.0335036053499622,-0.38067439203620684,-0.2412209257157245,-0.2991992401573618,-0.4234802472973629,-0.3884406186147163,-0.4370047933084583,0.0,0.15599210606024946,0.10784067721901902,-0.11168863026884511,-0.08980265101338747,-1.3307748711512417,27
poly,duffing,omega=0.5,poly(p=4),PCR,0.7549925504710789,7.687149362472814,0.1012389042146268,0.1122735181608188,0.2766658222216167,0.0163230684998032,,4.0,0.0004614677951087,4.948414583894056e-05,0.0574336949097477,-0.37495427432872647,-0.24915279022914852,-0.1821677773142841,-0.3709559816982925,-0.34395322229046293,-0.39910639929978875,0.0,0.15599210606024946,0.10756092926618424,-0.11151262520324971,-0.08980265101338747,-1.1690604436421639,38
rbf,duffing,omega=0.5,rbf(gamma=0.28078368544787685),PCR,0.0545677424962467,10.156069989701098,0.048393984350826,0.0053729191066605,,,,2.0,0.0002592197340202,9.934690495150278e-06,0.0,-0.3837284834511793,-0.22908254951680154,-0.5687518623928338,-0.4488172141862911,0.0,0.0,0.0,-1.7746032659725413,0.10801384811128306,-0.1117330813586527,-0.08980265101338747,-3.3281035767429,3
rbf,duffing,omega=0.5,rbf(gamma=0.14039184272393843),PCR,0.0176513176741986,10.628935482621896,0.0503722007601147,0.0016606853718378,,,,2.0,0.0002201031470249,1.9434892695180395e-06,0.0,-0.38419093484889394,-0.22523855219958624,-0.5542803297905845,-0.45152102591825705,0.0,0.0,0.0,-1.7746032659725413,0.10810144667371557,-0.1117776258279492,-0.08980265101338747,-3.311603149275213,5
rbf,duffing,omega=0.5,rbf(gamma=0.5615673708957537),PCR,0.1578578376870755,10.113425291652849,0.0480739412939012,0.0156087411667898,,,,2.0,0.0003650845365597,3.859415300089264e-05,0.0,-0.38243457026426236,-0.22942921491604307,-0.5710931196540029,-0.441361935841913,0.0,0.0,0.0,-1.7746032659725413,0.10777677209757619,-0.11157332808607258,-0.08980265101338747,-3.3257287317784776,4
rbf,duffing,omega=0.5,rbf(gamma=0.21680657643565548),PCR,0.0370088761756335,10.196925683491386,0.061006000660759,0.0036294151123951,,,,4.0,6.620797343170892e-05,5.465198551490857e-07,0.0,-0.38394844305754405,-0.22875042721209968,-0.4764893554434946,-0.4500870982752706,0.0,0.0,0.0,0.15599210606024946,0.10844608297784117,-0.11178541280007386,-0.08980265101338747,-1.305604691115065,28
rbf,duffing,omega=0.5,rbf(gamma=0.10840328821782774),PCR,0.0123687806654385,10.855616128275862,0.0608960828494145,0.0011393900188881,,,,4.0,4.4355326758949154e-05,0.0,0.0,-0.3842571090961282,-0.2233958298889007,-0.4772934531058994,-0.4519007122720292,0.0,0.0,0.0,0.15599210606024946,0.10849502028502775,-0.1117884592052663,-0.08980265101338747,-1.3022482422428334,29
rbf,duffing,omega=0.5,rbf(gamma=0.11903475762915991),PCR,0.0144171953002442,10.654921069445756,0.0709534792428249,0.0013531020273427,,,,4.0,3.889328425099592e-06,0.0,0.0,-0.38423144864239983,-0.22502731131283812,-0.40371912669875126,-0.4517450547684886,0.0,0.0,0.0,0.15599210606024946,0.10858564074948361,-0.1117884592052663,-0.08980265101338747,-1.230156597821896,33
rbf,duffing,omega=0.5,rbf(gamma=0.2624337080999149),PCR,0.0427853464381119,11.154238763412692,0.0754594123079314,0.0038357925937943,,,,4.0,0.0002301855247873,4.126287083794367e-06,0.0,-0.383876081317218,-0.22096827992911117,-0.3707562228682808,-0.44993678288694083,0.0,0.0,0.0,0.15599210606024946,0.10807886797077317,-0.11176545849947465,-0.08980265101338747,-1.1921055450253064,34
rbf,duffing,omega=0.5,rbf(gamma=0.47613903051663964),PCR,0.1247866306395616,10.023762550687708,0.0780366948771258,0.0124490808724315,,,,4.0,4.589694369672159e-06,2.7376883853347245e-05,0.0,-0.38284885268724766,-0.23015809731681894,-0.35190225494536964,-0.44366327977205783,0.0,0.0,0.0,0.15599210606024946,0.10858407233427579,-0.11163585526903609,-0.08980265101338747,-1.1778952088905013,35
rbf,duffing,omega=0.5,rbf(gamma=0.2545512770535249),PCR,0.0398123259520816,11.10717405540428,0.078291572741179,0.0035843794068132,,,,4.0,0.0001870689058535,1.842101016724662e-06,0.0,-0.3839133242920138,-0.22135087627845013,-0.3500377100442566,-0.4501199001077542,0.0,0.0,0.0,0.15599210606024946,0.1081754242944628,-0.11177819098527488,-0.08980265101338747,-1.1718628844597792,37
rbf,duffing,omega=0.5,rbf(gamma=0.2640402007709872),PCR,0.0429530952899228,11.175848383648573,0.0824179649161812,0.0038433856487143,,,,4.0,0.0003186791091023,1.110944643945011e-05,0.0,-0.38387397993033234,-0.22079261195702113,-0.3198513165790025,-0.4499312524725217,0.0,0.0,0.0,0.15599210606024946,0.10788069345285249,-0.1117265330465011,-0.08980265101338747,-1.14108026597583,42
rbf,duffing,omega=0.5,rbf(gamma=0.26499594084657774),PCR,0.0413820871383137,11.17661882971879,0.0800713371435297,0.003702558686915,,,,4.0,0.0001647290450846,1.6648120676476807e-06,0.0,-0.38389365992152963,-0.22078634888079476,-0.3370179421098667,-0.45003382402881087,0.0,0.0,0.0,0.15599210606024946,0.10822545267982611,-0.11177917922745846,-0.08980265101338747,-1.15819186076728,41
rbf,duffing,omega=0.5,rbf(gamma=0.2586228563616837),PCR,0.0407040038756789,11.19195525441804,0.0862408286180502,0.0036368983748046,,,,4.0,0.0001975681667575,1.4005268772487869e-06,0.0,-0.38390215425851065,-0.22066167669328654,-0.291885368851653,-0.45008164782841253,0.0,0.0,0.0,0.15599210606024946,0.108151912014061,-0.1117806524031697,-0.08980265101338747,-1.1130052650669335,47
rbf,duffing,omega=0.5,rbf(gamma=0.26613940207275383),PCR,0.0396234451126036,11.18203388485002,0.0848702662159478,0.00354349177624,,,,4.0,0.0001293886293322,2.3533117102791934e-06,0.0,-0.3839156903989334,-0.22074232905336255,-0.3019116422119946,-0.4501496806827754,0.0,0.0,0.0,0.15599210606024946,0.1083045947996652,-0.1117753414000373,-0.08980265101338747,-1.1230780909590208,45
rbf,duffing,omega=0.5,rbf(gamma=0.8672263057426219),PCR,0.2984845352046525,10.713339207899852,0.0791916373251608,0.0278610178780257,,,,2.0,1.6240669493683413e-06,4.399945969646435e-05,0.0,-0.3806729421234963,-0.2245524211572736,-0.34345333741947076,-0.43243796933506934,0.0,0.0,0.0,-1.7746032659725413,0.10859071362684972,-0.11154319788269755,-0.08980265101338747,-3.0865514434229766,8
rbf,duffing,omega=0.5,rbf(gamma=0.5091025541070499),PCR,0.1150472311411497,11.039036674489305,0.0790018026420507,0.0104218542372468,,,,4.0,0.0002364490638867,1.5010875366594512e-05,0.0,-0.38297085797168817,-0.22190477567132277,-0.3448420625320348,-0.4451398137273821,0.0,0.0,0.0,0.15599210606024946,0.10806484126080193,-0.11170478574266644,-0.08980265101338747,-1.1637705131041405,39
rbf,duffing,omega=0.5,rbf(gamma=0.5248674161998298),PCR,0.1201055761313409,11.119239863526644,0.0792516733371135,0.0108015995342731,,,,4.0,0.000304006779375,2.0269693430052804e-05,0.0,-0.3829074921738865,-0.2212527914430228,-0.3430141472984087,-0.44486322559672997,0.0,0.0,0.0,0.15599210606024946,0.107913550997193,-0.11167547209467418,-0.08980265101338747,-1.1611352852628989,40
rbf,duffing,omega=0.5,rbf(gamma=1.1231347417915074),PCR,0.3659975694373334,10.90862058977917,0.0725902242051621,0.0335512236790281,,,,2.0,0.0004795495956071,8.696394122675866e-05,0.0,-0.37982720754341825,-0.22296494835732472,-0.39174560955835563,-0.4282934982965867,0.0,0.0,0.0,-1.7746032659725413,0.10752043647651316,-0.1113037057244689,-0.08980265101338747,-3.130633919079533,6
rbf,duffing,omega=0.5,rbf(gamma=0.5280804015419744),PCR,0.1201101711534649,11.132803742850747,0.0854460647011685,0.0107888519305477,,,,4.0,0.0004027007685775,3.0393407787099314e-05,0.0,-0.382907434612126,-0.2211425285532297,-0.2976994202770885,-0.444872510335507,0.0,0.0,0.0,0.15599210606024946,0.10769253346373824,-0.11161904059325015,-0.08980265101338747,-1.115768957424717,46
rbf,duffing,omega=0.5,rbf(gamma=0.43361315287131097),PCR,0.1154917575958731,11.127173634157264,0.0775477847335369,0.0103792536535375,,,,4.0,4.263444832441898e-05,9.63647626139874e-06,0.0,-0.38296528939668945,-0.22118829658459882,-0.35547885002834195,-0.445170841934723,0.0,0.0,0.0,0.15599210606024946,0.10849887405879907,-0.11173474366127831,-0.08980265101338747,-1.1735137085620084,36
rbf,duffing,omega=0.5,rbf(gamma=0.5299918816931555),PCR,0.1192093398345993,11.145430043839688,0.0843109992612028,0.010695804411826,,,,4.0,0.0002042203891849,1.46188744909459e-05,0.0,-0.382918719310049,-0.22103988738390257,-0.30600292865110734,-0.44494028165345767,0.0,0.0,0.0,0.15599210606024946,0.1081370148779256,-0.11170697082979872,-0.08980265101338747,-1.1238806845157616,44
rbf,duffing,omega=0.5,rbf(gamma=0.5172457127233674),PCR,0.116265101827924,11.14188033814628,0.0913254493387637,0.0104349623492068,,,,4.0,0.000252274900962,1.424996330756656e-05,0.0,-0.3829556017272374,-0.22106874349492492,-0.25468910752029766,-0.44513026641182146,0.0,0.0,0.0,0.15599210606024946,0.1080294005262293,-0.11170902721061272,-0.08980265101338747,-1.0727834578490067,50
rbf,duffing,omega=0.5,rbf(gamma=0.5322788041455077),PCR,0.1149376798777667,11.138171490075711,0.0892085274440373,0.0103192593129112,,,,4.0,0.0001634249902069,1.5244170724959538e-05,0.0,-0.3829722303184178,-0.22109889329914337,-0.27017533242071884,-0.44521453891439194,0.0,0.0,0.0,0.15599210606024946,0.10822837300957353,-0.11170348531014895,-0.08980265101338747,-1.0882535692539763,49
rbf,duffing,omega=0.5,rbf(gamma=0.23806951525831982),PCR,0.0498983042728927,11.510131063639502,0.0948602359610957,0.0043351638653812,,,,4.0,0.0,7.826835858937287e-06,0.0,-0.383786977420824,-0.21807517593279446,-0.22883057171659074,-0.4495730649749845,0.0,0.0,0.0,0.15599210606024946,0.10859435059880936,-0.11174483093965726,-0.08980265101338747,-1.046737458151092,52
