family,system,kind,kernel,method,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,agg_horizon_instab,agg_horizon_sens,admissible,constraint_violations,score_v1,rank_v1,score_unified,rank_unified,score_unified_pooled,rank_unified_pooled
hermite,duffing,omega=0.5,hermite(good),PCR,1.6493604364679966e-06,6.22123903223733e-07,68.70629323511676,3.592656001934973e-08,0.0691472969209842,0.0141196073141351,,3.5,0.0002029082864628,0.0,0.003101973796535896,True,,-1.403497178026742,13,-2.625196646715044,1,3.5734535865956083,46
hermite,duffing,omega=0.5,hermite(ugly),PCR,0.0,0.0,10.491186656738636,0.0,0.1749181012805512,0.0272581198405085,,1.0,,0.0,0.004630786954776491,True,,-3.701825507001848,6,-1.1696523690255511,2,-3.9454226158351906,5
hermite,duffing,omega=0.5,hermite(bad),PCR,0.0278649356220454,0.0109925612486073,11.023333194383136,0.0031074557916253,0.0748432353113405,0.01768126942363,,3.5,0.0001596041834322,3.722674913886337e-07,0.0039924127034796685,True,,-1.191985783318226,20,3.7948490157405925,3,-3.312863254491127,7
linear,duffing,omega=0.5,linear,PCR,0.0,0.0,7.801958753247092,0.0,0.304177224695502,0.0158986448429441,,4.6,0.0,0.0,0.05416166837290328,True,,0.6097604727420262,9,0.0,1,6.711210269031175,56
poly,duffing,omega=0.5,poly(p=1),PCR,0.0,0.0,9.47816205606934,0.0,0.0590050161288939,0.0047796874054318,,3.6,0.0002903488289777,0.0,0.008880008844654381,True,,-4.423913374237694,9,-6.523012664499143,1,-4.363051110107911,4
poly,duffing,omega=0.5,poly(p=2),PCR,0.0902202867208627,0.0342914696728988,9.96074942144154,0.0110505416743142,0.0732981550694616,0.013120027972255,,4.0,0.0002725181468724,1.5756108198150542e-06,0.034113650020431485,True,,-2.1107637718862065,14,-0.08175388729141884,2,-0.1032161564108609,36
poly,duffing,omega=0.5,poly(p=3),PCR,0.2983687920285242,0.1080220184918732,8.66287975804925,0.0401596396875258,0.0852410436864853,0.0148696708836764,,4.0,0.0003365481065893,1.7909139600980062e-05,0.033503605349962204,True,,-0.9526671202994966,15,0.8520909329710371,3,2.222001622087687,39
poly,duffing,omega=0.5,poly(p=4),PCR,0.7549925504710789,0.2766658222216167,7.687149362472814,0.1122735181608188,0.1012389042146268,0.0163230684998032,,4.0,0.0004614677951087,4.948414583894056e-05,0.05743369490974779,True,,1.3416965264312646,33,5.752675618819529,4,9.603105457944157,58
rbf,duffing,omega=0.5,rbf(gamma=0.28078368544787685),PCR,0.0545677424962467,,10.156069989701098,0.0053729191066605,0.048393984350826,,,2.0,0.0002592197340202,9.934690495150278e-06,0.0,True,,-6.058417375569721,2,-7.0414414455426195,1,-5.794332163583731,2
rbf,duffing,omega=0.5,rbf(gamma=0.14039184272393843),PCR,0.0176513176741986,,10.628935482621896,0.0016606853718378,0.0503722007601147,,,2.0,0.0002201031470249,1.9434892695180395e-06,0.0,True,,-5.93831700321048,3,-6.7799694663564285,2,-6.022621473629981,1
rbf,duffing,omega=0.5,rbf(gamma=0.5615673708957537),PCR,0.1578578376870755,,10.113425291652849,0.0156087411667898,0.0480739412939012,,,2.0,0.0003650845365597,3.859415300089264e-05,0.0,True,,-6.230624947373974,1,-5.959101531741544,3,-4.800269455180426,3
rbf,duffing,omega=0.5,rbf(gamma=0.21680657643565548),PCR,0.0370088761756335,,10.196925683491386,0.0036294151123951,0.061006000660759,,,4.0,6.620797343170892e-05,5.465198551490857e-07,0.0,True,,-2.7936362922371383,57,-4.376434841408884,4,-3.2969250488465174,8
rbf,duffing,omega=0.5,rbf(gamma=0.10840328821782774),PCR,0.0123687806654385,,10.855616128275862,0.0011393900188881,0.0608960828494145,,,4.0,4.4355326758949154e-05,0.0,0.0,True,,-2.7311988852387707,67,-3.765505252796159,5,-3.3891712041333815,6
rbf,duffing,omega=0.5,rbf(gamma=0.11903475762915991),PCR,0.0144171953002442,,10.654921069445756,0.0013531020273427,0.0709534792428249,,,4.0,3.889328425099592e-06,0.0,0.0,True,,-2.48696160703776,99,-3.668009530698395,6,-3.1160028654858074,10
rbf,duffing,omega=0.5,rbf(gamma=0.2624337080999149),PCR,0.0427853464381119,,11.154238763412692,0.0038357925937943,0.0754594123079314,,,4.0,0.0002301855247873,4.126287083794367e-06,0.0,True,,-2.7328842985821407,66,-2.933939490389954,7,-3.015586593686624,11
rbf,duffing,omega=0.5,rbf(gamma=0.47613903051663964),PCR,0.1247866306395616,,10.023762550687708,0.0124490808724315,0.0780366948771258,,,4.0,4.589694369672159e-06,2.7376883853347245e-05,0.0,True,,-2.3816203663770965,118,-2.9162215755563032,8,-1.8323304939793381,27
rbf,duffing,omega=0.5,rbf(gamma=0.2545512770535249),PCR,0.0398123259520816,,11.10717405540428,0.0035843794068132,0.078291572741179,,,4.0,0.0001870689058535,1.842101016724662e-06,0.0,True,,-2.6139872438734346,86,-2.9071777024848933,9,-2.943983094795295,12
rbf,duffing,omega=0.5,rbf(gamma=0.2640402007709872),PCR,0.0429530952899228,,11.175848383648573,0.0038433856487143,0.0824179649161812,,,4.0,0.0003186791091023,1.110944643945011e-05,0.0,True,,-2.739095887433011,65,-2.7662328163346204,10,-2.9104082864098633,13
rbf,duffing,omega=0.5,rbf(gamma=0.26499594084657774),PCR,0.0413820871383137,,11.17661882971879,0.003702558686915,0.0800713371435297,,,4.0,0.0001647290450846,1.6648120676476807e-06,0.0,True,,-2.542061110927127,93,-2.728760809957558,11,-2.852552330191565,14
rbf,duffing,omega=0.5,rbf(gamma=0.2586228563616837),PCR,0.0407040038756789,,11.19195525441804,0.0036368983748046,0.0862408286180502,,,4.0,0.0001975681667575,1.4005268772487867e-06,0.0,True,,-2.4762318596084003,101,-2.597825250975049,12,-2.770851167747832,15
rbf,duffing,omega=0.5,rbf(gamma=0.26613940207275383),PCR,0.0396234451126036,,11.18203388485002,0.00354349177624,0.0848702662159478,,,4.0,0.0001293886293322,2.3533117102791934e-06,0.0,True,,-2.395717973653205,114,-2.551253029038071,13,-2.6996580519294917,16
rbf,duffing,omega=0.5,rbf(gamma=0.8672263057426219),PCR,0.2984845352046525,,10.713339207899852,0.0278610178780257,0.0791916373251608,,,2.0,1.6240669493683413e-06,4.399945969646435e-05,0.0,True,,-5.042373869909894,20,-2.511519972884073,14,-2.3294682220220286,17
