system,kind,family,kernel,sc,vamp2,kind_n,kind_u,agg_bias_mean,agg_dist_mean,mean_spurious_residual_count,score_unified,kind_t,true_eig_err
duffing,omega=0.5,hermite,hermite(bad),-0.8387589539214296,3.0000000000002065,omega=0.5,omega=0.5,0.0278649356220454,11.023333194383136,2.3,-1.485480050319318,,
duffing,omega=0.5,hermite,hermite(good),-0.992735759529644,2.999999999999924,omega=0.5,omega=0.5,1.6493604364679966e-06,68.70629323511676,3.5,-2.625196646715044,,
duffing,omega=0.5,hermite,hermite(ugly),-0.1692971918433142,1.0000100361549296,omega=0.5,omega=0.5,0.0,0.0,1.0,-1.1696523690255511,,
duffing,omega=0.5,linear,linear,-1.0107171894756124,1.9999999999999856,omega=0.5,omega=0.5,0.0,0.2360530213221763,1.0,0.0,,
duffing,omega=0.5,poly,poly(p=1),-0.8400144838685107,2.9999999999999485,omega=0.5,omega=0.5,0.0,1.910079828705411,1.9,-6.523012664499143,,
duffing,omega=0.5,poly,poly(p=2),0.0712053784335061,3.0000000000003255,omega=0.5,omega=0.5,0.0902202867208627,9.96074942144154,4.0,-1.152107561175844,,
duffing,omega=0.5,poly,poly(p=3),2.9369187213923578,3.0000000000004925,omega=0.5,omega=0.5,0.2983687920285242,8.66287975804925,4.0,0.5300267385552251,,
duffing,omega=0.5,poly,poly(p=4),10.671824437462064,3.000000000002475,omega=0.5,omega=0.5,0.7549925504710789,7.687149362472814,4.0,3.3424583181611625,,
duffing,omega=0.5,rbf,rbf(gamma=0.040225122233706376),-1.0054673929802052,3.0000000000001705,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.08045024446741275),-1.01088206256939,3.0000000000003015,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.08267492256039076),-1.0111799986559706,3.000000000000192,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.09166822095266935),-1.0123827884475824,3.0000000000002713,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.09367506747882408),-1.012650835504875,3.000000000000256,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.09476154683726143),-1.0127958986368004,3.000000000000257,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.0978227663349253),-1.013204419068536,3.0000000000002616,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.10210503979393232),-1.013775385900458,3.0000000000002394,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.10432317211131158),-1.0140709046882213,3.0000000000001137,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.10706908204209302),-1.0144365207298975,3.0000000000003197,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.10835773493417226),-1.014608020945548,3.000000000000441,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.10840328821782774),-1.0146140824284915,3.0000000000002545,omega=0.5,omega=0.5,0.0123687806654385,10.855616128275862,4.0,-3.765505252796159,,
duffing,omega=0.5,rbf,rbf(gamma=0.10960747720352937),-1.0147742921033072,3.0000000000002394,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.10968176965101091),-1.0147841747244035,3.0000000000003335,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.11078877508879889),-1.014931411294567,3.000000000000147,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.1151886230268983),-1.0155162239532032,3.0000000000002314,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.11521616899868364),-1.0155198833252943,3.0000000000003104,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.11903475762915991),-1.0160269336521155,3.000000000000296,omega=0.5,omega=0.5,0.0144171953002442,10.654921069445756,4.0,-3.668009530698395,,
duffing,omega=0.5,rbf,rbf(gamma=0.11944144006950164),-1.0160809075241406,3.000000000000307,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.12048861768048315),-1.0162198620843896,3.0000000000001683,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.12213872348672236),-1.0164387510238877,3.0000000000002447,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.12632936014066443),-1.0169942560497192,3.000000000000321,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.1399376718065482),-1.018794312758636,3.0000000000002807,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.14039184272393843),-1.0188542876607147,3.0000000000002043,omega=0.5,omega=0.5,0.0176513176741986,10.628935482621896,2.0,-6.849167331793581,,
duffing,omega=0.5,rbf,rbf(gamma=0.1453101416731566),-1.0195033490953251,3.0000000000002465,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.15087544394796257),-1.0202368735795504,3.000000000000256,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.15128694180796295),-1.0202910715150713,3.0000000000003304,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.15954183797627358),-1.0213771882651173,3.0000000000002793,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.1609004889348255),-1.0215557437808496,3.000000000000242,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.16534984512078152),-1.0221400774355038,3.0000000000003317,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.17243006472998487),-1.0230686413447374,3.0000000000002593,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.17389303561341227),-1.023260312694768,3.00000000000029,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.17874042717376168),-1.023894915721727,3.000000000000229,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.1833364419053387),-1.024495930904603,3.0000000000002225,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.18735013495764816),-1.0250202571005331,3.000000000000296,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.18774986000398033),-1.025072447406104,3.000000000000215,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.18860606852300818),-1.0251842219458356,3.00000000000029,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.18952309367452286),-1.025303910504331,3.0000000000001887,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.1956455326698506),-1.0261023295647065,3.0000000000001825,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.20421007958786463),-1.0272172646161046,3.00000000000019,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.20864634422262315),-1.0277938835897074,3.000000000000245,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.21413816408418604),-1.0285068573384526,3.0000000000002447,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.21671546986834453),-1.028841133442283,3.0000000000002753,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.21680657643565548),-1.0288529461892646,3.00000000000026,omega=0.5,omega=0.5,0.0370088761756335,10.196925683491386,4.0,-4.376434841408884,,
duffing,omega=0.5,rbf,rbf(gamma=0.21921495440705874),-1.0291651200038936,3.0000000000005795,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.21936353930202182),-1.0291843737000053,3.0000000000005578,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.22157755017759778),-1.0294711854316951,3.00000000000045,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.2303772460537966),-1.0306096379531218,3.000000000000327,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.2304323379973673),-1.0306167579060972,3.0000000000003464,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.23806951525831982),-1.031602865015181,3.0000000000002367,omega=0.5,omega=0.5,0.0498983042728927,11.510131063639502,4.0,-1.5385368851309575,,
duffing,omega=0.5,rbf,rbf(gamma=0.23888288013900327),-1.031707780491345,3.0000000000001896,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.2409772353609663),-1.031977836686946,3.0000000000003335,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.24427744697344472),-1.0324031086061167,3.0000000000002114,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.25265872028132885),-1.0334816361338437,3.000000000000321,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.2545512770535249),-1.0337248785031945,3.000000000000158,omega=0.5,omega=0.5,0.0398123259520816,11.10717405540428,4.0,-2.9071777024848933,,
duffing,omega=0.5,rbf,rbf(gamma=0.2586228563616837),-1.0342478104052373,3.000000000000273,omega=0.5,omega=0.5,0.0407040038756789,11.19195525441804,4.0,-2.694284198081824,,
duffing,omega=0.5,rbf,rbf(gamma=0.2624337080999149),-1.0347367972687191,3.0000000000003113,omega=0.5,omega=0.5,0.0427853464381119,11.154238763412692,4.0,-2.933939490389954,,
duffing,omega=0.5,rbf,rbf(gamma=0.2640402007709872),-1.0349428005521395,3.0000000000002824,omega=0.5,omega=0.5,0.0429530952899228,11.175848383648573,4.0,-2.7662328163346204,,
duffing,omega=0.5,rbf,rbf(gamma=0.26499594084657774),-1.0350653193990371,3.000000000000327,omega=0.5,omega=0.5,0.0413820871383137,11.17661882971879,4.0,-2.728760809957558,,
duffing,omega=0.5,rbf,rbf(gamma=0.26613940207275383),-1.035211866142663,3.000000000000322,omega=0.5,omega=0.5,0.0396234451126036,11.18203388485002,4.0,-2.551253029038071,,
duffing,omega=0.5,rbf,rbf(gamma=0.2798753436130964),-1.0369691641756276,3.0000000000003033,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.28078368544787685),-1.0370851702015889,3.000000000000286,omega=0.5,omega=0.5,0.0545677424962467,10.156069989701098,2.0,-7.0414414455426195,,
duffing,omega=0.5,rbf,rbf(gamma=0.282937771483782),-1.0373601725037425,3.000000000000344,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.2906202833463132),-1.0383398188841035,3.000000000000291,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.293471242170321),-1.0387029086015416,3.000000000000192,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.2944879783352341),-1.0388323376980868,3.000000000000386,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.30173383683309535),-1.0397538216347058,3.000000000000359,omega=0.5,,,,,,,
