system,kind,criterion,truth,n,spearman,top1_ok,rel_regret
duffing,omega=0.5,sc,spectral bias (s-hat),58,-0.7108315145579124,False,
duffing,omega=0.5,sc,spurious count,58,-0.6745932626336991,False,4.0
duffing,omega=0.5,sc,unified score,58,-0.5419114706696607,False,
duffing,omega=0.5,vamp2,spectral bias (s-hat),58,-0.7913308316056135,False,
duffing,omega=0.5,vamp2,spurious count,58,-0.5813703821901768,False,3.0
duffing,omega=0.5,vamp2,unified score,58,-0.603328411753405,False,
duffing,omega=0.8,sc,spectral bias (s-hat),58,-0.6844371994373564,False,
duffing,omega=0.8,sc,spurious count,58,-0.6719469761690576,False,4.0
duffing,omega=0.8,sc,unified score,58,-0.5496631701990218,False,
duffing,omega=0.8,vamp2,spectral bias (s-hat),58,-0.6448655635857743,False,
duffing,omega=0.8,vamp2,spurious count,58,-0.528684785426571,False,2.8
duffing,omega=0.8,vamp2,unified score,58,-0.5302694723808288,False,
duffing,omega=1.0,sc,spectral bias (s-hat),58,-0.7532223842969873,False,
duffing,omega=1.0,sc,spurious count,58,-0.15139718068691319,False,0.3999999999999999
duffing,omega=1.0,sc,unified score,58,-0.18287243532560216,False,
duffing,omega=1.0,vamp2,spectral bias (s-hat),58,-0.8249119415670385,False,
duffing,omega=1.0,vamp2,spurious count,58,-0.2534129758415556,False,3.0
duffing,omega=1.0,vamp2,unified score,58,-0.23507697989460935,False,
duffing,omega=1.2,sc,spectral bias (s-hat),58,-0.7327344893432689,False,
duffing,omega=1.2,sc,spurious count,58,-0.18648922671126977,False,3.0
duffing,omega=1.2,sc,unified score,58,-0.3638069457688641,False,
duffing,omega=1.2,vamp2,spectral bias (s-hat),58,-0.7540338094256827,False,
duffing,omega=1.2,vamp2,spurious count,58,-0.5095807948096016,False,3.0
duffing,omega=1.2,vamp2,unified score,58,-0.44742144367535885,False,
duffing,omega=1.5,sc,spectral bias (s-hat),58,-0.8149321699984272,False,
duffing,omega=1.5,sc,spurious count,58,-0.4354871831960206,False,7.0
duffing,omega=1.5,sc,unified score,58,-0.45036759051339637,False,
duffing,omega=1.5,vamp2,spectral bias (s-hat),58,-0.733998861817926,False,
duffing,omega=1.5,vamp2,spurious count,58,-0.42091638373199075,False,7.0
duffing,omega=1.5,vamp2,unified score,58,-0.4525417216230498,False,
duffing,omega=2.0,sc,spectral bias (s-hat),58,-0.8633525103244823,False,
duffing,omega=2.0,sc,spurious count,58,-0.6364469248386121,False,4.0
duffing,omega=2.0,sc,unified score,58,-0.5692269832969332,False,
duffing,omega=2.0,vamp2,spectral bias (s-hat),58,-0.4866868684336975,False,
duffing,omega=2.0,vamp2,spurious count,58,-0.4118610489818769,False,2.8
duffing,omega=2.0,vamp2,unified score,58,-0.4826578487027157,False,
duffing,omega=3.0,sc,spectral bias (s-hat),58,-0.9563171027421051,False,
duffing,omega=3.0,sc,spurious count,58,-0.6653249826559691,False,4.0
duffing,omega=3.0,sc,unified score,58,-0.6554184994924483,False,
duffing,omega=3.0,vamp2,spectral bias (s-hat),58,-0.49044821208278,False,
duffing,omega=3.0,vamp2,spurious count,58,-0.2941860141680332,False,2.8
duffing,omega=3.0,vamp2,unified score,58,-0.38835399427850753,False,
graph,cycle_12,sc,true eigenvalue error,24,-0.15130434782608695,False,6.479850010862737
graph,cycle_12,sc,spectral bias (s-hat),24,0.05913043478260869,False,5909.118292935467
graph,cycle_12,sc,spurious count,24,-0.22762716761165086,False,1.4374999999999998
graph,cycle_12,sc,unified score,24,0.08956521739130434,False,
graph,cycle_12,vamp2,true eigenvalue error,24,-0.48260869565217385,False,9.44971831272151
graph,cycle_12,vamp2,spectral bias (s-hat),24,0.37043478260869556,False,3730.1458542054847
graph,cycle_12,vamp2,spurious count,24,0.631005763261374,False,0.4999999999999999
graph,cycle_12,vamp2,unified score,24,0.4721739130434783,False,
graph,path_12,sc,true eigenvalue error,24,-0.06869565217391303,False,5.637182538568002
graph,path_12,sc,spectral bias (s-hat),24,0.07217391304347825,False,613.3802812873726
graph,path_12,sc,spurious count,24,-0.44891409364758017,False,2.8
graph,path_12,sc,unified score,24,-0.025217391304347827,False,
graph,path_12,vamp2,true eigenvalue error,24,-0.5843478260869565,False,10.671418853223768
graph,path_12,vamp2,spectral bias (s-hat),24,0.40782608695652167,False,352.8827390869763
graph,path_12,vamp2,spurious count,24,0.7127239993300868,True,0.0
graph,path_12,vamp2,unified score,24,0.43652173913043474,False,
ho,damping=0.0,sc,true eigenvalue error,58,0.6362965315532135,True,4.0622470087600645e-07
ho,damping=0.0,sc,spectral bias (s-hat),58,-0.6781934611374458,False,
ho,damping=0.0,sc,spurious count,58,-0.27082716550253527,False,3.0
ho,damping=0.0,sc,unified score,58,-0.47676028176812574,False,
