system,kind,kernel,sc,family
duffing,omega=0.5,encoder(d=16),3.1993765036265054,ssl_encoder
duffing,omega=0.5,encoder(d=4),-1.050335705280304,ssl_encoder
duffing,omega=0.5,encoder(d=8),4.313499053319295,ssl_encoder
duffing,omega=1.5,encoder(d=16),17.05392348766327,ssl_encoder
duffing,omega=1.5,encoder(d=4),-0.8050718307495117,ssl_encoder
duffing,omega=1.5,encoder(d=8),19.517867545286816,ssl_encoder
duffing,omega=3.0,encoder(d=16),-0.45077232519785554,ssl_encoder
duffing,omega=3.0,encoder(d=4),-0.750004510084788,ssl_encoder
duffing,omega=3.0,encoder(d=8),-0.5957720279693604,ssl_encoder
graph,cycle_12,encoder(d=16),-1.0000519752502441,ssl_encoder
graph,cycle_12,encoder(d=4),-1.0017735958099365,ssl_encoder
graph,cycle_12,encoder(d=8),-1.0000309944152832,ssl_encoder
graph,path_12,encoder(d=16),-0.9999062220255536,ssl_encoder
graph,path_12,encoder(d=4),-1.0682727098464966,ssl_encoder
graph,path_12,encoder(d=8),-1.021509091059367,ssl_encoder
langevin,all,encoder(d=16),-1.6493072509765625,ssl_encoder
langevin,all,encoder(d=4),-1.2264982263247173,ssl_encoder
langevin,all,encoder(d=8),-1.5672024091084797,ssl_encoder
linear,A=rev,encoder(d=16),-2.008396546045939,ssl_encoder
linear,A=rev,encoder(d=4),-1.0062906344731648,ssl_encoder
linear,A=rev,encoder(d=8),-1.4272778034210205,ssl_encoder
linear,A=rot,encoder(d=16),-2.582852840423584,ssl_encoder
linear,A=rot,encoder(d=4),-1.318918506304423,ssl_encoder
linear,A=rot,encoder(d=8),-2.1403280099232993,ssl_encoder
