system,kind,family,kernel,sc,vamp2
duffing,omega=0.5,hermite,hermite(bad),-0.8387589539214296,3.0000000000002065
duffing,omega=0.5,hermite,hermite(good),-0.9927357595296439,2.999999999999924
duffing,omega=0.5,hermite,hermite(ugly),-0.16929719184331424,1.0000100361549296
duffing,omega=0.5,linear,linear,-1.0107171894756124,1.9999999999999856
duffing,omega=0.5,poly,poly(p=1),-0.8400144838685107,2.9999999999999485
duffing,omega=0.5,poly,poly(p=2),0.07120537843350612,3.0000000000003255
duffing,omega=0.5,poly,poly(p=3),2.9369187213923578,3.0000000000004925
duffing,omega=0.5,poly,poly(p=4),10.671824437462064,3.000000000002475
duffing,omega=0.5,rbf,rbf(gamma=0.040225122233706376),-1.0054673929802052,3.0000000000001705
duffing,omega=0.5,rbf,rbf(gamma=0.08045024446741275),-1.01088206256939,3.0000000000003015
duffing,omega=0.5,rbf,rbf(gamma=0.08267492256039076),-1.0111799986559706,3.000000000000192
duffing,omega=0.5,rbf,rbf(gamma=0.09166822095266935),-1.0123827884475824,3.0000000000002713
duffing,omega=0.5,rbf,rbf(gamma=0.09367506747882408),-1.0126508355048747,3.0000000000002562
duffing,omega=0.5,rbf,rbf(gamma=0.09476154683726143),-1.0127958986368004,3.000000000000257
duffing,omega=0.5,rbf,rbf(gamma=0.0978227663349253),-1.0132044190685359,3.0000000000002616
duffing,omega=0.5,rbf,rbf(gamma=0.10210503979393232),-1.0137753859004581,3.0000000000002394
duffing,omega=0.5,rbf,rbf(gamma=0.10432317211131158),-1.0140709046882213,3.0000000000001137
duffing,omega=0.5,rbf,rbf(gamma=0.10706908204209302),-1.0144365207298975,3.0000000000003197
duffing,omega=0.5,rbf,rbf(gamma=0.10835773493417226),-1.0146080209455481,3.000000000000441
duffing,omega=0.5,rbf,rbf(gamma=0.10840328821782774),-1.0146140824284917,3.0000000000002545
duffing,omega=0.5,rbf,rbf(gamma=0.10960747720352937),-1.0147742921033072,3.0000000000002394
duffing,omega=0.5,rbf,rbf(gamma=0.10968176965101091),-1.0147841747244035,3.0000000000003335
duffing,omega=0.5,rbf,rbf(gamma=0.11078877508879889),-1.014931411294567,3.000000000000147
duffing,omega=0.5,rbf,rbf(gamma=0.1151886230268983),-1.0155162239532032,3.0000000000002314
duffing,omega=0.5,rbf,rbf(gamma=0.11521616899868364),-1.0155198833252943,3.0000000000003104
duffing,omega=0.5,rbf,rbf(gamma=0.11903475762915991),-1.0160269336521155,3.000000000000296
duffing,omega=0.5,rbf,rbf(gamma=0.11944144006950164),-1.0160809075241406,3.000000000000307
duffing,omega=0.5,rbf,rbf(gamma=0.12048861768048315),-1.0162198620843896,3.0000000000001683
duffing,omega=0.5,rbf,rbf(gamma=0.12213872348672236),-1.0164387510238877,3.0000000000002447
duffing,omega=0.5,rbf,rbf(gamma=0.12632936014066443),-1.0169942560497192,3.000000000000321
duffing,omega=0.5,rbf,rbf(gamma=0.1399376718065482),-1.0187943127586359,3.0000000000002807
duffing,omega=0.5,rbf,rbf(gamma=0.14039184272393843),-1.0188542876607147,3.0000000000002043
duffing,omega=0.5,rbf,rbf(gamma=0.1453101416731566),-1.0195033490953251,3.0000000000002465
duffing,omega=0.5,rbf,rbf(gamma=0.15087544394796257),-1.0202368735795504,3.0000000000002562
duffing,omega=0.5,rbf,rbf(gamma=0.15128694180796295),-1.0202910715150713,3.0000000000003304
duffing,omega=0.5,rbf,rbf(gamma=0.15954183797627358),-1.0213771882651173,3.0000000000002793
duffing,omega=0.5,rbf,rbf(gamma=0.1609004889348255),-1.0215557437808496,3.000000000000242
duffing,omega=0.5,rbf,rbf(gamma=0.16534984512078152),-1.0221400774355038,3.0000000000003317
duffing,omega=0.5,rbf,rbf(gamma=0.17243006472998487),-1.0230686413447374,3.0000000000002593
duffing,omega=0.5,rbf,rbf(gamma=0.17389303561341227),-1.0232603126947681,3.00000000000029
duffing,omega=0.5,rbf,rbf(gamma=0.17874042717376168),-1.023894915721727,3.000000000000229
duffing,omega=0.5,rbf,rbf(gamma=0.1833364419053387),-1.024495930904603,3.0000000000002225
duffing,omega=0.5,rbf,rbf(gamma=0.18735013495764816),-1.0250202571005333,3.000000000000296
duffing,omega=0.5,rbf,rbf(gamma=0.18774986000398033),-1.0250724474061041,3.000000000000215
duffing,omega=0.5,rbf,rbf(gamma=0.18860606852300818),-1.0251842219458356,3.00000000000029
duffing,omega=0.5,rbf,rbf(gamma=0.18952309367452286),-1.0253039105043307,3.0000000000001887
duffing,omega=0.5,rbf,rbf(gamma=0.1956455326698506),-1.0261023295647063,3.0000000000001825
duffing,omega=0.5,rbf,rbf(gamma=0.20421007958786463),-1.0272172646161046,3.00000000000019
duffing,omega=0.5,rbf,rbf(gamma=0.20864634422262315),-1.0277938835897074,3.000000000000245
duffing,omega=0.5,rbf,rbf(gamma=0.21413816408418604),-1.0285068573384526,3.0000000000002447
duffing,omega=0.5,rbf,rbf(gamma=0.21671546986834453),-1.0288411334422827,3.0000000000002753
duffing,omega=0.5,rbf,rbf(gamma=0.21680657643565548),-1.0288529461892646,3.00000000000026
duffing,omega=0.5,rbf,rbf(gamma=0.21921495440705874),-1.0291651200038936,3.0000000000005795
duffing,omega=0.5,rbf,rbf(gamma=0.21936353930202182),-1.0291843737000053,3.0000000000005578
duffing,omega=0.5,rbf,rbf(gamma=0.22157755017759778),-1.0294711854316951,3.00000000000045
duffing,omega=0.5,rbf,rbf(gamma=0.2303772460537966),-1.0306096379531218,3.000000000000327
duffing,omega=0.5,rbf,rbf(gamma=0.2304323379973673),-1.0306167579060972,3.0000000000003464
duffing,omega=0.5,rbf,rbf(gamma=0.23806951525831982),-1.031602865015181,3.0000000000002367
duffing,omega=0.5,rbf,rbf(gamma=0.23888288013900327),-1.031707780491345,3.0000000000001896
duffing,omega=0.5,rbf,rbf(gamma=0.2409772353609663),-1.031977836686946,3.0000000000003335
duffing,omega=0.5,rbf,rbf(gamma=0.24427744697344472),-1.0324031086061167,3.0000000000002114
duffing,omega=0.5,rbf,rbf(gamma=0.25265872028132885),-1.0334816361338437,3.000000000000321
duffing,omega=0.5,rbf,rbf(gamma=0.2545512770535249),-1.0337248785031943,3.000000000000158
duffing,omega=0.5,rbf,rbf(gamma=0.2586228563616837),-1.0342478104052373,3.000000000000273
duffing,omega=0.5,rbf,rbf(gamma=0.2624337080999149),-1.0347367972687191,3.0000000000003113
duffing,omega=0.5,rbf,rbf(gamma=0.2640402007709872),-1.0349428005521395,3.0000000000002824
duffing,omega=0.5,rbf,rbf(gamma=0.26499594084657774),-1.0350653193990373,3.000000000000327
duffing,omega=0.5,rbf,rbf(gamma=0.26613940207275383),-1.035211866142663,3.000000000000322
duffing,omega=0.5,rbf,rbf(gamma=0.2798753436130964),-1.0369691641756276,3.0000000000003033
duffing,omega=0.5,rbf,rbf(gamma=0.28078368544787685),-1.0370851702015889,3.000000000000286
duffing,omega=0.5,rbf,rbf(gamma=0.282937771483782),-1.0373601725037425,3.000000000000344
duffing,omega=0.5,rbf,rbf(gamma=0.2906202833463132),-1.0383398188841035,3.000000000000291
duffing,omega=0.5,rbf,rbf(gamma=0.293471242170321),-1.0387029086015416,3.000000000000192
duffing,omega=0.5,rbf,rbf(gamma=0.2944879783352341),-1.0388323376980868,3.000000000000386
duffing,omega=0.5,rbf,rbf(gamma=0.30173383683309535),-1.0397538216347058,3.000000000000359
duffing,omega=0.5,rbf,rbf(gamma=0.30175088789592514),-1.0397559882166365,3.0000000000001443
duffing,omega=0.5,rbf,rbf(gamma=0.3025176336059173),-1.0398534051918176,3.00000000000022
duffing,omega=0.5,rbf,rbf(gamma=0.3025738836159259),-1.039860551199744,3.000000000000331
duffing,omega=0.5,rbf,rbf(gamma=0.31908367595254716),-1.0419538425927795,3.0000000000002487
duffing,omega=0.5,rbf,rbf(gamma=0.32111787760956345),-1.042211194391751,3.0000000000002722
duffing,omega=0.5,rbf,rbf(gamma=0.321800977869651),-1.0422975872463602,3.00000000000027
duffing,omega=0.5,rbf,rbf(gamma=0.33069969024156304),-1.0434217460674253,3.000000000000289
duffing,omega=0.5,rbf,rbf(gamma=0.33079508351849396),-1.0434337841013603,3.000000000000257
duffing,omega=0.5,rbf,rbf(gamma=0.34486012945996974),-1.0452057326749402,3.000000000000344
duffing,omega=0.5,rbf,rbf(gamma=0.34778607122682453),-1.0455736092809225,3.000000000000392
duffing,omega=0.5,rbf,rbf(gamma=0.3540716452696184),-1.0463630295057433,3.0000000000003326
duffing,omega=0.5,rbf,rbf(gamma=0.35748085434752336),-1.0467907095481725,3.0000000000003486
duffing,omega=0.5,rbf,rbf(gamma=0.3666728838106774),-1.0479421192053193,3.0000000000003
duffing,omega=0.5,rbf,rbf(gamma=0.37287458174360527),-1.0487175427473039,3.000000000000284
duffing,omega=0.5,rbf,rbf(gamma=0.3747002699152963),-1.0489455995834496,3.0000000000003624
duffing,omega=0.5,rbf,rbf(gamma=0.37549972000796067),-1.0490454323688698,3.0000000000004596
duffing,omega=0.5,rbf,rbf(gamma=0.37721213704601636),-1.0492592101357052,3.000000000000323
duffing,omega=0.5,rbf,rbf(gamma=0.3790461873490457),-1.0494880767001937,3.00000000000027
duffing,omega=0.5,rbf,rbf(gamma=0.3912910653397012),-1.05101354740131,3.000000000000307
duffing,omega=0.5,rbf,rbf(gamma=0.40842015917572927),-1.0531401131650144,3.0000000000003646
duffing,omega=0.5,rbf,rbf(gamma=0.4172926884452463),-1.0542382597838686,3.000000000000296
duffing,omega=0.5,rbf,rbf(gamma=0.42253546860264124),-1.0548860765742447,3.0000000000002522
duffing,omega=0.5,rbf,rbf(gamma=0.4282763281683721),-1.055594520800774,3.0000000000002256
duffing,omega=0.5,rbf,rbf(gamma=0.43343093973668906),-1.0562298042631293,3.0000000000003157
duffing,omega=0.5,rbf,rbf(gamma=0.43361315287131097),-1.056252247134708,3.0000000000003375
duffing,omega=0.5,rbf,rbf(gamma=0.4384299088141175),-1.056845169590823,3.0000000000003673
duffing,omega=0.5,rbf,rbf(gamma=0.43872707860404364),-1.0568817279362028,3.000000000000369
duffing,omega=0.5,rbf,rbf(gamma=0.44315510035519556),-1.0574261681452342,3.00000000000029
duffing,omega=0.5,rbf,rbf(gamma=0.4607544921075932),-1.0595844757191426,3.0000000000002984
duffing,omega=0.5,rbf,rbf(gamma=0.4608646759947346),-1.0595979600476475,3.0000000000003246
duffing,omega=0.5,rbf,rbf(gamma=0.47613903051663964),-1.0614638645473706,3.000000000000368
duffing,omega=0.5,rbf,rbf(gamma=0.47776576027800655),-1.0616621905777037,3.0000000000004285
duffing,omega=0.5,rbf,rbf(gamma=0.4819544707219326),-1.062172517145743,3.00000000000035
duffing,omega=0.5,rbf,rbf(gamma=0.48855489394688945),-1.0629756543259214,3.0000000000003233
duffing,omega=0.5,rbf,rbf(gamma=0.5053174405626577),-1.0650097343152214,3.0000000000003904
duffing,omega=0.5,rbf,rbf(gamma=0.5091025541070499),-1.0654679400243328,3.000000000000332
duffing,omega=0.5,rbf,rbf(gamma=0.5172457127233674),-1.0664523308279172,3.000000000000327
duffing,omega=0.5,rbf,rbf(gamma=0.5248674161998298),-1.067371985520227,3.0000000000002487
duffing,omega=0.5,rbf,rbf(gamma=0.5280804015419744),-1.067759181217911,3.0000000000002203
duffing,omega=0.5,rbf,rbf(gamma=0.5299918816931555),-1.0679893948644625,3.0000000000004423
duffing,omega=0.5,rbf,rbf(gamma=0.5322788041455077),-1.0682646904946418,3.000000000000279
duffing,omega=0.5,rbf,rbf(gamma=0.5415719103032706),-1.0693818634993468,3.000000000000235
duffing,omega=0.5,rbf,rbf(gamma=0.5597506872261928),-1.0715602217408813,3.000000000000304
duffing,omega=0.5,rbf,rbf(gamma=0.5615673708957537),-1.0717774062106011,3.0000000000003
duffing,omega=0.5,rbf,rbf(gamma=0.565875542967564),-1.0722920796944875,3.0000000000003397
duffing,omega=0.5,rbf,rbf(gamma=0.5812405666926264),-1.0741234433648408,3.0000000000004152
duffing,omega=0.5,rbf,rbf(gamma=0.586942484340642),-1.0748013881896472,3.0000000000003872
duffing,omega=0.5,rbf,rbf(gamma=0.5889759566704682),-1.0750429452685826,3.0000000000003033
duffing,omega=0.5,rbf,rbf(gamma=0.6002553068711807),-1.0763807462845802,3.000000000000421
duffing,omega=0.5,rbf,rbf(gamma=0.6034676736661907),-1.0767611097619605,3.000000000000411
duffing,omega=0.5,rbf,rbf(gamma=0.6035017757918503),-1.0767651461305283,3.000000000000261
duffing,omega=0.5,rbf,rbf(gamma=0.6050352672118346),-1.076946618867176,3.0000000000002944
duffing,omega=0.5,rbf,rbf(gamma=0.6051477672318518),-1.0769599295195549,3.0000000000002736
duffing,omega=0.5,rbf,rbf(gamma=0.6287739802913623),-1.0797475954459628,3.000000000000362
duffing,omega=0.5,rbf,rbf(gamma=0.6381673519050943),-1.0808516706307232,3.0000000000002784
duffing,omega=0.5,rbf,rbf(gamma=0.6422357552191269),-1.0813291131953788,3.0000000000003513
duffing,omega=0.5,rbf,rbf(gamma=0.643601955739302),-1.0814893407303328,3.000000000000479
duffing,omega=0.5,rbf,rbf(gamma=0.6602766861795265),-1.083440852760585,3.000000000000329
duffing,omega=0.5,rbf,rbf(gamma=0.6613993804831261),-1.0835719748091306,3.0000000000004
