system,kind,family,kernel,trial,sc,vamp2
ou,all,rbf,rbf(gamma=0.1189493139469915),0,-1.141225181105543,3.000000000000166
ou,all,rbf,rbf(gamma=0.15668706547432937),0,-1.1748534237822472,3.0000000000000706
ou,all,rbf,rbf(gamma=0.237898627893983),0,-1.2350628922787175,3.000000000000286
ou,all,rbf,rbf(gamma=0.31337413094865874),0,-1.2798318406783893,3.0000000000002514
ou,all,rbf,rbf(gamma=0.475797255787966),0,-1.3519527553692563,3.000000000000234
ou,all,rbf,rbf(gamma=0.10425210156081827),0,-1.1269332187248229,2.9999999999999787
ou,all,rbf,rbf(gamma=0.07240700268061724),0,-1.0933129535740587,3.0000000000001315
ou,all,rbf,rbf(gamma=0.13757211753939785),0,-1.1583419686072256,3.0000000000001723
ou,all,rbf,rbf(gamma=0.09371083611283573),0,-1.1162241781487587,2.999999999999935
ou,all,rbf,rbf(gamma=0.14481400536123448),0,-1.1647182808898382,3.000000000000241
ou,all,rbf,rbf(gamma=0.951594511575932),0,-1.4677664354161974,3.0000000000005023
ou,all,rbf,rbf(gamma=0.20850420312163653),0,-1.2149341453873475,3.0000000000002367
ou,all,rbf,rbf(gamma=0.2751442350787957),0,-1.2582880653041149,3.0000000000001403
ou,all,rbf,rbf(gamma=0.6267482618973175),0,-1.3997862300617345,3.000000000000413
ou,all,rbf,rbf(gamma=0.18742167222567147),0,-1.1993890427464744,3.0000000000002136
ou,all,rbf,rbf(gamma=0.16090278870991295),0,-1.1783603113212888,3.0000000000000497
ou,all,rbf,rbf(gamma=0.28962801072246896),0,-1.266705069723964,3.000000000000199
ou,all,rbf,rbf(gamma=0.37484334445134293),0,-1.3103871202259425,3.0000000000002305
ou,all,rbf,rbf(gamma=0.41700840624327307),0,-1.3288989888322837,3.000000000000385
ou,all,rbf,rbf(gamma=0.5502884701575914),0,-1.3773384475417976,3.000000000000117
ou,all,rbf,rbf(gamma=0.3218055774198259),0,-1.2843034692866098,3.0000000000002656
ou,all,rbf,rbf(gamma=1.903189023151864),0,-1.5534381207438317,3.000000000000767
ou,all,rbf,rbf(gamma=1.253496523794635),0,-1.5069385777765698,3.0000000000004357
ou,all,rbf,rbf(gamma=0.15567608695466637),0,-1.1740054073856123,3.000000000000172
ou,all,rbf,rbf(gamma=0.6436111548396518),0,-1.4043176743727832,3.0000000000004126
ou,all,rbf,rbf(gamma=0.31135217390933273),0,-1.2787451594461272,3.000000000000239
ou,all,rbf,rbf(gamma=0.7496866889026859),0,-1.4299022956501422,3.0000000000002514
ou,all,rbf,rbf(gamma=1.1005769403151828),0,-1.4891540636833895,3.0000000000005644
ou,all,rbf,rbf(gamma=0.5792560214449379),0,-1.3862315490664021,3.000000000000122
ou,all,rbf,rbf(gamma=0.8340168124865461),0,-1.447201391035616,3.000000000000218
ou,all,rbf,rbf(gamma=0.6227043478186655),0,-1.3986784682259348,3.000000000000505
ou,all,rbf,rbf(gamma=2.50699304758927),0,-1.5734678147267736,3.000000000000322
ou,all,rbf,rbf(gamma=1.2872223096793036),0,-1.5103952983432727,3.000000000000341
ou,all,rbf,rbf(gamma=0.13093199232465336),0,-1.1523604732588542,3.000000000000284
ou,all,rbf,rbf(gamma=1.4993733778053717),0,-1.5290190481179724,3.0000000000003335
ou,all,rbf,rbf(gamma=2.2011538806303657),0,-1.5651814910146942,3.000000000000285
ou,all,rbf,rbf(gamma=0.19117749334115847),0,-1.202230941947903,2.999999999999984
ou,all,rbf,rbf(gamma=1.245408695637331),0,-1.5060865886268726,3.0000000000002984
ou,all,rbf,rbf(gamma=1.1585120428898759),0,-1.4963291058200971,3.000000000000323
ou,all,rbf,rbf(gamma=1.6680336249730923),0,-1.540683854668252,3.0000000000005085
ou,all,rbf,rbf(gamma=0.2618639846493067),0,-1.2502779225016745,3.000000000000093
ou,all,rbf,rbf(gamma=2.5744446193586072),0,-1.5748888495922386,3.000000000000285
ou,all,rbf,rbf(gamma=0.38235498668231693),0,-1.3138190360194306,3.0000000000003255
ou,all,rbf,rbf(gamma=0.5237279692986134),0,-1.3687255184847422,3.000000000000278
ou,all,rbf,rbf(gamma=0.7647099733646339),0,-1.4331625984755638,3.000000000000338
ou,all,rbf,rbf(gamma=1.0474559385972269),0,-1.4820467771659716,3.0000000000003686
ou,all,rbf,rbf(gamma=2.490817391274662),0,-1.5731072186673072,3.000000000000362
ou,all,rbf,rbf(gamma=2.0949118771944537),0,-1.561472358381632,3.0000000000005
ou,all,rbf,rbf(gamma=1.5294199467292677),0,-1.5312777505549646,3.0000000000003166
ou,all,rbf,rbf(gamma=3.0588398934585355),0,-1.5817821429885857,3.0000000000006737
ou,all,linear,linear,0,-0.9786665702093633,0.9999999999998186
ou,all,poly,poly(p=1),0,-0.6359788421820092,2.000000000000411
ou,all,poly,poly(p=2),0,14.027842191246313,2.999999999999787
ou,all,poly,poly(p=3),0,254.87954586010238,2.9999999999998828
ou,all,poly,poly(p=4),0,4397.405345626012,3.0000000000101292
ou,all,hermite,hermite(good),0,-1.102312903978146,2.999999999999927
ou,all,hermite,hermite(bad),0,-2.3106421720746977,3.0000000000079377
ou,all,hermite,hermite(ugly),0,-0.3977253762458922,1.0004322492306281
ou,all,rbf,rbf(gamma=0.1189493139469915),1,-1.1452490782194522,2.9999999999999667
ou,all,rbf,rbf(gamma=0.15668706547432937),1,-1.1790283004195508,3.000000000000114
ou,all,rbf,rbf(gamma=0.237898627893983),1,-1.2389374983333856,3.000000000000112
ou,all,rbf,rbf(gamma=0.31337413094865874),1,-1.2831204212933742,3.0000000000001172
ou,all,rbf,rbf(gamma=0.475797255787966),1,-1.353915090774695,3.0000000000001705
ou,all,rbf,rbf(gamma=0.10425210156081827),1,-1.1308116797343621,2.999999999999962
ou,all,rbf,rbf(gamma=0.07240700268061724),1,-1.0966379164185092,3.00000000000007
ou,all,rbf,rbf(gamma=0.13757211753939785),1,-1.1624748432848118,3.000000000000022
ou,all,rbf,rbf(gamma=0.09371083611283573),1,-1.119959448318543,2.999999999999801
ou,all,rbf,rbf(gamma=0.14481400536123448),1,-1.1688744775907955,3.000000000000163
ou,all,rbf,rbf(gamma=0.951594511575932),1,-1.4675538900699716,3.0000000000002425
ou,all,rbf,rbf(gamma=0.20850420312163653),1,-1.218980585627152,2.9999999999998512
ou,all,rbf,rbf(gamma=0.2751442350787957),1,-1.2618898841897561,3.0000000000000924
ou,all,rbf,rbf(gamma=0.6267482618973175),1,-1.4007831547053993,3.000000000000327
ou,all,rbf,rbf(gamma=0.18742167222567147),1,-1.2035214117800437,3.0000000000000364
ou,all,rbf,rbf(gamma=0.16090278870991295),1,-1.1825365506183987,3.0000000000000684
ou,all,rbf,rbf(gamma=0.28962801072246896),1,-1.2701907742314513,3.000000000000094
ou,all,rbf,rbf(gamma=0.37484334445134293),1,-1.3131538446053366,2.999999999999992
ou,all,rbf,rbf(gamma=0.41700840624327307),1,-1.331317047220355,3.000000000000558
ou,all,rbf,rbf(gamma=0.5502884701575914),1,-1.3787866298153046,3.0000000000000764
ou,all,rbf,rbf(gamma=0.3218055774198259),1,-1.2875208092273196,2.999999999999931
ou,all,rbf,rbf(gamma=1.903189023151864),1,-1.5528052540965847,3.000000000000404
ou,all,rbf,rbf(gamma=1.253496523794635),1,-1.5062680961836832,3.0000000000003864
ou,all,rbf,rbf(gamma=0.15567608695466637),1,-1.1781795664022474,3.000000000000047
ou,all,rbf,rbf(gamma=0.6436111548396518),1,-1.4052250908543273,3.0000000000002807
ou,all,rbf,rbf(gamma=0.31135217390933273),1,-1.2820507520367883,3.000000000000174
ou,all,rbf,rbf(gamma=0.7496866889026859),1,-1.4303220985714487,3.000000000000223
ou,all,rbf,rbf(gamma=1.1005769403151828),1,-1.4886584250835524,3.0000000000002265
ou,all,rbf,rbf(gamma=0.5792560214449379),1,-1.3874998047881038,3.000000000000081
ou,all,rbf,rbf(gamma=0.8340168124865461),1,-1.4473156679433514,3.0000000000003806
ou,all,rbf,rbf(gamma=0.6227043478186655),1,-1.3996973803372867,3.0000000000008176
ou,all,rbf,rbf(gamma=2.50699304758927),1,-1.573459992931244,3.0000000000004174
ou,all,rbf,rbf(gamma=1.2872223096793036),1,-1.509699007441548,3.000000000000316
ou,all,rbf,rbf(gamma=0.13093199232465336),1,-1.1564630775936737,3.0000000000002855
ou,all,rbf,rbf(gamma=1.4993733778053717),1,-1.5282445102206907,3.0000000000004636
ou,all,rbf,rbf(gamma=2.2011538806303657),1,-1.5648125125148784,3.0000000000004072
ou,all,rbf,rbf(gamma=0.19117749334115847),1,-1.2063508520620112,3.0000000000000817
ou,all,rbf,rbf(gamma=1.245408695637331),1,-1.505422923092763,3.0000000000002327
ou,all,rbf,rbf(gamma=1.1585120428898759),1,-1.495755189357573,3.0000000000004126
ou,all,rbf,rbf(gamma=1.6680336249730923),1,-1.5399304759083636,3.0000000000002656
ou,all,rbf,rbf(gamma=0.2618639846493067),1,-1.2539820778323691,3.0000000000001896
ou,all,rbf,rbf(gamma=2.5744446193586072),1,-1.5749699022420947,3.000000000000451
ou,all,rbf,rbf(gamma=0.38235498668231693),1,-1.3165226484635848,3.000000000000294
ou,all,rbf,rbf(gamma=0.5237279692986134),1,-1.3703485242774645,3.00000000000019
ou,all,rbf,rbf(gamma=0.7647099733646339),1,-1.4335230526413787,3.0000000000001728
ou,all,rbf,rbf(gamma=1.0474559385972269),1,-1.4816375800294144,3.000000000000157
ou,all,rbf,rbf(gamma=2.490817391274662),1,-1.5730785206021773,3.000000000000501
ou,all,rbf,rbf(gamma=2.0949118771944537),1,-1.5609975370471838,3.0000000000002793
ou,all,rbf,rbf(gamma=1.5294199467292677),1,-1.530502234879867,3.0000000000004974
ou,all,rbf,rbf(gamma=3.0588398934585355),1,-1.5825702170421914,3.000000000000418
ou,all,linear,linear,1,-0.6608641945865344,0.9999999999998943
ou,all,poly,poly(p=1),1,-1.5920845254470113,2.0000000000000973
ou,all,poly,poly(p=2),1,-2.0152327286025513,2.999999999999924
ou,all,poly,poly(p=3),1,0.20082789250534105,3.0000000000014344
ou,all,poly,poly(p=4),1,27.159270767112744,3.000000000003382
ou,all,hermite,hermite(good),1,-1.108562715638517,3.0000000000000195
ou,all,hermite,hermite(bad),1,-2.0313235512114867,3.0000000000004805
ou,all,hermite,hermite(ugly),1,-0.2770739138487437,1.0000088061491599
ou,all,rbf,rbf(gamma=0.1189493139469915),2,-1.1086497727929274,3.000000000000107
ou,all,rbf,rbf(gamma=0.15668706547432937),2,-1.1363861286687817,3.000000000000127
ou,all,rbf,rbf(gamma=0.237898627893983),2,-1.1879768869892577,3.000000000000034
ou,all,rbf,rbf(gamma=0.31337413094865874),2,-1.228000695782387,3.000000000000286
ou,all,rbf,rbf(gamma=0.475797255787966),2,-1.2955784934262558,3.0000000000000537
ou,all,rbf,rbf(gamma=0.10425210156081827),2,-1.0970886017773465,3.0000000000000804
ou,all,rbf,rbf(gamma=0.07240700268061724),2,-1.0704116148421587,2.9999999999947913
ou,all,rbf,rbf(gamma=0.13757211753939785),2,-1.1226731072908818,2.999999999999864
ou,all,rbf,rbf(gamma=0.09371083611283573),2,-1.08851275361895,2.9999999999999396
