kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank
hermite(bad),omega=0.5,Principal Components (kDMD),3.0,1.0,0.027864935622045447,0.010992561248607355,11.023333194383135,0.0031074557916253203,0.07484323531134057,0.017681269423630082,,3.5,0.00015960418343223813,7.282413475613857e-05,5.0
hermite(bad),omega=0.5,Reduced Rank,3.0,1.0,0.21555176476942023,0.12000623907027395,408.88707263394303,0.05288032679455662,0.15927431280191362,0.17001266639252804,,2.3,0.03519151597452447,0.1106809720993538,5.0
hermite(bad),omega=0.8,Principal Components (kDMD),3.0,1.0,0.011994576432364621,0.02070579604298218,15.361953714821496,0.001441775610008559,0.07604348084186188,0.031249558251989384,,3.5,0.00035400582659308457,0.00033845028227804926,5.0
hermite(bad),omega=0.8,Reduced Rank,3.0,1.0,0.28829125977185993,0.27729177955587586,602.2263640813024,0.029169706673059334,0.18415681316577823,0.19083500995449668,,3.1,0.13078178253978107,0.2986313039190661,4.9
hermite(bad),omega=1.0,Principal Components (kDMD),3.0,1.0,0.015491591544545385,0.0019013009466543446,8.496196665982737,0.001826032593910901,0.06870438761592038,0.036350438214256285,,3.1,0.00012681084556871448,0.00015893505436715948,5.0
hermite(bad),omega=1.0,Reduced Rank,3.0,1.0,0.22983096758939808,0.14129068572560516,5.200197354379123,0.04398799485115023,0.09422782582749772,0.03374994955226487,,1.4,0.00014837432491067172,0.00014261108009667653,5.0
hermite(bad),omega=1.2,Principal Components (kDMD),3.0,1.0,0.013569729898785693,0.0027795207399298524,8.650520785963359,0.001569076652656895,0.06833431529830049,0.02401993296938493,,3.1,4.6294496454946096e-05,3.5197782538368444e-05,5.0
hermite(bad),omega=1.2,Reduced Rank,3.0,1.0,0.20260909518732567,0.17655834498779643,4.963562146522898,0.041203583844505565,0.09518717283002137,0.030676534869576784,,2.5,7.781556378509969e-05,0.00011027432874897488,5.0
hermite(bad),omega=1.5,Principal Components (kDMD),3.0,1.0,0.005182382029388448,0.005541330743693558,16.2030852846356,0.0005538493251940675,0.07851196843025134,0.03006482262068795,,3.6,0.0008146096110924539,0.000975067542573378,5.0
hermite(bad),omega=1.5,Reduced Rank,3.0,1.0,0.46946188223318164,0.3741988270017529,1514.6742727275378,0.01680701427986003,0.4340204404317739,0.2214706229546749,,3.4,0.3958828413941229,0.49944069259191604,5.0
hermite(bad),omega=2.0,Principal Components (kDMD),3.0,1.0,8.055710684519313e-06,1.1209127456787079e-05,22.151423740936842,5.734999772330226e-07,0.0841871715408467,0.03213640632561558,,3.1,0.0011247691169885554,0.00019186048101044192,5.0
hermite(bad),omega=2.0,Reduced Rank,3.0,1.0,1.0266905379509774,1.5273557846793178,1158.1161764172502,0.0046569685539733854,0.3362317327199153,0.2143620173120616,,4.0,0.3178598531034246,0.4806069367187069,4.5
hermite(bad),omega=3.0,Principal Components (kDMD),3.0,1.0,3.3618931410433807e-06,3.867167697779635e-06,24.15534887400092,1.9341042772246288e-07,0.09674347281916694,0.04269731600727913,,3.6,0.0010434754983765116,8.59122962482076e-05,5.0
hermite(bad),omega=3.0,Reduced Rank,3.0,1.0,0.6017810339986869,0.7830053893848062,1723.064569815058,0.0006650259086065017,0.41102572384187347,0.2115663470310166,,4.4,0.5776074730494353,0.48352902641946316,4.9
hermite(good),omega=0.5,Principal Components (kDMD),3.0,1.0,1.6493604364679966e-06,6.22123903223733e-07,68.70629323511676,3.592656001934973e-08,0.0691472969209842,0.014119607314135182,,3.5,0.00020290828646282177,8.14233609981265e-05,5.0
hermite(good),omega=0.5,Reduced Rank,3.0,1.0,0.23100701500559553,0.12015383213959087,1340.1289897805916,0.00017788354309967834,0.5575231719816592,0.1331837461818688,,4.0,1.0426437733193679,0.5417934350291644,4.9
hermite(good),omega=0.8,Principal Components (kDMD),3.0,1.0,6.617443999038489e-07,1.029798924165843e-06,119.48065150517981,1.6868919800041817e-08,0.06999002759841977,0.0247595995239939,,3.4,0.00035511187979601064,0.00031905402579754605,5.0
hermite(good),omega=0.8,Reduced Rank,3.0,1.0,0.1521185820550469,0.18310027907810159,1785.3874688207693,8.624614975765625e-05,0.6320772787031007,0.31020153820629753,,3.1,1.6464088950464064,1.5563473383673094,4.8
hermite(good),omega=1.0,Principal Components (kDMD),3.0,1.0,1.1237895159138583e-06,6.190813493837081e-07,47.10284611963077,2.379844666588854e-08,0.0662693583459606,0.04354707811755254,,2.9,0.00014016912253486113,0.00015942304972803498,5.0
hermite(good),omega=1.0,Reduced Rank,3.0,1.0,0.1753118769657037,0.07388829756029197,1152.1597883849674,0.00015129229956315225,0.5931719983933976,0.12299987620263142,,3.8,1.2169882463836401,0.5266786875720461,5.0
hermite(good),omega=1.2,Principal Components (kDMD),3.0,1.0,9.661429812923224e-07,4.587658053659934e-07,46.84077252088705,2.0737050524136962e-08,0.06311869756201019,0.03254018055476373,,3.3,6.776034562102628e-05,6.085875605211998e-05,5.0
hermite(good),omega=1.2,Reduced Rank,3.0,1.0,0.1482121717942114,0.06787337752747889,1088.7595302430195,0.00013790119227721765,0.5362118649582938,0.09077534882795997,,3.9,0.9406168897166625,0.2755134518590173,5.0
hermite(good),omega=1.5,Principal Components (kDMD),3.0,1.0,3.8317422327455745e-07,4.216440928348878e-07,122.15797532972668,7.238162954200275e-09,0.07061426886096524,0.01414350785518156,,3.9,0.000844301863919783,0.001000465593360955,5.0
hermite(good),omega=1.5,Reduced Rank,3.0,1.0,0.09561731432774756,0.10544403650221851,1836.4696923355564,5.910293823963789e-05,0.7743872149276751,0.28468892462550666,,3.3,1.8616817421157137,0.7907322285207774,5.0
hermite(good),omega=2.0,Principal Components (kDMD),3.0,1.0,1.7705444857216685e-09,2.7694573089977787e-09,193.4351282808766,1.7874579120876228e-11,0.06866380783668288,0.012306060065225114,,3.9,0.0011277406632433152,0.00021628193395167495,5.0
hermite(good),omega=2.0,Reduced Rank,3.0,1.0,0.011543387046047866,0.030628206308651245,2384.4779182093594,0.00013825972260649017,0.7222808542293284,0.35894937502075236,,3.4,1.6808669555116242,0.9952519943165732,4.8
hermite(good),omega=3.0,Principal Components (kDMD),3.0,1.0,6.025842688516912e-10,1.1141492157568395e-09,218.51036219476623,5.137206758867267e-12,0.08021437408120535,0.019609448506131617,,3.9,0.0010415336847007018,8.255986948267704e-05,5.0
hermite(good),omega=3.0,Reduced Rank,3.0,1.0,0.0010136361462990719,0.0020969103783276223,1788.1874096326605,8.562476635405459e-07,0.8208867250574998,0.21121011487409136,,3.7,2.1752996921527137,0.8997407042073601,4.8
hermite(ugly),omega=0.5,Principal Components (kDMD),1.0,0.5,0.0,0.0,10.491186656738636,0.0,0.17491810128055124,0.027258119840508594,,1.0,,,1.0
hermite(ugly),omega=0.5,Reduced Rank,3.0,1.0,0.0,,0.0,1.1112875817595878e-15,1.4715373581954394,,,1.4,4.891724412837592,0.7524428145921458,4.8
hermite(ugly),omega=0.8,Principal Components (kDMD),1.0,0.5,0.0,0.0,10.76604463431482,0.0,0.17300453436206947,0.030552909482770625,,1.0,,,1.0
hermite(ugly),omega=0.8,Reduced Rank,3.0,1.0,0.0,0.0,0.0,8.957971426820295e-16,1.42331238113065,0.0782387907437808,,1.5,4.4021033393560245,0.5051258388918577,4.8
hermite(ugly),omega=1.0,Principal Components (kDMD),1.0,0.5,0.0,0.0,10.240342679684144,0.0,0.1824424862735602,0.015286092576915895,,1.0,,,1.0
hermite(ugly),omega=1.0,Reduced Rank,3.0,1.0,0.0,0.0,0.0,9.788957882716657e-16,1.4966329636213571,0.06447419756901436,,2.1,4.891703902279717,0.4083016273188841,5.0
hermite(ugly),omega=1.2,Principal Components (kDMD),1.0,0.5,0.0,0.0,10.670777831742308,0.0,0.17893623053165625,0.01934981807343554,,1.0,,,1.0
hermite(ugly),omega=1.2,Reduced Rank,3.0,1.0,0.0,0.0,0.0,9.261397783407016e-16,1.4496815253710327,0.10526926305872136,,1.5,4.936577172096362,0.947635989964687,4.8
hermite(ugly),omega=1.5,Principal Components (kDMD),1.0,0.5,0.0,0.0,10.376749266571474,0.0,0.1793816010439882,0.009831828988475308,,1.0,,,1.0
