kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,std_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
hermite(ugly),omega=3.0,Principal Components (kDMD),1.0,0.5,0.0,0.0,13.876849003831017,0.0,0.16987587834795512,0.004435685099156005,,1.0,,,1.0,-0.4736477440323458,-0.6017820311385669,-0.558806134056355,-0.3754583842357909,-0.36886003879571505,-0.9187695535892353,0.0,-1.6253570728280242,0.0,0.0,-3.769229572269425,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,1
hermite(ugly),omega=2.0,Principal Components (kDMD),1.0,0.5,0.0,0.0,11.833078949336777,0.0,0.17210969348432542,0.00854371532865063,,1.0,,,1.0,-0.4736477440323458,-0.6047834184780079,-0.5542770110063711,-0.3754583842357909,-0.36886003879571505,-0.8740195922789303,0.0,-1.6253570728280242,0.0,0.0,-3.7565143462313055,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,2
hermite(ugly),omega=1.5,Principal Components (kDMD),1.0,0.5,0.0,0.0,10.376749266571474,0.0,0.1793816010439882,0.009831828988475308,,1.0,,,1.0,-0.4736477440323458,-0.606922117722716,-0.539533013793004,-0.3754583842357909,-0.36886003879571505,-0.8599877976668636,0.0,-1.6253570728280242,0.0,0.0,-3.74040109960963,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,3
hermite(ugly),omega=1.0,Principal Components (kDMD),1.0,0.5,0.0,0.0,10.240342679684144,0.0,0.1824424862735602,0.015286092576915895,,1.0,,,1.0,-0.4736477440323458,-0.607122438204954,-0.5333269828547699,-0.3754583842357909,-0.36886003879571505,-0.8005729270540568,0.0,-1.6253570728280242,0.0,0.0,-3.719541671500432,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,4
hermite(ugly),omega=1.2,Principal Components (kDMD),1.0,0.5,0.0,0.0,10.670777831742308,0.0,0.17893623053165625,0.01934981807343554,,1.0,,,1.0,-0.4736477440323458,-0.6064903208035874,-0.5404360150397693,-0.3754583842357909,-0.36886003879571505,-0.7563055900127404,0.0,-1.6253570728280242,0.0,0.0,-3.7149517520237363,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,5
hermite(ugly),omega=0.5,Principal Components (kDMD),1.0,0.5,0.0,0.0,10.491186656738636,0.0,0.17491810128055124,0.027258119840508594,,1.0,,,1.0,-0.4736477440323458,-0.6067540601991941,-0.5485828851691235,-0.3754583842357909,-0.36886003879571505,-0.6701581718253448,0.0,-1.6253570728280242,0.0,0.0,-3.7018255070018475,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,6
hermite(ugly),omega=0.8,Principal Components (kDMD),1.0,0.5,0.0,0.0,10.76604463431482,0.0,0.17300453436206947,0.030552909482770625,,1.0,,,1.0,-0.4736477440323458,-0.6063504163292649,-0.5524626959453478,-0.3754583842357909,-0.36886003879571505,-0.6342670754166023,0.0,-1.6253570728280242,0.0,0.0,-3.6963288998059576,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,7
hermite(good),omega=1.0,Principal Components (kDMD),3.0,1.0,1.1237895159138583e-06,6.190813493837081e-07,47.10284611963077,2.379844666588854e-08,0.0662693583459606,0.04354707811755254,,2.9,0.00014016912253486113,0.00015942304972803498,5.0,-0.4736420456219284,-0.5529878495894386,-0.7688712689144369,-0.37545649479166454,-0.3688577126036792,-0.4927178386336962,0.0,0.14413125475282607,0.7119702710505911,-0.884533223030711,-1.9196402148105363,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,8
hermite(bad),omega=2.0,Principal Components (kDMD),3.0,1.0,8.055710684519313e-06,1.1209127456787079e-05,22.151423740936842,5.734999772330226e-07,0.0841871715408467,0.03213640632561558,,3.1,0.0011247691169885554,0.00019186048101044192,5.0,-0.4736068958619063,-0.5896303686750745,-0.7325423984430302,-0.3754128520135122,-0.36881792061036706,-0.6170175863686554,0.0,0.3303931839718631,0.7114107923914311,-0.8844525039939006,-1.764959511562419,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,9
hermite(bad),omega=1.2,Principal Components (kDMD),3.0,1.0,0.013569729898785693,0.0027795207399298524,8.650520785963359,0.001569076652656895,0.06833431529830049,0.02401993296938493,,3.1,4.6294496454946096e-05,3.5197782538368444e-05,5.0,-0.4048395827873745,-0.60945717801254,-0.7646845105843525,-0.2508837551906793,-0.3584160171576082,-0.7054326778788577,0.0,0.3303931839718631,0.7120236133725737,-0.8848423518216982,-1.7051909200359976,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,10
