kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
hermite(good),omega=0.5,Principal Components (kDMD),0,,4,0.00019805299650488273,5
hermite(bad),omega=0.5,Principal Components (kDMD),0,,4,0.00014829601028387707,5
hermite(ugly),omega=0.5,Principal Components (kDMD),0,,1,,1
hermite(good),omega=0.5,Principal Components (kDMD),1,,4,0.00014000730077301515,5
hermite(bad),omega=0.5,Principal Components (kDMD),1,,4,0.00012146299729609566,5
hermite(ugly),omega=0.5,Principal Components (kDMD),1,,1,,1
hermite(good),omega=0.5,Principal Components (kDMD),2,,4,0.00016908585943165022,5
hermite(bad),omega=0.5,Principal Components (kDMD),2,,4,0.00013756960924560246,5
hermite(ugly),omega=0.5,Principal Components (kDMD),2,,1,,1
hermite(good),omega=0.5,Principal Components (kDMD),3,,0,0.0002490420533418636,5
hermite(bad),omega=0.5,Principal Components (kDMD),3,,0,0.0001646453631103384,5
hermite(ugly),omega=0.5,Principal Components (kDMD),3,,1,,1
hermite(good),omega=0.5,Principal Components (kDMD),4,,4,0.00011080055705814384,5
hermite(bad),omega=0.5,Principal Components (kDMD),4,,4,0.00010889571059091718,5
hermite(ugly),omega=0.5,Principal Components (kDMD),4,,1,,1
hermite(good),omega=0.5,Principal Components (kDMD),5,,4,0.000366719051662745,5
hermite(bad),omega=0.5,Principal Components (kDMD),5,,4,0.00036125092974703676,5
hermite(ugly),omega=0.5,Principal Components (kDMD),5,,1,,1
hermite(good),omega=0.5,Principal Components (kDMD),6,,3,0.00030380632743276514,5
hermite(bad),omega=0.5,Principal Components (kDMD),6,,3,0.00015399050966546923,5
hermite(ugly),omega=0.5,Principal Components (kDMD),6,,1,,1
hermite(good),omega=0.5,Principal Components (kDMD),7,,4,0.00012510397160492293,5
hermite(bad),omega=0.5,Principal Components (kDMD),7,,4,0.00011926894066482951,5
hermite(ugly),omega=0.5,Principal Components (kDMD),7,,1,,1
hermite(good),omega=0.5,Principal Components (kDMD),8,,4,0.0001765437717060614,5
hermite(bad),omega=0.5,Principal Components (kDMD),8,,4,0.00013921158558538593,5
hermite(ugly),omega=0.5,Principal Components (kDMD),8,,1,,1
hermite(good),omega=0.5,Principal Components (kDMD),9,,4,0.00018992097511216777,5
hermite(bad),omega=0.5,Principal Components (kDMD),9,,4,0.00014145017813282923,5
hermite(ugly),omega=0.5,Principal Components (kDMD),9,,1,,1
hermite(good),omega=0.5,Reduced Rank,0,,5,0.8838515279496577,5
hermite(bad),omega=0.5,Reduced Rank,0,,2,0.0001856008150881161,5
hermite(ugly),omega=0.5,Reduced Rank,0,,2,3.040656369953412,3
hermite(good),omega=0.5,Reduced Rank,1,,4,1.0169978684451475,5
hermite(bad),omega=0.5,Reduced Rank,1,,3,0.0001138367616454472,5
hermite(ugly),omega=0.5,Reduced Rank,1,,4,5.083379190951971,5
hermite(good),omega=0.5,Reduced Rank,2,,5,0.7357137561288103,5
hermite(bad),omega=0.5,Reduced Rank,2,,2,0.00019316835164051582,5
hermite(ugly),omega=0.5,Reduced Rank,2,,0,5.003880885395984,5
hermite(good),omega=0.5,Reduced Rank,3,,2,0.814254283552137,5
hermite(bad),omega=0.5,Reduced Rank,3,,0,0.00014987193891302653,5
hermite(ugly),omega=0.5,Reduced Rank,3,,1,5.851125932423451,5
hermite(good),omega=0.5,Reduced Rank,4,,4,0.9956349825364355,5
hermite(bad),omega=0.5,Reduced Rank,4,,0,0.0001280959569621709,5
hermite(ugly),omega=0.5,Reduced Rank,4,,0,5.034530833087866,5
hermite(good),omega=0.5,Reduced Rank,5,,2,1.178927244773691,4
hermite(bad),omega=0.5,Reduced Rank,5,,5,0.3501950033643655,5
hermite(ugly),omega=0.5,Reduced Rank,5,,1,4.324819244732564,5
hermite(good),omega=0.5,Reduced Rank,6,,4,0.6918282437460097,5
hermite(bad),omega=0.5,Reduced Rank,6,,1,0.00024111411372151892,5
hermite(ugly),omega=0.5,Reduced Rank,6,,1,4.959020722766315,5
hermite(good),omega=0.5,Reduced Rank,7,,5,2.45997149697981,5
hermite(bad),omega=0.5,Reduced Rank,7,,3,0.00017161667436815797,5
hermite(ugly),omega=0.5,Reduced Rank,7,,2,5.025156893221388,5
hermite(good),omega=0.5,Reduced Rank,8,,5,1.1577113538882962,5
hermite(bad),omega=0.5,Reduced Rank,8,,3,0.0003920469604055121,5
hermite(ugly),omega=0.5,Reduced Rank,8,,3,5.352859767091788,5
hermite(good),omega=0.5,Reduced Rank,9,,4,0.49154697519368384,5
hermite(bad),omega=0.5,Reduced Rank,9,,4,0.00014480480813472418,5
hermite(ugly),omega=0.5,Reduced Rank,9,,0,5.241814288751172,5
hermite(good),omega=0.8,Principal Components (kDMD),0,,4,0.00010701417868097529,5
hermite(bad),omega=0.8,Principal Components (kDMD),0,,4,8.498687090685575e-05,5
hermite(ugly),omega=0.8,Principal Components (kDMD),0,,1,,1
hermite(good),omega=0.8,Principal Components (kDMD),1,,2,7.302217106985864e-06,5
hermite(bad),omega=0.8,Principal Components (kDMD),1,,3,0.0,5
hermite(ugly),omega=0.8,Principal Components (kDMD),1,,1,,1
hermite(good),omega=0.8,Principal Components (kDMD),2,,2,0.0008619815715034118,5
hermite(bad),omega=0.8,Principal Components (kDMD),2,,2,0.0008728762573919635,5
hermite(ugly),omega=0.8,Principal Components (kDMD),2,,1,,1
hermite(good),omega=0.8,Principal Components (kDMD),3,,4,0.00017316705418046752,5
hermite(bad),omega=0.8,Principal Components (kDMD),3,,4,0.00022497289558265354,5
hermite(ugly),omega=0.8,Principal Components (kDMD),3,,1,,1
hermite(good),omega=0.8,Principal Components (kDMD),4,,4,0.00022245519266095304,5
hermite(bad),omega=0.8,Principal Components (kDMD),4,,4,0.00016724834597225957,5
hermite(ugly),omega=0.8,Principal Components (kDMD),4,,1,,1
hermite(good),omega=0.8,Principal Components (kDMD),5,,4,0.0003868056804141595,5
hermite(bad),omega=0.8,Principal Components (kDMD),5,,4,0.0003778792600662717,5
hermite(ugly),omega=0.8,Principal Components (kDMD),5,,1,,1
hermite(good),omega=0.8,Principal Components (kDMD),6,,2,0.000813020405360243,5
hermite(bad),omega=0.8,Principal Components (kDMD),6,,2,0.0008795417596677568,5
hermite(ugly),omega=0.8,Principal Components (kDMD),6,,1,,1
hermite(good),omega=0.8,Principal Components (kDMD),7,,4,0.0007031394196272966,5
hermite(bad),omega=0.8,Principal Components (kDMD),7,,4,0.0007025454522087138,5
hermite(ugly),omega=0.8,Principal Components (kDMD),7,,1,,1
hermite(good),omega=0.8,Principal Components (kDMD),8,,4,0.0001339468793941645,5
hermite(bad),omega=0.8,Principal Components (kDMD),8,,4,0.0001127911708117546,5
hermite(ugly),omega=0.8,Principal Components (kDMD),8,,1,,1
hermite(good),omega=0.8,Principal Components (kDMD),9,,4,0.00014228619903144946,5
hermite(bad),omega=0.8,Principal Components (kDMD),9,,4,0.0001172162533226162,5
hermite(ugly),omega=0.8,Principal Components (kDMD),9,,1,,1
hermite(good),omega=0.8,Reduced Rank,0,,5,0.45191480588106225,5
hermite(bad),omega=0.8,Reduced Rank,0,,4,6.518190483628672e-05,5
hermite(ugly),omega=0.8,Reduced Rank,0,,2,4.884281972588651,5
