kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
rbf(gamma=0.5615673708957537),omega=0.5,Principal Components (kDMD),3.0,1.0,0.15785783768707554,,10.113425291652847,0.015608741166789859,0.048073941293901204,,,2.0,0.0003650845365597011,,5.0,-0.36447002720955385,-0.9515825710866713,-1.5423301323956435,-0.4244663427673178,0.0,0.0,0.0,-3.0138307522823253,-0.2923565860322406,-6.230624947373974,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,1
rbf(gamma=0.28078368544787685),omega=0.5,Principal Components (kDMD),3.0,1.0,0.05456774249624671,,10.156069989701098,0.0053729191066605375,0.04839398435082601,,,2.0,0.0002592197340202107,,5.0,-0.36487362259625805,-0.9495955332469672,-1.536280704890702,-0.4272904035052274,0.0,0.0,0.0,-3.0138307522823253,0.039616878398292185,-6.058417375569721,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,2
rbf(gamma=0.14039184272393843),omega=0.5,Principal Components (kDMD),3.0,1.0,0.01765131767419869,,10.628935482621895,0.0016606853718378722,0.05037220076011475,,,2.0,0.0002201031470249193,,5.0,-0.36501786971621925,-0.9275622754088921,-1.4988886212377515,-0.42831460786115216,0.0,0.0,0.0,-3.0138307522823253,0.16227963873056803,-5.9383170032104795,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,3
rbf(gamma=1.1231347417915074),omega=0.5,Principal Components (kDMD),3.0,1.0,0.3659975694373334,,10.90862058977917,0.03355122367902819,0.0725902242051621,,,2.0,0.0004795495956071427,,5.0,-0.3636567426892031,-0.9145302944931306,-1.0789253718381941,-0.41951601634450764,0.0,0.0,0.0,-3.0138307522823253,-0.651298947390256,-5.906350643170235,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,4
rbf(gamma=0.4282763281683721),omega=1.0,Principal Components (kDMD),3.0,1.0,0.06885519257536557,,9.77800156359569,0.007041847163506207,0.05896270576067201,,,2.0,0.00011185990419360081,,5.0,-0.3648177958596378,-0.967211703674973,-1.3365116031857085,-0.42682994667312857,0.0,0.0,0.0,-3.0138307522823253,0.5017114750153798,-5.64493109083152,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,5
rbf(gamma=0.21413816408418604),omega=1.0,Principal Components (kDMD),3.0,1.0,0.021631371753937124,,10.153207357201442,0.0021304964030498673,0.057947526916484283,,,2.0,0.00010973815071790849,,5.0,-0.3650023180656718,-0.9497289181543137,-1.3557004300937923,-0.4281849871155307,0.0,0.0,0.0,-3.0138307522823253,0.5083649220071725,-5.644172451150282,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,6
rbf(gamma=0.8565526563367442),omega=1.0,Principal Components (kDMD),3.0,1.0,0.23242248001133753,,9.844212306311118,0.023610063738906933,0.06154234719979571,,,2.0,0.00012622416259644442,,5.0,-0.36417867356525985,-0.9641266014889613,-1.2877514331489974,-0.4222587798774467,0.0,0.0,0.0,-3.0138307522823253,0.45666767847886247,-5.612683011184837,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,7
rbf(gamma=0.7233822873163714),omega=0.8,Principal Components (kDMD),3.0,1.0,0.031609503543304045,,13.456490699875761,0.0023490153746842687,0.07877080235374068,,,2.0,0.00040219576277233937,,5.0,-0.36496332954551725,-0.7958118007266887,-0.9621005926734413,-0.42812469778608986,0.0,0.0,0.0,-3.0138307522823253,-0.40873088645639777,-5.555134267349216,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,8
rbf(gamma=4.527004343740512),omega=1.5,Principal Components (kDMD),3.0,1.0,0.4281030309632581,,9.663161326926053,0.044302585507950104,0.06833529133455951,,,2.0,0.00015702399641837061,,5.0,-0.3634140720080048,-0.9725627064074804,-1.1593517625445904,-0.41654971831375287,0.0,0.0,0.0,-3.0138307522823253,0.3600847983102112,-5.537391753244172,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,9
rbf(gamma=1.4467645746327429),omega=0.8,Principal Components (kDMD),3.0,1.0,0.0839591995944633,,11.4118695698351,0.007357181843051551,0.08512510727235202,,,2.0,0.00040602693545555013,,5.0,-0.36475877851104893,-0.891081312276579,-0.8419920444087455,-0.42674294591416917,0.0,0.0,0.0,-3.0138307522823253,-0.4207447724503065,-5.535406746660937,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,10
rbf(gamma=1.7131053126734883),omega=1.0,Principal Components (kDMD),3.0,1.0,0.5072423768523782,,10.384013761430698,0.04884839220229335,0.06789914874098921,,,2.0,0.00016959896111956585,,5.0,-0.36310484318167224,-0.9389744497247174,-1.1675956939298624,-0.4152955313874652,0.0,0.0,0.0,-3.0138307522823253,0.32065191318873537,-5.5308275482179425,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,11
rbf(gamma=1.131751085935128),omega=1.5,Principal Components (kDMD),3.0,1.0,0.11827803385932337,,12.287372636736022,0.009625982490813622,0.08695456506020663,,,2.0,0.0003607404571775996,,5.0,-0.3646246812081006,-0.8502870798789012,-0.807411783967171,-0.4261169843847629,0.0,0.0,0.0,-3.0138307522823253,-0.278734314534596,-5.3885799467961775,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,12
rbf(gamma=2.263502171870256),omega=1.5,Principal Components (kDMD),3.0,1.0,0.27169732879822883,,11.043223139006457,0.02460308239526101,0.0895708290480485,,,2.0,0.0003034759015229094,,5.0,-0.3640252111470618,-0.9082584630374915,-0.7579593775306283,-0.4219848062793373,0.0,0.0,0.0,-3.0138307522823253,-0.09916270552251455,-5.3046475598984335,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,13
rbf(gamma=0.14039184272393843),omega=0.5,Reduced Rank,3.0,1.0,1.9187365038963413,,27.0259548676775,0.07099606705075615,0.05034165261323817,,,2.0,0.00022622511166592307,,5.0,-0.357589575556228,-0.1635400295577663,-1.499466039794229,-0.40918499345430187,0.0,0.0,0.0,-3.0138307522823253,0.1430822306946239,-5.167477778570388,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,14
rbf(gamma=1.3227987609662522),omega=0.8,Principal Components (kDMD),3.0,1.0,0.5070853162542561,,10.578490977685323,0.04793550586032747,0.07352249168460372,,,2.0,0.0,,5.0,-0.3631054568797496,-0.9299127467383103,-1.0613037287184004,-0.41554739650014255,0.0,0.0,0.0,-3.0138307522823253,0.8524845273919237,-5.149684119172894,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,15
rbf(gamma=0.5615673708957537),omega=0.5,Reduced Rank,3.0,1.0,13.472015318247895,,31.79267737451307,0.4237458569326996,0.04855023085945253,,,2.0,0.000376029176192727,,5.0,-0.3124463309676238,0.05856631486363911,-1.533327346252278,-0.3118614149415609,0.0,0.0,0.0,-3.0138307522823253,-0.3266770575087165,-5.120307350863727,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,16
rbf(gamma=0.6613993804831261),omega=0.8,Principal Components (kDMD),3.0,1.0,0.21666516786783876,,10.239668940115408,0.021159391884147852,0.07702946915773533,,,2.0,0.0,,5.0,-0.3642402436361967,-0.9457002242065602,-0.9950151293373557,-0.42293491962722635,0.0,0.0,0.0,-3.0138307522823253,0.8524845273919237,-5.1040115455800885,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,17
rbf(gamma=0.28078368544787685),omega=0.5,Reduced Rank,3.0,1.0,4.112438651064382,,30.51138866073982,0.13478372606344252,0.04829918522332684,,,2.0,0.00026738831569872445,,5.0,-0.3490179108214398,-0.0011355771505246175,-1.5380725901915373,-0.39158599433897195,0.0,0.0,0.0,-3.0138307522823253,0.01400163807053139,-5.090849008580047,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,18
rbf(gamma=0.33069969024156304),omega=0.8,Principal Components (kDMD),3.0,1.0,0.06212962984161338,,10.465690076583277,0.005936505800093096,0.07981609803254254,,,2.0,0.0,,5.0,-0.3648440753018953,-0.9351687262410585,-0.9423424998377439,-0.4271349100779304,0.0,0.0,0.0,-3.0138307522823253,0.8524845273919237,-5.043511245006026,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,19
rbf(gamma=0.8672263057426219),omega=0.5,Principal Components (kDMD),3.0,1.0,0.2984845352046525,,10.713339207899853,0.027861017878025793,0.07919163732516085,,,2.0,1.6240669493683413e-06,,5.0,-0.36392054290265413,-0.9236294677302087,-0.9541460047013963,-0.42108594269715793,0.0,0.0,0.0,-3.0138307522823253,0.8473917381105399,-5.042373869909894,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,20
rbf(gamma=2.246269483583015),omega=0.5,Principal Components (kDMD),3.0,1.0,0.5278929374442032,,11.747406319009672,0.044936977840799294,0.08691314102280143,,,2.0,0.00011385952529641141,,5.0,-0.3630241532474407,-0.8754469134477536,-0.8081947777107398,-0.4163746896283082,0.0,0.0,0.0,-3.0138307522823253,0.4954410137371772,-5.020963434633824,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,21
rbf(gamma=0.4172926884452463),omega=1.2,Principal Components (kDMD),3.0,1.0,0.0840810375904662,,11.41845345050612,0.007363609963023435,0.08656620652393585,,,2.0,0.0,,5.0,-0.3647583024416541,-0.8907745351008887,-0.8147525050366093,-0.42674117239748194,0.0,0.0,0.0,-3.0138307522823253,0.8524845273919237,-4.871244417364256,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,22
rbf(gamma=0.20864634422262315),omega=1.2,Principal Components (kDMD),3.0,1.0,0.030342226914616906,,12.539261537472218,0.002419777817373253,0.08513789510819536,,,2.0,0.0,,5.0,-0.3649682812981521,-0.838550268503241,-0.8417503297887732,-0.42810517444590845,0.0,0.0,0.0,-3.0138307522823253,0.8524845273919237,-4.846909955399483,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,23
rbf(gamma=0.3540716452696184),omega=2.0,Principal Components (kDMD),3.0,1.0,0.039524809657260594,,14.976012763320693,0.0026392077972893367,0.1330374407862108,,,2.0,0.0006161846803911519,,5.0,-0.36493240130379145,-0.7250093803434066,0.06364293786420441,-0.42804463376951124,0.0,0.0,0.0,-3.0138307522823253,-1.079762623422589,-4.794033224661369,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,24
rbf(gamma=1.1231347417915074),omega=0.5,Reduced Rank,3.0,1.0,18.428864518083852,,32.590488512183995,0.5654675753385592,0.0712023363878952,,,2.0,0.0004755941230607519,,5.0,-0.29307795430046896,0.09574047699971175,-1.1051591130610838,-0.27276042839568837,0.0,0.0,0.0,-3.0138307522823253,-0.6388952788131064,-4.772155196248564,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,25
rbf(gamma=0.10706908204209302),omega=1.0,Reduced Rank,3.0,1.0,1.6780556430514508,,36.881260581835946,0.04549886898057641,0.056814020149164514,,,2.0,0.00010946682489354487,,5.0,-0.35853001118004585,0.2956698200166865,-1.3771258816600571,-0.4162196640038393,0.0,0.0,0.0,-3.0138307522823253,0.5092157522334875,-4.407318780990918,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,26
rbf(gamma=0.8961990358076725),omega=0.8,Principal Components (kDMD),3.0,1.0,0.02895122515844907,,14.332422968882046,0.0020199812147120378,0.12581256023193552,,,2.0,0.0,,5.0,-0.3649737164939533,-0.7549975695750443,-0.07292115936981289,-0.4282154782282615,0.0,0.0,0.0,-3.0138307522823253,0.8524845273919237,-3.994588673139305,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,27
rbf(gamma=1.736716296940095),omega=0.5,Principal Components (kDMD),3.0,1.0,0.017060371011812587,,14.784524458783189,0.0011539343764064972,0.12814165258403087,,,4.0,0.00176518685902316,,5.0,-0.36502017877931275,-0.7339318144182426,-0.02889684754221593,-0.42845442033363246,0.0,0.0,0.0,-0.291661040543451,-4.6828320547041615,-3.975153118802119,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,28
rbf(gamma=0.21413816408418604),omega=1.0,Reduced Rank,3.0,1.0,6.984364716918197,,45.588049102430176,0.15320604532177445,0.05778005720557213,,,2.0,0.00010815450379397795,,5.0,-0.3377961561217976,0.7013642918862547,-1.3588659287775353,-0.38650328107832027,0.0,0.0,0.0,-3.0138307522823253,0.5133309611737394,-3.9457147052476937,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,29
rbf(gamma=0.7233822873163714),omega=0.8,Reduced Rank,3.0,1.0,5.870547273124459,,50.31120195796149,0.11668469534935201,0.07751396837072112,,,2.0,0.0004250467333130059,,5.0,-0.3421482828297391,0.9214405000945646,-0.9858571651142871,-0.3965795123713904,0.0,0.0,0.0,-3.0138307522823253,-0.4803875246781086,-3.8588792186565364,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,30
rbf(gamma=0.33069969024156304),omega=0.8,Reduced Rank,3.0,1.0,13.461633702577105,,33.8156836893219,0.398088467654668,0.07953395886215439,,,2.0,0.0,,5.0,-0.3124868960594027,0.1528286799749439,-0.947675471200933,-0.3189402822051479,0.0,0.0,0.0,-3.0138307522823253,0.8524845273919237,-3.8543923169743297,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,31
rbf(gamma=2.1422985729832247),omega=0.8,Principal Components (kDMD),3.0,1.0,0.06936151322196817,,12.330226513850686,0.005625323520541457,0.1321616438812228,,,4.0,0.001607467499076476,,5.0,-0.364815817463967,-0.8482902953006981,0.04708869689211573,-0.42722076519077357,0.0,0.0,0.0,-0.291661040543451,-4.1882517874832805,-3.7654147327530274,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,32
rbf(gamma=1.0711492864916123),omega=0.8,Principal Components (kDMD),3.0,1.0,0.02481924689032017,,14.51949257865298,0.0017093742605585414,0.12440179950565038,,,4.0,0.0015570938106371779,,5.0,-0.36498986177258724,-0.7462810254256883,-0.09958724243527363,-0.4283011746089717,0.0,0.0,0.0,-0.291661040543451,-4.030288730204635,-3.7318141225838035,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,33
rbf(gamma=0.6050352672118346),omega=2.0,Principal Components (kDMD),3.0,1.0,0.0751808065938715,,10.919694409907727,0.006884881918092686,0.09159085768091185,,,4.0,0.0010473944275826153,,5.0,-0.3647930791757077,-0.9140143077319952,-0.7197769626711038,-0.42687325334495085,0.0,0.0,0.0,-0.291661040543451,-2.431960806741974,-3.71966242016572,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,34
rbf(gamma=0.6287739802913623),omega=2.0,Principal Components (kDMD),3.0,1.0,0.030707184963965375,,10.372452925792832,0.0029604554663831585,0.07083882953534962,,,4.0,0.0007569491213822443,,5.0,-0.36496685526224054,-0.9395131290664036,-1.1120300896514015,-0.4279560016182192,0.0,0.0,0.0,-0.291661040543451,-1.5211752367130988,-3.682736733689156,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,35
rbf(gamma=0.6613993804831261),omega=0.8,Reduced Rank,3.0,1.0,37.784048443973965,,35.98043132314033,1.0501277237239137,0.07648228137742767,,,2.0,0.0,,5.0,-0.21744957069922735,0.25369550888155973,-1.0053580276972438,-0.13904281507219082,0.0,0.0,0.0,-3.0138307522823253,0.8524845273919237,-3.6262219856373705,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,36
rbf(gamma=1.2575479605827247),omega=2.0,Principal Components (kDMD),3.0,1.0,0.09088368328597582,,9.617872579358888,0.009449458030981104,0.07725404622799341,,,4.0,0.0007600946199773917,,5.0,-0.3647317218056791,-0.9746729442388504,-0.9907701920503155,-0.4261656874389353,0.0,0.0,0.0,-0.291661040543451,-1.5310389689540664,-3.6004382268347968,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,37
rbf(gamma=1.4467645746327429),omega=0.8,Reduced Rank,3.0,1.0,20.782134139812392,,50.66985862253499,0.41014786116986945,0.08525834153061114,,,2.0,0.00042271376399394267,,5.0,-0.2838827961273052,0.938152175791348,-0.8394736614315995,-0.3156130985603736,0.0,0.0,0.0,-3.0138307522823253,-0.47307174182411743,-3.5933774542421277,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,38
rbf(gamma=0.4282763281683721),omega=1.0,Reduced Rank,3.0,1.0,75.57484226008907,,43.74445839449226,1.72764379841092,0.05892210003767865,,,2.0,0.00010969948316874589,,5.0,-0.06978594413468955,0.6154618311992379,-1.3372791292176567,0.0478836999244951,0.0,0.0,0.0,-3.0138307522823253,0.5084861766635703,-3.5272490561414007,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,39
rbf(gamma=0.8565526563367442),omega=1.0,Reduced Rank,3.0,1.0,94.56734772274925,,40.0183975663888,2.3630968123065417,0.06166257790601244,,,2.0,0.000123598394603186,,5.0,0.004425310802412993,0.44184531619651074,-1.2854788422416528,0.22320502700374356,0.0,0.0,0.0,-3.0138307522823253,0.46490162665240814,-3.5089856406969786,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,40
rbf(gamma=1.131751085935128),omega=1.5,Reduced Rank,3.0,1.0,34.92589584497226,,48.492430550524006,0.7202339715387776,0.08688406221791199,,,2.0,0.00036304629123440346,,5.0,-0.22861750699866223,0.8366944994484548,-0.8087444228859836,-0.23006041851966,0.0,0.0,0.0,-3.0138307522823253,-0.28596500596250035,-3.472510894959597,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,41
