kernel,kind,method,bias_gap_corr
linear,omega=0.5,Principal Components (kDMD),
linear,omega=0.5,Reduced Rank,
linear,omega=0.8,Principal Components (kDMD),
linear,omega=0.8,Reduced Rank,
linear,omega=1.0,Principal Components (kDMD),
linear,omega=1.0,Reduced Rank,
linear,omega=1.2,Principal Components (kDMD),
linear,omega=1.2,Reduced Rank,
linear,omega=1.5,Principal Components (kDMD),
linear,omega=1.5,Reduced Rank,
linear,omega=2.0,Principal Components (kDMD),
linear,omega=2.0,Reduced Rank,
linear,omega=3.0,Principal Components (kDMD),
linear,omega=3.0,Reduced Rank,
