kernel,kind,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag,gap
linear,omega=0.5,Principal Components (kDMD),0,1,0.0,9.114361876725072,0.0,0.13804691422629917,0.0,1.0000053659265455,0.009108663180870918,0.0
linear,omega=0.5,Principal Components (kDMD),0,2,0.0,9.114361876725072,0.0,0.13804691422629917,0.0,1.0000053659265455,-0.009108663180870918,0.0
linear,omega=0.5,Principal Components (kDMD),0,3,,,0.0,,0.0,4.756600500477789e-09,0.0,0.0
linear,omega=0.5,Principal Components (kDMD),0,4,0.0,0.0,0.0,0.9999927855638401,0.0,-6.894890313324489e-10,2.108595382786787e-09,0.0
linear,omega=0.5,Principal Components (kDMD),0,5,0.0,0.0,0.0,0.9999927855638401,0.0,-6.894890313324489e-10,-2.108595382786787e-09,0.0
linear,omega=0.5,Principal Components (kDMD),1,1,0.0,8.565383200881836,0.0,0.11758420403260067,0.0,0.9999704598548207,0.011500978822306291,0.0
linear,omega=0.5,Principal Components (kDMD),1,2,0.0,8.565383200881836,0.0,0.11758420403260067,0.0,0.9999704598548207,-0.011500978822306291,0.0
linear,omega=0.5,Principal Components (kDMD),1,3,0.0,0.0,0.0,1.0001741316182,0.0,-1.3402525876429389e-09,5.123031947098622e-09,0.0
linear,omega=0.5,Principal Components (kDMD),1,4,0.0,0.0,0.0,1.0001741316182,0.0,-1.3402525876429389e-09,-5.123031947098622e-09,0.0
linear,omega=0.5,Principal Components (kDMD),1,5,0.0,0.0,0.0,1.000008275854541,0.0,-4.858704396883884e-09,0.0,0.0
linear,omega=0.5,Principal Components (kDMD),2,1,0.0,9.213613142153926,0.0,0.1333989373540208,0.0,0.9999622052721586,0.008853890919492619,0.0
linear,omega=0.5,Principal Components (kDMD),2,2,0.0,9.213613142153926,0.0,0.1333989373540208,0.0,0.9999622052721586,-0.008853890919492619,0.0
linear,omega=0.5,Principal Components (kDMD),2,3,0.0,0.0,0.0,1.0002069541175298,0.0,-9.343351616906866e-09,8.189533252492567e-09,0.0
