kernel,kind,method,eigenfunction_id,n,bias_mean,bias_std,dist_mean,trunc_mean,spurious_mean,spurious_std
linear,omega=0.5,Principal Components (kDMD),1,10,0.0,0.0,9.752448441558865,0.0,0.13016265095774865,0.019830336849704533
linear,omega=0.5,Principal Components (kDMD),2,10,0.0,0.0,9.752448441558865,0.0,0.13016265095774865,0.019830336849704533
linear,omega=0.5,Principal Components (kDMD),3,10,0.0,0.0,0.0,0.0,1.0002355196465158,0.00017187681590262658
linear,omega=0.5,Principal Components (kDMD),4,10,0.0,0.0,0.0,0.0,1.000191438289252,0.00020018515571716388
linear,omega=0.5,Principal Components (kDMD),5,10,0.0,0.0,0.0,0.0,1.0007391609071874,0.0015377509094939947
linear,omega=0.5,Reduced Rank,1,10,4.414950810348532e-16,2.248269696537548e-16,0.2950662766527204,1.4911097043576772e-15,0.13058847204737709,0.01185261933717334
linear,omega=0.5,Reduced Rank,2,10,4.414950810348532e-16,2.248269696537548e-16,0.2950662766527204,1.4911097043576772e-15,0.13058847204737709,0.01185261933717334
linear,omega=0.5,Reduced Rank,3,10,0.0,,0.0,1.4911097043576772e-15,1.000387156603476,
linear,omega=0.5,Reduced Rank,4,10,0.0,0.0,0.0,1.4911097043576772e-15,1.0002382186528762,0.00021063006969042165
linear,omega=0.5,Reduced Rank,5,6,3.3127169159834e-14,,22.10884613454115,1.4372316570298994e-15,1.0005296374174837,
linear,omega=0.8,Principal Components (kDMD),1,10,0.0,0.0,10.670132652390114,0.0,0.1287072361305662,0.013892693014777583
linear,omega=0.8,Principal Components (kDMD),2,10,0.0,0.0,10.670132652390114,0.0,0.1287072361305662,0.013892693014777583
linear,omega=0.8,Principal Components (kDMD),3,10,0.0,0.0,0.0,0.0,1.000990527322234,0.001217488526415464
linear,omega=0.8,Principal Components (kDMD),4,10,0.0,0.0,0.0,0.0,1.000576592093611,0.0009703142894573872
linear,omega=0.8,Principal Components (kDMD),5,10,0.0,0.0,0.0,0.0,1.0004760346805157,0.0006174543938376729
linear,omega=0.8,Reduced Rank,1,10,4.022334802872859e-15,6.863625746069629e-15,2.5373450006177234,1.4165541770126805e-15,0.12978434006092102,0.01289374398043168
linear,omega=0.8,Reduced Rank,2,10,4.022334802872859e-15,6.863625746069629e-15,2.5373450006177234,1.4165541770126805e-15,0.12978434006092102,0.01289374398043168
linear,omega=0.8,Reduced Rank,3,9,0.0,0.0,0.0,1.3973158748504197e-15,1.0002101868341582,0.0002512093193807283
linear,omega=0.8,Reduced Rank,4,8,3.721891317119983e-14,5.263549178349742e-14,18.403089737511703,1.4497412458220476e-15,1.001062216978792,0.0014263499082226578
linear,omega=0.8,Reduced Rank,5,5,,,,1.4487968674669875e-15,,
linear,omega=1.0,Principal Components (kDMD),1,10,0.0,0.0,8.815519511221865,0.0,0.12133171298902545,0.007629703417980437
linear,omega=1.0,Principal Components (kDMD),2,10,0.0,0.0,8.815519511221865,0.0,0.12133171298902545,0.007629703417980437
linear,omega=1.0,Principal Components (kDMD),3,10,0.0,0.0,0.0,0.0,1.0009591310220194,0.0009833517207880444
linear,omega=1.0,Principal Components (kDMD),4,10,0.0,0.0,0.0,0.0,1.0007295941493122,0.0007990085376483548
