kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
linear,omega=0.5,Principal Components (kDMD),0,,4,0.0,5
linear,omega=0.5,Principal Components (kDMD),1,,5,0.0,5
linear,omega=0.5,Principal Components (kDMD),2,,5,0.0,5
linear,omega=0.5,Principal Components (kDMD),3,,3,0.0,5
linear,omega=0.5,Principal Components (kDMD),4,,5,0.0,5
linear,omega=0.5,Principal Components (kDMD),5,,5,0.0,5
linear,omega=0.5,Principal Components (kDMD),6,,5,0.0,5
linear,omega=0.5,Principal Components (kDMD),7,,4,0.0,5
linear,omega=0.5,Principal Components (kDMD),8,,5,0.0,5
linear,omega=0.5,Principal Components (kDMD),9,,5,0.0,5
linear,omega=0.5,Reduced Rank,0,,3,0.0,5
linear,omega=0.5,Reduced Rank,1,,2,0.0,5
linear,omega=0.5,Reduced Rank,2,,0,0.0,4
linear,omega=0.5,Reduced Rank,3,,0,0.0,4
linear,omega=0.5,Reduced Rank,4,,0,0.0,4
linear,omega=0.5,Reduced Rank,5,,0,0.0,5
linear,omega=0.5,Reduced Rank,6,,0,0.0,4
linear,omega=0.5,Reduced Rank,7,,2,0.0,5
linear,omega=0.5,Reduced Rank,8,,3,0.0,5
linear,omega=0.5,Reduced Rank,9,,0,0.0,5
linear,omega=0.8,Principal Components (kDMD),0,,4,0.0,5
linear,omega=0.8,Principal Components (kDMD),1,,4,0.0,5
linear,omega=0.8,Principal Components (kDMD),2,,5,0.0,5
linear,omega=0.8,Principal Components (kDMD),3,,5,0.0,5
linear,omega=0.8,Principal Components (kDMD),4,,5,0.0,5
linear,omega=0.8,Principal Components (kDMD),5,,5,0.0,5
linear,omega=0.8,Principal Components (kDMD),6,,5,0.0,5
linear,omega=0.8,Principal Components (kDMD),7,,5,0.0,5
linear,omega=0.8,Principal Components (kDMD),8,,3,0.0,5
linear,omega=0.8,Principal Components (kDMD),9,,5,0.0,5
linear,omega=0.8,Reduced Rank,0,,3,0.0,4
linear,omega=0.8,Reduced Rank,1,,1,0.0,5
linear,omega=0.8,Reduced Rank,2,,3,0.0,5
linear,omega=0.8,Reduced Rank,3,,4,0.0,4
linear,omega=0.8,Reduced Rank,4,,2,0.0,5
linear,omega=0.8,Reduced Rank,5,,2,0.0,5
linear,omega=0.8,Reduced Rank,6,,0,0.0,4
linear,omega=0.8,Reduced Rank,7,,0,0.0,3
linear,omega=0.8,Reduced Rank,8,,2,0.0,2
linear,omega=0.8,Reduced Rank,9,,0,0.0,5
linear,omega=1.0,Principal Components (kDMD),0,,5,0.0,5
linear,omega=1.0,Principal Components (kDMD),1,,5,0.0,5
linear,omega=1.0,Principal Components (kDMD),2,,5,0.0,5
linear,omega=1.0,Principal Components (kDMD),3,,5,0.0,5
linear,omega=1.0,Principal Components (kDMD),4,,5,0.0,5
linear,omega=1.0,Principal Components (kDMD),5,,5,0.0,5
linear,omega=1.0,Principal Components (kDMD),6,,5,0.0,5
linear,omega=1.0,Principal Components (kDMD),7,,5,0.0,5
linear,omega=1.0,Principal Components (kDMD),8,,5,0.0,5
linear,omega=1.0,Principal Components (kDMD),9,,5,0.0,5
linear,omega=1.0,Reduced Rank,0,,0,0.0,4
linear,omega=1.0,Reduced Rank,1,,0,0.0,5
linear,omega=1.0,Reduced Rank,2,,0,0.0,5
linear,omega=1.0,Reduced Rank,3,,4,0.0,4
linear,omega=1.0,Reduced Rank,4,,4,0.0,4
linear,omega=1.0,Reduced Rank,5,,4,0.0,5
linear,omega=1.0,Reduced Rank,6,,0,0.0,4
linear,omega=1.0,Reduced Rank,7,,0,0.0,5
linear,omega=1.0,Reduced Rank,8,,4,0.0,4
linear,omega=1.0,Reduced Rank,9,,4,0.0,5
linear,omega=1.2,Principal Components (kDMD),0,,5,0.0,5
linear,omega=1.2,Principal Components (kDMD),1,,5,0.0,5
linear,omega=1.2,Principal Components (kDMD),2,,3,0.0,5
linear,omega=1.2,Principal Components (kDMD),3,,5,0.0,5
linear,omega=1.2,Principal Components (kDMD),4,,5,0.0,5
linear,omega=1.2,Principal Components (kDMD),5,,5,0.0,5
linear,omega=1.2,Principal Components (kDMD),6,,4,0.0,5
linear,omega=1.2,Principal Components (kDMD),7,,5,0.0,5
linear,omega=1.2,Principal Components (kDMD),8,,5,0.0,5
linear,omega=1.2,Principal Components (kDMD),9,,5,0.0,5
linear,omega=1.2,Reduced Rank,0,,2,0.0,5
linear,omega=1.2,Reduced Rank,1,,2,0.0,2
linear,omega=1.2,Reduced Rank,2,,5,0.0,5
linear,omega=1.2,Reduced Rank,3,,1,0.0,5
linear,omega=1.2,Reduced Rank,4,,0,0.0,4
linear,omega=1.2,Reduced Rank,5,,1,0.0,5
linear,omega=1.2,Reduced Rank,6,,3,0.0,3
linear,omega=1.2,Reduced Rank,7,,1,0.0,5
linear,omega=1.2,Reduced Rank,8,,4,0.0,5
linear,omega=1.2,Reduced Rank,9,,1,0.0,5
linear,omega=1.5,Principal Components (kDMD),0,,5,0.0,5
linear,omega=1.5,Principal Components (kDMD),1,,5,0.0,5
linear,omega=1.5,Principal Components (kDMD),2,,5,0.0,5
linear,omega=1.5,Principal Components (kDMD),3,,5,0.0,5
linear,omega=1.5,Principal Components (kDMD),4,,5,0.0,5
linear,omega=1.5,Principal Components (kDMD),5,,5,0.0,5
linear,omega=1.5,Principal Components (kDMD),6,,5,0.0,5
linear,omega=1.5,Principal Components (kDMD),7,,5,0.0,5
linear,omega=1.5,Principal Components (kDMD),8,,3,0.0,5
linear,omega=1.5,Principal Components (kDMD),9,,5,0.0,5
linear,omega=1.5,Reduced Rank,0,,0,0.0,5
linear,omega=1.5,Reduced Rank,1,,0,0.0,4
linear,omega=1.5,Reduced Rank,2,,0,0.0,5
linear,omega=1.5,Reduced Rank,3,,0,0.0,4
linear,omega=1.5,Reduced Rank,4,,0,0.0,5
linear,omega=1.5,Reduced Rank,5,,0,0.0,4
linear,omega=1.5,Reduced Rank,6,,0,0.0,4
linear,omega=1.5,Reduced Rank,7,,0,0.0,5
linear,omega=1.5,Reduced Rank,8,,4,0.0,4
linear,omega=1.5,Reduced Rank,9,,1,0.0,5
linear,omega=2.0,Principal Components (kDMD),0,,5,0.0,5
linear,omega=2.0,Principal Components (kDMD),1,,5,0.0,5
linear,omega=2.0,Principal Components (kDMD),2,,4,0.0,5
linear,omega=2.0,Principal Components (kDMD),3,,5,0.0,5
linear,omega=2.0,Principal Components (kDMD),4,,5,0.0,5
