kernel,kind,method,bias_gap_corr
poly(p=1),0.5,Principal Components (kDMD),
poly(p=1),0.5,Reduced Rank,0.16660216434582747
poly(p=1),0.8,Principal Components (kDMD),
poly(p=1),0.8,Reduced Rank,0.6863562495352133
poly(p=1),1.0,Principal Components (kDMD),
poly(p=1),1.0,Reduced Rank,-0.02331116890544295
poly(p=1),1.2,Principal Components (kDMD),
poly(p=1),1.2,Reduced Rank,0.23798254965007112
poly(p=1),1.5,Principal Components (kDMD),
poly(p=1),1.5,Reduced Rank,0.23360167377431076
poly(p=1),2.0,Principal Components (kDMD),
poly(p=1),2.0,Reduced Rank,-0.32619292827524554
poly(p=1),3.0,Principal Components (kDMD),
poly(p=1),3.0,Reduced Rank,0.1354562823600729
poly(p=2),0.5,Principal Components (kDMD),-0.80324927454236
poly(p=2),0.5,Reduced Rank,-0.751359578148548
poly(p=2),0.8,Principal Components (kDMD),-0.4205325172190444
poly(p=2),0.8,Reduced Rank,-0.4718719939202307
poly(p=2),1.0,Principal Components (kDMD),0.08378358506978535
poly(p=2),1.0,Reduced Rank,0.059157556449048784
poly(p=2),1.2,Principal Components (kDMD),-0.14170080948523514
poly(p=2),1.2,Reduced Rank,-0.0693213058786024
poly(p=2),1.5,Principal Components (kDMD),-0.49965918223934064
poly(p=2),1.5,Reduced Rank,-0.4150511657767044
poly(p=2),2.0,Principal Components (kDMD),0.20654341984297042
poly(p=2),2.0,Reduced Rank,0.0115731150622627
poly(p=2),3.0,Principal Components (kDMD),-0.47455853380119123
poly(p=2),3.0,Reduced Rank,-0.32962729626245846
poly(p=3),0.5,Principal Components (kDMD),-0.8878905165301592
poly(p=3),0.5,Reduced Rank,-0.8498849788731614
poly(p=3),0.8,Principal Components (kDMD),-0.373249705925803
poly(p=3),0.8,Reduced Rank,-0.4957005248830648
poly(p=3),1.0,Principal Components (kDMD),0.12610842276242393
poly(p=3),1.0,Reduced Rank,0.07235620657617638
poly(p=3),1.2,Principal Components (kDMD),-0.13997146941271288
poly(p=3),1.2,Reduced Rank,-0.05196595860940042
poly(p=3),1.5,Principal Components (kDMD),-0.07232481395281437
poly(p=3),1.5,Reduced Rank,-0.07214146575037218
poly(p=3),2.0,Principal Components (kDMD),-0.09622828596627556
poly(p=3),2.0,Reduced Rank,-0.2430060331689854
poly(p=3),3.0,Principal Components (kDMD),-0.5565238491504533
poly(p=3),3.0,Reduced Rank,-0.3554315283580935
poly(p=4),0.5,Principal Components (kDMD),-0.9281921844143538
poly(p=4),0.5,Reduced Rank,-0.7785533507521997
poly(p=4),0.8,Principal Components (kDMD),-0.3532432205593463
poly(p=4),0.8,Reduced Rank,-0.4367766148486786
poly(p=4),1.0,Principal Components (kDMD),0.016559178005165362
poly(p=4),1.0,Reduced Rank,0.07200123265292806
poly(p=4),1.2,Principal Components (kDMD),-0.4070903141620558
poly(p=4),1.2,Reduced Rank,-0.18103500883647997
poly(p=4),1.5,Principal Components (kDMD),0.35958956188125196
poly(p=4),1.5,Reduced Rank,0.3352688015369423
poly(p=4),2.0,Principal Components (kDMD),-0.3354944155075665
poly(p=4),2.0,Reduced Rank,-0.44587817083258585
poly(p=4),3.0,Principal Components (kDMD),-0.5399525691276532
poly(p=4),3.0,Reduced Rank,-0.14627253085551678
