kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,std_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
poly(p=1),0.5,Principal Components (kDMD),3.0,1.0,0.0,0.0,9.47816220732662,0.0,0.05900501612910763,0.004779687405817409,,3.7,0.000290348828967657,0.0004497487938348642,5.0,-0.8123140338782712,-0.028746551240216158,-2.092001222154093,-0.7354708014091803,-0.83519899533186,-1.8125462703207362,0.0,0.0960209655405864,0.22213090336101865,0.8724207132582368,-3.537541928854665,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,10
poly(p=2),0.5,Principal Components (kDMD),3.0,1.0,0.09022028672086273,0.03429146967289886,9.960749421441541,0.011050541674314233,0.07329815506946158,0.013120027972254988,,4.0,0.00027251814687228036,0.00041595068816343444,5.0,-0.6598501826257404,0.0934906638134889,-1.2429145277010285,-0.5949331310257495,-0.6410869224375595,-1.2177193110683235,0.0,0.5096497401769585,0.26244526923358036,0.7022078483288099,-1.755017833526674,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,14
poly(p=3),0.5,Principal Components (kDMD),3.0,1.0,0.29836879202852423,0.10802201849187326,8.66287975804925,0.04015963968752586,0.08524104368648534,0.014869670883676476,,4.0,0.00033654810658939605,0.00041016491438077094,5.0,-0.3080986652552529,-0.23525400350375025,-0.5334449101196909,-0.22473183752276937,-0.22372395131367806,-1.0929360645704034,0.0,0.5096497401769585,0.11767642589749118,0.6730697320996153,-0.781573115460491,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,16
poly(p=4),0.5,Principal Components (kDMD),3.0,1.0,0.7549925504710789,0.2766658222216167,7.687149362472814,0.11227351816081885,0.10123890421462688,0.016323068499803205,,4.0,0.0004614677951087942,0.0003792908694042762,5.0,0.4635528037868913,-0.48240221363040886,0.41691110130969755,0.6923921172700956,0.7309099163805879,-0.9892808147998738,0.0,0.5096497401769585,-0.1647613406848248,0.5175829217293095,1.2363298257632798,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,34
poly(p=1),0.5,Reduced Rank,3.0,1.0,4.502079184136166e-15,8.316252010853433e-15,1.910079828705411,2.1570776736126772e-15,0.07108571335767552,0.029518347832649387,,1.9,0.00031392940285045466,0.00039936810569197437,4.6,-0.8123140338782635,-1.9457084727373228,-1.3743450572417972,-0.7354708014091529,-0.8351989953318129,-0.04820319098821032,0.0,-2.385751682277648,0.1688162921806325,0.6186952130990286,-6.867623244054541,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,5
poly(p=2),0.5,Reduced Rank,3.0,1.0,0.8289059868951691,0.2390430994313325,9.97467040349005,0.09974048938682611,0.07326675520041645,0.013090393111054685,,4.0,0.0002747653082011747,0.000423597021081265,5.0,0.5884596023142782,0.09701678723046182,-1.2447798430194512,0.5330005943333026,0.5179407792041371,-1.2198328475882323,0.0,0.5096497401769585,0.2573645390908334,0.7407160489007819,0.35523484854348697,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,24
poly(p=3),0.5,Reduced Rank,3.0,1.0,1.4411732966548154,0.4137100386855179,8.730198780245807,0.19101713121973968,0.08515477202858762,0.014831746493904953,,4.0,0.0003379746163587272,0.0004141318466841495,5.0,1.6231341243627182,-0.21820239178930048,-0.5385698947109026,1.693831165511302,1.5066695204376597,-1.0956408041754113,0.0,0.5096497401769585,0.1144511518191366,0.6930478610191284,2.5561718810250373,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,46
poly(p=4),0.5,Reduced Rank,3.0,1.0,2.257758391497328,0.44467744336155346,9.26067503687787,0.323485454009717,0.1010897960383641,0.016260857142739796,,4.0,0.00046378742429820097,0.0003858502479331763,5.0,3.003086604676804,-0.08383509326535696,0.4080533011422732,3.3785259101839933,1.6819652184978868,-0.9937176830618134,0.0,0.5096497401769585,-0.17000591738302445,0.5506170397480733,5.7509306929271995,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,56
poly(p=1),0.8,Principal Components (kDMD),3.0,1.0,0.0,0.0,10.424882882386905,0.0,0.06514973506305603,0.03657856837386043,,3.9,0.0005883206148239895,0.0005841187039771934,5.0,-0.8123140338782712,0.21105362449667087,-1.7269730005897537,-0.7354708014091803,-0.83519899533186,0.4553265489218917,0.0,0.37177348196483423,-0.4515698294801309,1.5491298634094908,-2.257665889201294,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,12
poly(p=2),0.8,Principal Components (kDMD),3.0,1.0,0.03451513435565555,0.04679184023915802,12.60337784191082,0.00404823231376854,0.08614899191971209,0.03573312605610959,,3.8,0.0002769627499683569,0.00040891806276058864,5.0,-0.7539866831057878,0.762856799284727,-0.47950806900297605,-0.6839865253152428,-0.5703266760640671,0.3950302241992861,0.0,0.23389722375271002,0.25239622262868294,0.6667903805739311,-0.32966239823731913,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,18
poly(p=3),0.8,Principal Components (kDMD),3.0,1.0,0.1563957522110251,0.19650466789748114,10.768396449198336,0.02127581322056176,0.09942156250951266,0.04502796788922969,,3.8,0.00027494886503093285,0.0004441218762509623,5.0,-0.5480198316729097,0.2980640974475659,0.3089515643929652,-0.4648910132273215,0.2771455259976524,1.0579315122564577,0.0,0.23389722375271002,0.25694952539961874,0.8440826231892619,0.733712225367323,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,29
