kind,method,kernel,composite_score,spectral_gap_mean,spurious_residual_count_mean
0.5,Principal Components (kDMD),poly(p=1),-3.537541928854665,0.000290348828967657,0.05900501612910763
0.5,Reduced Rank,poly(p=1),-6.867623244054541,0.00031392940285045466,0.07108571335767552
0.8,Principal Components (kDMD),poly(p=1),-2.257665889201294,0.0005883206148239895,0.06514973506305603
0.8,Reduced Rank,poly(p=1),-7.772024984411753,0.0005578166323926825,0.06990017007263204
1.0,Principal Components (kDMD),poly(p=1),-2.2228654467712468,5.209260274721128e-05,0.07795197075529525
1.0,Reduced Rank,poly(p=1),-6.579873268977374,0.00010593171660790989,0.07850648802715512
1.2,Principal Components (kDMD),poly(p=1),-0.9535745407992523,3.030585603802649e-05,0.09180505637691412
1.2,Reduced Rank,poly(p=1),-8.224517291096124,0.00010644189077755329,0.06926683341294114
1.5,Principal Components (kDMD),poly(p=1),-3.7019676626187574,0.0002617515395881398,0.0672071083858384
1.5,Reduced Rank,poly(p=1),-7.33242872583986,0.000431665357266775,0.07355668085413146
2.0,Principal Components (kDMD),poly(p=1),-2.7811074631924875,0.0012018350089996078,0.06811810215445108
2.0,Reduced Rank,poly(p=1),-6.759531715211493,0.0010922894863690026,0.07593943054017045
3.0,Principal Components (kDMD),poly(p=1),-4.074971514803035,0.002321132319251862,0.06683813558684606
3.0,Reduced Rank,poly(p=1),-9.334679653840622,0.0021736856770510292,0.07243474371087903
