kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
poly(p=1),0.5,Principal Components (kDMD),0,,3,0.00018022453524180193,5
poly(p=1),0.5,Principal Components (kDMD),1,,4,3.4509964862317055e-05,5
poly(p=1),0.5,Principal Components (kDMD),2,,4,0.0001887634014491324,5
poly(p=1),0.5,Principal Components (kDMD),3,,4,0.00019996878091266268,5
poly(p=1),0.5,Principal Components (kDMD),4,,4,0.00012930296178859102,5
poly(p=1),0.5,Principal Components (kDMD),5,,4,0.0015539799831684187,5
poly(p=1),0.5,Principal Components (kDMD),6,,4,2.1895202186428264e-05,5
poly(p=1),0.5,Principal Components (kDMD),7,,4,0.0002504541474405153,5
poly(p=1),0.5,Principal Components (kDMD),8,,3,0.00016452837306257795,5
poly(p=1),0.5,Principal Components (kDMD),9,,3,0.00017986093956412486,5
poly(p=1),0.8,Principal Components (kDMD),0,,4,0.0001063939119891888,5
poly(p=1),0.8,Principal Components (kDMD),1,,4,0.0,5
poly(p=1),0.8,Principal Components (kDMD),2,,4,0.0010230781639248843,5
poly(p=1),0.8,Principal Components (kDMD),3,,4,0.0,5
poly(p=1),0.8,Principal Components (kDMD),4,,4,0.00046978497048522083,5
poly(p=1),0.8,Principal Components (kDMD),5,,4,0.0013692804119921353,5
poly(p=1),0.8,Principal Components (kDMD),6,,4,0.0015190503126527588,5
poly(p=1),0.8,Principal Components (kDMD),7,,4,0.0009875909519814208,5
poly(p=1),0.8,Principal Components (kDMD),8,,4,0.00012579890756425627,5
poly(p=1),0.8,Principal Components (kDMD),9,,3,0.00028222851765002943,5
poly(p=1),1.0,Principal Components (kDMD),0,,4,5.856347969379616e-05,5
poly(p=1),1.0,Principal Components (kDMD),1,,2,0.0001743359520438581,5
poly(p=1),1.0,Principal Components (kDMD),2,,4,0.0,5
poly(p=1),1.0,Principal Components (kDMD),3,,4,0.0,5
poly(p=1),1.0,Principal Components (kDMD),4,,4,0.0,5
poly(p=1),1.0,Principal Components (kDMD),5,,3,0.0,5
poly(p=1),1.0,Principal Components (kDMD),6,,4,0.0001201945841279306,5
poly(p=1),1.0,Principal Components (kDMD),7,,4,0.0,5
poly(p=1),1.0,Principal Components (kDMD),8,,4,0.00010856600312092457,5
poly(p=1),1.0,Principal Components (kDMD),9,,2,5.926600848560337e-05,5
poly(p=1),1.2,Principal Components (kDMD),0,,4,0.0,5
poly(p=1),1.2,Principal Components (kDMD),1,,4,0.0,5
