kernel,kind,method,bias_gap_corr
rbf(gamma=0.040225122233706376),omega=0.8,Principle Components (kDMD),
rbf(gamma=0.040225122233706376),omega=0.8,Reduced Rank,
rbf(gamma=0.08045024446741275),omega=0.8,Principle Components (kDMD),
rbf(gamma=0.08045024446741275),omega=0.8,Reduced Rank,
rbf(gamma=0.08267492256039076),omega=0.8,Principle Components (kDMD),
rbf(gamma=0.08267492256039076),omega=0.8,Reduced Rank,
rbf(gamma=0.09166822095266935),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.09166822095266935),omega=1.0,Reduced Rank,
rbf(gamma=0.09367506747882408),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.09367506747882408),omega=1.0,Reduced Rank,
rbf(gamma=0.09476154683726143),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.09476154683726143),omega=1.2,Reduced Rank,
rbf(gamma=0.0978227663349253),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.0978227663349253),omega=1.0,Reduced Rank,
rbf(gamma=0.10210503979393232),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.10210503979393232),omega=1.2,Reduced Rank,
rbf(gamma=0.10432317211131158),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.10432317211131158),omega=1.2,Reduced Rank,
rbf(gamma=0.10706908204209302),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.10706908204209302),omega=1.0,Reduced Rank,
rbf(gamma=0.10835773493417226),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.10835773493417226),omega=1.2,Reduced Rank,
rbf(gamma=0.10840328821782774),omega=0.5,Principle Components (kDMD),
rbf(gamma=0.10840328821782774),omega=0.5,Reduced Rank,
rbf(gamma=0.10960747720352937),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.10960747720352937),omega=1.2,Reduced Rank,
rbf(gamma=0.10968176965101091),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.10968176965101091),omega=1.0,Reduced Rank,
rbf(gamma=0.11078877508879889),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.11078877508879889),omega=1.5,Reduced Rank,
rbf(gamma=0.1151886230268983),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.1151886230268983),omega=1.0,Reduced Rank,
rbf(gamma=0.11521616899868364),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.11521616899868364),omega=1.2,Reduced Rank,
rbf(gamma=0.11903475762915991),omega=0.5,Principle Components (kDMD),
rbf(gamma=0.11903475762915991),omega=0.5,Reduced Rank,
rbf(gamma=0.11944144006950164),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.11944144006950164),omega=1.2,Reduced Rank,
rbf(gamma=0.12048861768048315),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.12048861768048315),omega=1.0,Reduced Rank,
rbf(gamma=0.12213872348672236),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.12213872348672236),omega=1.2,Reduced Rank,
rbf(gamma=0.12632936014066443),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.12632936014066443),omega=1.2,Reduced Rank,
rbf(gamma=0.1399376718065482),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.1399376718065482),omega=1.0,Reduced Rank,
rbf(gamma=0.14039184272393843),omega=0.5,Principle Components (kDMD),
rbf(gamma=0.14039184272393843),omega=0.5,Reduced Rank,
rbf(gamma=0.1453101416731566),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.1453101416731566),omega=1.0,Reduced Rank,
rbf(gamma=0.15087544394796257),omega=0.8,Principle Components (kDMD),
rbf(gamma=0.15087544394796257),omega=0.8,Reduced Rank,
rbf(gamma=0.15128694180796295),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.15128694180796295),omega=1.0,Reduced Rank,
rbf(gamma=0.15954183797627358),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.15954183797627358),omega=1.5,Reduced Rank,
rbf(gamma=0.1609004889348255),omega=0.8,Principle Components (kDMD),
rbf(gamma=0.1609004889348255),omega=0.8,Reduced Rank,
rbf(gamma=0.16534984512078152),omega=0.8,Principle Components (kDMD),
rbf(gamma=0.16534984512078152),omega=0.8,Reduced Rank,
rbf(gamma=0.17243006472998487),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.17243006472998487),omega=1.5,Reduced Rank,
rbf(gamma=0.17389303561341227),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.17389303561341227),omega=1.2,Reduced Rank,
rbf(gamma=0.17874042717376168),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.17874042717376168),omega=1.5,Reduced Rank,
rbf(gamma=0.1833364419053387),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.1833364419053387),omega=1.0,Reduced Rank,
rbf(gamma=0.18735013495764816),omega=1.0,Principle Components (kDMD),
rbf(gamma=0.18735013495764816),omega=1.0,Reduced Rank,
rbf(gamma=0.18774986000398033),omega=0.8,Principle Components (kDMD),
rbf(gamma=0.18774986000398033),omega=0.8,Reduced Rank,
rbf(gamma=0.18860606852300818),omega=1.5,Principle Components (kDMD),
rbf(gamma=0.18860606852300818),omega=1.5,Reduced Rank,
rbf(gamma=0.18952309367452286),omega=1.2,Principle Components (kDMD),
rbf(gamma=0.18952309367452286),omega=1.2,Reduced Rank,
rbf(gamma=0.1956455326698506),omega=1.0,Principle Components (kDMD),
