kernel,kind,method,eigenfunction_id,n,bias_mean,bias_std,dist_mean,trunc_mean,spurious_mean,spurious_std
rbf(gamma=0.040225122233706376),omega=0.8,Principle Components (kDMD),1,1,0.4670507091832075,,13.708598962882313,0.034069908270553666,0.11462994128690328,
rbf(gamma=0.040225122233706376),omega=0.8,Principle Components (kDMD),2,1,0.4670507091832075,,13.708598962882313,0.034069908270553666,0.11462994128690328,
rbf(gamma=0.040225122233706376),omega=0.8,Principle Components (kDMD),3,1,1.0164874932493644,,29.8353457595865,0.034069908270553666,0.14454965161494637,
rbf(gamma=0.040225122233706376),omega=0.8,Principle Components (kDMD),4,1,1.0164874932493644,,29.8353457595865,0.034069908270553666,0.14454965161494637,
rbf(gamma=0.040225122233706376),omega=0.8,Principle Components (kDMD),5,1,0.24450916426889335,,7.176689832188969,0.034069908270553666,0.02156507154095008,
rbf(gamma=0.040225122233706376),omega=0.8,Reduced Rank,1,1,1.029873458786181,,30.228242782687264,0.034069908270553666,0.114640482476086,
rbf(gamma=0.040225122233706376),omega=0.8,Reduced Rank,2,1,1.029873458786181,,30.228242782687264,0.034069908270553666,0.114640482476086,
rbf(gamma=0.040225122233706376),omega=0.8,Reduced Rank,3,1,1.3395653260951303,,39.31813715075087,0.034069908270553666,0.14444108931749122,
rbf(gamma=0.040225122233706376),omega=0.8,Reduced Rank,4,1,1.3395653260951303,,39.31813715075087,0.034069908270553666,0.14444108931749122,
rbf(gamma=0.040225122233706376),omega=0.8,Reduced Rank,5,1,0.3840624175004031,,11.272775214142417,0.034069908270553666,0.02157844977233567,
rbf(gamma=0.08045024446741275),omega=0.8,Principle Components (kDMD),1,1,0.7006614713884863,,11.945551328036283,0.05865459468112029,0.11336489715930372,
rbf(gamma=0.08045024446741275),omega=0.8,Principle Components (kDMD),2,1,0.7006614713884863,,11.945551328036283,0.05865459468112029,0.11336489715930372,
rbf(gamma=0.08045024446741275),omega=0.8,Principle Components (kDMD),3,1,1.287744559287447,,21.95470902643447,0.05865459468112029,0.14432260850137724,
rbf(gamma=0.08045024446741275),omega=0.8,Principle Components (kDMD),4,1,1.287744559287447,,21.95470902643447,0.05865459468112029,0.14432260850137724,
rbf(gamma=0.08045024446741275),omega=0.8,Principle Components (kDMD),5,1,0.43227990843481695,,7.369924057696353,0.05865459468112029,0.029053256257646754,
rbf(gamma=0.08045024446741275),omega=0.8,Reduced Rank,1,1,1.3070469962970572,,22.283795556049913,0.05865459468112029,0.11337787263262988,
