kernel,kind,method,bias_gap_corr
rbf(gamma=0.0836829669704253),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.0836829669704253),damping=0.0,Reduced Rank,
rbf(gamma=0.08623356893909025),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.08623356893909025),damping=0.0,Reduced Rank,
rbf(gamma=0.09812764136261426),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.09812764136261426),damping=0.0,Reduced Rank,
rbf(gamma=0.11006797819035541),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.11006797819035541),damping=0.0,Reduced Rank,
rbf(gamma=0.13670195302100357),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.13670195302100357),damping=0.0,Reduced Rank,
rbf(gamma=0.14578369797848945),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.14578369797848945),damping=0.0,Reduced Rank,
rbf(gamma=0.1673659339408506),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.1673659339408506),damping=0.0,Reduced Rank,
rbf(gamma=0.1724671378781805),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.1724671378781805),damping=0.0,Reduced Rank,
rbf(gamma=0.1881243695391665),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.1881243695391665),damping=0.0,Reduced Rank,
rbf(gamma=0.19625528272522852),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.19625528272522852),damping=0.0,Reduced Rank,
rbf(gamma=0.2045200124460037),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.2045200124460037),damping=0.0,Reduced Rank,
rbf(gamma=0.22013595638071082),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.22013595638071082),damping=0.0,Reduced Rank,
rbf(gamma=0.24705892477432867),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.24705892477432867),damping=0.0,Reduced Rank,
rbf(gamma=0.27340390604200715),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.27340390604200715),damping=0.0,Reduced Rank,
rbf(gamma=0.2915673959569789),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.2915673959569789),damping=0.0,Reduced Rank,
rbf(gamma=0.3347318678817012),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.3347318678817012),damping=0.0,Reduced Rank,
rbf(gamma=0.344934275756361),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.344934275756361),damping=0.0,Reduced Rank,
rbf(gamma=0.376248739078333),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.376248739078333),damping=0.0,Reduced Rank,
rbf(gamma=0.39251056545045704),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.39251056545045704),damping=0.0,Reduced Rank,
rbf(gamma=0.4090400248920074),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.4090400248920074),damping=0.0,Reduced Rank,
rbf(gamma=0.44027191276142164),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.44027191276142164),damping=0.0,Reduced Rank,
rbf(gamma=0.49411784954865734),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.49411784954865734),damping=0.0,Reduced Rank,
rbf(gamma=0.5468078120840143),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.5468078120840143),damping=0.0,Reduced Rank,
rbf(gamma=0.5831347919139578),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.5831347919139578),damping=0.0,Reduced Rank,
rbf(gamma=0.611930111905428),damping=0.5,Principal Components (kDMD),
rbf(gamma=0.611930111905428),damping=0.5,Reduced Rank,
rbf(gamma=0.6519508668051496),damping=0.5,Principal Components (kDMD),
rbf(gamma=0.6519508668051496),damping=0.5,Reduced Rank,
rbf(gamma=0.6694637357634023),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.6694637357634023),damping=0.0,Reduced Rank,
rbf(gamma=0.689868551512722),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.689868551512722),damping=0.0,Reduced Rank,
rbf(gamma=0.752497478156666),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.752497478156666),damping=0.0,Reduced Rank,
rbf(gamma=0.7850211309009141),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.7850211309009141),damping=0.0,Reduced Rank,
rbf(gamma=0.8180800497840148),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.8180800497840148),damping=0.0,Reduced Rank,
rbf(gamma=0.8549954868355646),damping=0.5,Principal Components (kDMD),
rbf(gamma=0.8549954868355646),damping=0.5,Reduced Rank,
rbf(gamma=0.8805438255228433),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.8805438255228433),damping=0.0,Reduced Rank,
rbf(gamma=0.9109306601309962),damping=0.3,Principal Components (kDMD),
rbf(gamma=0.9109306601309962),damping=0.3,Reduced Rank,
rbf(gamma=0.9882356990973147),damping=0.0,Principal Components (kDMD),
rbf(gamma=0.9882356990973147),damping=0.0,Reduced Rank,
rbf(gamma=0.9886738174827918),damping=0.1,Principal Components (kDMD),
rbf(gamma=0.9886738174827918),damping=0.1,Reduced Rank,
rbf(gamma=0.9907725176108307),damping=0.3,Principal Components (kDMD),
rbf(gamma=0.9907725176108307),damping=0.3,Reduced Rank,
rbf(gamma=0.9971739545270134),damping=0.1,Principal Components (kDMD),
rbf(gamma=0.9971739545270134),damping=0.1,Reduced Rank,
rbf(gamma=1.0623563298995193),damping=0.5,Principal Components (kDMD),
rbf(gamma=1.0623563298995193),damping=0.5,Reduced Rank,
rbf(gamma=1.0936156241680286),damping=0.0,Principal Components (kDMD),
rbf(gamma=1.0936156241680286),damping=0.0,Reduced Rank,
rbf(gamma=1.129233297912541),damping=0.5,Principal Components (kDMD),
rbf(gamma=1.129233297912541),damping=0.5,Reduced Rank,
rbf(gamma=1.1662695838279156),damping=0.0,Principal Components (kDMD),
rbf(gamma=1.1662695838279156),damping=0.0,Reduced Rank,
rbf(gamma=1.1879097510518069),damping=0.0,Principal Components (kDMD),
rbf(gamma=1.1879097510518069),damping=0.0,Reduced Rank,
rbf(gamma=1.1920728140808245),damping=0.1,Principal Components (kDMD),
