kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank
rbf(gamma=0.0836829669704253),damping=0.0,Principal Components (kDMD),3.0,1.0,0.000360278465439168,,10.363788002197197,3.47632029295453e-05,0.11211747482904748,,0.0,4.0,1.716523589934127e-09,,5.0
rbf(gamma=0.0836829669704253),damping=0.0,Reduced Rank,3.0,1.0,0.06110569734091816,,10.36386656606052,0.005896032812794643,0.11211747482907214,,0.0,4.0,1.716523589934127e-09,,5.0
rbf(gamma=0.08623356893909025),damping=0.0,Principal Components (kDMD),3.0,1.0,0.0003602773806901901,,10.363756798254787,3.476320292954571e-05,0.11211747259549264,,0.0,4.0,1.716523367889522e-09,,5.0
rbf(gamma=0.08623356893909025),damping=0.0,Reduced Rank,3.0,1.0,0.0611049915253299,,10.363746855808738,0.005896032812793125,0.11211747259483493,,0.0,4.0,1.716523589934127e-09,,5.0
rbf(gamma=0.09812764136261426),damping=0.0,Principal Components (kDMD),3.0,1.0,0.0003602809410752548,,10.363859216465967,3.476320292954627e-05,0.11211747027617512,,0.0,4.0,1.7165212584657752e-09,,5.0
rbf(gamma=0.09812764136261426),damping=0.0,Reduced Rank,3.0,1.0,0.06110562166574386,,10.36385373113023,0.005896032812794241,0.11211747027528791,,0.0,4.0,1.716523367889522e-09,,5.0
rbf(gamma=0.11006797819035541),damping=0.0,Principal Components (kDMD),3.0,1.0,0.0003602800599432507,,10.363833869779569,3.476320292954616e-05,0.11211747329767999,,0.0,4.0,1.7165234789118244e-09,,5.0
rbf(gamma=0.11006797819035541),damping=0.0,Reduced Rank,3.0,1.0,0.06110599464691621,,10.363916990814477,0.0058960328127940775,0.11211747329769246,,0.0,4.0,1.7165221466441949e-09,,5.0
rbf(gamma=0.13670195302100357),damping=0.0,Principal Components (kDMD),3.0,1.0,0.0003602786584773389,,10.363793555142538,3.47632029295458e-05,0.11211748715457777,,0.0,4.0,1.7165234789118244e-09,,5.0
rbf(gamma=0.13670195302100357),damping=0.0,Reduced Rank,3.0,1.0,0.06110521931985112,,10.36378549102627,0.005896032812794178,0.11211748715465353,,0.0,4.0,1.7165223686887998e-09,,5.0
rbf(gamma=0.14578369797848945),damping=0.0,Principal Components (kDMD),3.0,1.0,0.0003602783647618025,,10.363785106107285,3.476320292954489e-05,0.1121174778842626,,0.0,4.0,1.7165225907334047e-09,,5.0
rbf(gamma=0.14578369797848945),damping=0.0,Reduced Rank,3.0,1.0,0.061105574996797606,,10.363845815814608,0.005896032812795628,0.11211747788408796,,0.0,4.0,1.7165244781125466e-09,,5.0
rbf(gamma=0.1673659339408506),damping=0.0,Principal Components (kDMD),3.0,1.0,0.00234910343755381,,9.530190951714484,0.00024649069986695343,0.11215819511437361,,0.0,4.0,9.058802596939586e-10,,5.0
rbf(gamma=0.1673659339408506),damping=0.0,Reduced Rank,3.0,1.0,0.14962425048354855,,9.530193507486011,0.015700022288741355,0.11215819511442984,,0.0,4.0,9.058782612925143e-10,,5.0
rbf(gamma=0.1724671378781805),damping=0.0,Principal Components (kDMD),3.0,1.0,0.002349105484619419,,9.530199256553587,0.0002464906998669541,0.11215819649967454,,0.0,4.0,9.058801486716561e-10,,5.0
rbf(gamma=0.1724671378781805),damping=0.0,Reduced Rank,3.0,1.0,0.14962425753690836,,9.5301939567445,0.01570002228874047,0.11215819649970338,,0.0,4.0,9.058763739133724e-10,,5.0
rbf(gamma=0.1881243695391665),damping=0.0,Principal Components (kDMD),3.0,1.0,0.00036027871392582705,,10.363795150176609,3.4763202929545325e-05,0.1121174687607595,,0.0,4.0,1.7165238119787318e-09,,5.0
rbf(gamma=0.1881243695391665),damping=0.0,Reduced Rank,3.0,1.0,0.06110503171533642,,10.363753672252294,0.005896032812796178,0.11211746875983888,,0.0,4.0,1.7165222576664974e-09,,5.0
rbf(gamma=0.19625528272522852),damping=0.0,Principal Components (kDMD),3.0,1.0,0.002349100134135823,,9.530177549918825,0.0002464906998669538,0.11215818349681589,,0.0,4.0,9.058807037831684e-10,,5.0
rbf(gamma=0.19625528272522852),damping=0.0,Reduced Rank,3.0,1.0,0.14962421814891533,,9.530191447958435,0.015700022288740897,0.11215818349685874,,0.0,4.0,9.058765959579773e-10,,5.0
rbf(gamma=0.2045200124460037),damping=0.0,Principal Components (kDMD),3.0,1.0,0.00036028136243451215,,10.363871337307103,3.4763202929546e-05,0.11211748565127529,,0.0,4.0,1.7165209253988678e-09,,5.0
rbf(gamma=0.2045200124460037),damping=0.0,Reduced Rank,3.0,1.0,0.06110523464806211,,10.363788090776692,0.005896032812793909,0.1121174856506954,,0.0,4.0,1.7165230348226146e-09,,5.0
rbf(gamma=0.22013595638071082),damping=0.0,Principal Components (kDMD),3.0,1.0,0.0023490994158355144,,9.530174635811665,0.00024649069986695435,0.11215818797662216,,0.0,4.0,9.05878927426329e-10,,5.0
rbf(gamma=0.22013595638071082),damping=0.0,Reduced Rank,3.0,1.0,0.14962421203707352,,9.530191058669988,0.01570002228874042,0.11215818797666376,,0.0,4.0,9.058781502702118e-10,,5.0
rbf(gamma=0.24705892477432867),damping=0.0,Principal Components (kDMD),3.0,1.0,0.00036027992282850813,,10.363829925530199,3.4763202929546016e-05,0.11211746901144137,,0.0,4.0,1.7165225907334047e-09,,5.0
rbf(gamma=0.24705892477432867),damping=0.0,Reduced Rank,3.0,1.0,0.06110571953591831,,10.363870330455349,0.005896032812795099,0.11211746901101109,,0.0,4.0,1.7165240340233368e-09,,5.0
rbf(gamma=0.27340390604200715),damping=0.0,Principal Components (kDMD),3.0,1.0,0.0023491083447651296,,9.530210860016595,0.00024649069986695327,0.11215823247709229,,0.0,4.0,9.058778172033044e-10,,5.0
rbf(gamma=0.27340390604200715),damping=0.0,Reduced Rank,3.0,1.0,0.14962476134620284,,9.530226046463408,0.01570002228873967,0.1121582324771207,,0.0,4.0,9.058770400471872e-10,,5.0
rbf(gamma=0.2915673959569789),damping=0.0,Principal Components (kDMD),3.0,1.0,0.0023490995969965415,,9.53017537077259,0.0002464906998669538,0.11215820210078048,,0.0,4.0,9.058775951586995e-10,,5.0
rbf(gamma=0.2915673959569789),damping=0.0,Reduced Rank,3.0,1.0,0.14962416550144259,,9.53018809462019,0.015700022288742208,0.11215820210080851,,0.0,4.0,9.058794825378413e-10,,5.0
rbf(gamma=0.3347318678817012),damping=0.0,Principal Components (kDMD),3.0,1.0,0.014108973574813872,,9.056203118080063,0.0015579347537652195,0.1122711025215118,,0.0,4.0,5.022694482548218e-10,,5.0
rbf(gamma=0.3347318678817012),damping=0.0,Reduced Rank,3.0,1.0,0.3574544446099769,,9.05620132809476,0.03947068220546925,0.11227110252150724,,0.0,4.0,5.022703364332415e-10,,5.0
