kind,kernel,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
damping=0.0,rbf(gamma=0.14578369797848945),Principal Components (kDMD),0,0,4,1.7165225907334047e-09,5
damping=0.0,rbf(gamma=0.2915673959569789),Principal Components (kDMD),0,0,4,9.058775951586995e-10,5
damping=0.0,rbf(gamma=0.5831347919139578),Principal Components (kDMD),0,0,4,5.022711135893587e-10,5
damping=0.0,rbf(gamma=1.1662695838279156),Principal Components (kDMD),0,0,4,3.146001237297469e-10,5
damping=0.0,rbf(gamma=2.332539167655831),Principal Components (kDMD),0,0,4,2.902442730601251e-10,5
damping=0.0,rbf(gamma=0.09812764136261426),Principal Components (kDMD),1,0,4,1.7165212584657752e-09,5
damping=0.0,rbf(gamma=0.19625528272522852),Principal Components (kDMD),1,0,4,9.058807037831684e-10,5
damping=0.0,rbf(gamma=0.39251056545045704),Principal Components (kDMD),1,0,4,5.022692262102169e-10,5
damping=0.0,rbf(gamma=0.7850211309009141),Principal Components (kDMD),1,0,4,3.1460145599737643e-10,5
damping=0.0,rbf(gamma=1.5700422618018282),Principal Components (kDMD),1,0,4,2.902442730601251e-10,5
damping=0.0,rbf(gamma=0.24705892477432867),Principal Components (kDMD),2,0,4,1.7165225907334047e-09,5
damping=0.0,rbf(gamma=0.49411784954865734),Principal Components (kDMD),2,0,4,9.058801486716561e-10,5
damping=0.0,rbf(gamma=0.9882356990973147),Principal Components (kDMD),2,0,4,5.022705584778464e-10,5
damping=0.0,rbf(gamma=1.9764713981946294),Principal Components (kDMD),2,0,4,3.146017890642838e-10,5
damping=0.0,rbf(gamma=3.9529427963892587),Principal Components (kDMD),2,0,4,2.9024305181479804e-10,5
damping=0.0,rbf(gamma=0.0836829669704253),Principal Components (kDMD),3,0,4,1.716523589934127e-09,5
damping=0.0,rbf(gamma=0.1673659339408506),Principal Components (kDMD),3,0,4,9.058802596939586e-10,5
damping=0.0,rbf(gamma=0.3347318678817012),Principal Components (kDMD),3,0,4,5.022694482548218e-10,5
damping=0.0,rbf(gamma=0.6694637357634023),Principal Components (kDMD),3,0,4,3.146015670196789e-10,5
damping=0.0,rbf(gamma=1.3389274715268047),Principal Components (kDMD),3,0,4,2.902424967032857e-10,5
damping=0.0,rbf(gamma=0.2045200124460037),Principal Components (kDMD),4,0,4,1.7165209253988678e-09,5
damping=0.0,rbf(gamma=0.4090400248920074),Principal Components (kDMD),4,0,4,9.058787053817241e-10,5
damping=0.0,rbf(gamma=0.8180800497840148),Principal Components (kDMD),4,0,4,5.022697813217292e-10,5
damping=0.0,rbf(gamma=1.6361600995680297),Principal Components (kDMD),4,0,4,3.1460056781895673e-10,5
damping=0.0,rbf(gamma=3.2723201991360593),Principal Components (kDMD),4,0,4,2.902428297701931e-10,5
damping=0.0,rbf(gamma=0.1881243695391665),Principal Components (kDMD),5,0,4,1.7165238119787318e-09,5
damping=0.0,rbf(gamma=0.376248739078333),Principal Components (kDMD),5,0,4,9.058801486716561e-10,5
damping=0.0,rbf(gamma=0.752497478156666),Principal Components (kDMD),5,0,4,5.022712246116612e-10,5
damping=0.0,rbf(gamma=1.504994956313332),Principal Components (kDMD),5,0,4,3.146010119081666e-10,5
damping=0.0,rbf(gamma=3.009989912626664),Principal Components (kDMD),5,0,4,2.9024216363637834e-10,5
damping=0.0,rbf(gamma=0.08623356893909025),Principal Components (kDMD),6,0,4,1.716523367889522e-09,5
damping=0.0,rbf(gamma=0.1724671378781805),Principal Components (kDMD),6,0,4,9.058801486716561e-10,5
damping=0.0,rbf(gamma=0.344934275756361),Principal Components (kDMD),6,0,4,5.022698923440316e-10,5
