kernel,kind,method,bias_gap_corr
hermite(bad),damping=0.0,Principal Components (kDMD),0.3213631743978584
hermite(bad),damping=0.0,Reduced Rank,-0.15795399031363322
hermite(bad),damping=0.1,Principal Components (kDMD),0.15642807136320744
hermite(bad),damping=0.1,Reduced Rank,-0.2792745132694595
hermite(bad),damping=0.3,Principal Components (kDMD),0.2098702050539266
hermite(bad),damping=0.3,Reduced Rank,-0.24782183300306665
hermite(bad),damping=0.5,Principal Components (kDMD),0.3149919703307567
hermite(bad),damping=0.5,Reduced Rank,-0.19551636885880314
hermite(bad),damping=1.0,Principal Components (kDMD),-0.375963668160365
hermite(bad),damping=1.0,Reduced Rank,-0.32921396762551597
hermite(bad),damping=1.5,Principal Components (kDMD),
hermite(bad),damping=1.5,Reduced Rank,-0.059905053292780584
hermite(good),damping=0.0,Principal Components (kDMD),0.2373153232341668
hermite(good),damping=0.0,Reduced Rank,-0.1280003031465943
hermite(good),damping=0.1,Principal Components (kDMD),0.2926066772822699
hermite(good),damping=0.1,Reduced Rank,-0.1420686299833159
hermite(good),damping=0.3,Principal Components (kDMD),
hermite(good),damping=0.3,Reduced Rank,-0.16255786242972436
hermite(good),damping=0.5,Principal Components (kDMD),
hermite(good),damping=0.5,Reduced Rank,-0.09989889686695246
hermite(good),damping=1.0,Principal Components (kDMD),
hermite(good),damping=1.0,Reduced Rank,-0.2726669501607584
hermite(good),damping=1.5,Principal Components (kDMD),
hermite(good),damping=1.5,Reduced Rank,-0.3375742132339721
hermite(ugly),damping=0.0,Principal Components (kDMD),
hermite(ugly),damping=0.0,Reduced Rank,0.12008191546885569
hermite(ugly),damping=0.1,Principal Components (kDMD),
hermite(ugly),damping=0.1,Reduced Rank,
hermite(ugly),damping=0.3,Principal Components (kDMD),
hermite(ugly),damping=0.3,Reduced Rank,
hermite(ugly),damping=0.5,Principal Components (kDMD),
hermite(ugly),damping=0.5,Reduced Rank,
hermite(ugly),damping=1.0,Principal Components (kDMD),
hermite(ugly),damping=1.0,Reduced Rank,0.18597359616645687
hermite(ugly),damping=1.5,Principal Components (kDMD),
hermite(ugly),damping=1.5,Reduced Rank,
