kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank
hermite(bad),damping=0.0,Principal Components (kDMD),3.0,1.0,2.60907958701613e-05,3.55839756993536e-05,11.850813377416664,2.6884488051265224e-06,0.09318781039875418,0.0006050241166384553,0.0,4.0,0.0003196571940543125,8.23695106058796e-06,5.0
hermite(bad),damping=0.0,Reduced Rank,3.0,1.0,0.5728115848394075,0.8830150181641678,1029.8528412902524,0.001696019859308693,0.35223369592376474,0.3609399847846585,0.4,2.8,0.4774457686193819,1.136713903841047,4.8
hermite(bad),damping=0.1,Principal Components (kDMD),3.0,1.0,2.782030514726402e-06,3.910752478800866e-06,70.42635050003734,1.3346201133289607e-07,0.019882327208736544,0.004526989961041722,0.0,0.4,0.00022031114611789082,1.1738318553104178e-05,5.0
hermite(bad),damping=0.1,Reduced Rank,3.0,1.0,0.5466696671773216,0.7745755377943347,1912.0828910540279,0.00026168647156915267,0.43125394663837713,0.2951094740824854,1.4,2.1,0.9449706412660215,1.071716607839692,5.0
hermite(bad),damping=0.3,Principal Components (kDMD),3.0,1.0,3.1566230589680884e-07,4.291126621492742e-07,91.8092418785066,9.400658935240882e-09,0.008336842369424002,0.00618166623736582,0.0,0.3,9.537077377663739e-05,9.110549539236927e-05,5.0
hermite(bad),damping=0.3,Reduced Rank,3.0,1.0,0.04993792582172322,0.054009447349042304,1962.401881930056,3.246349020405543e-05,0.5218148216672929,0.2387459976194824,1.9,2.2,0.8938032897443895,0.5701277046405514,5.0
hermite(bad),damping=0.5,Principal Components (kDMD),3.0,1.0,9.529525215084412e-08,1.296800773143804e-07,165.42503185318657,1.4557039601946053e-09,0.013610101306948369,0.013557147714298508,0.0,0.4,0.00015379949447287268,0.0002221162588584793,5.0
hermite(bad),damping=0.5,Reduced Rank,3.0,1.0,0.08237116094714732,0.2377672816911432,1634.0700521506149,7.498866679811749e-05,0.5820150096724735,0.21726132670718523,2.0,2.2,1.2366673988878865,0.7965705883650883,4.9
hermite(bad),damping=1.0,Principal Components (kDMD),3.0,1.0,2.8078249847408477e-09,4.80749877164543e-09,315.4993790236441,2.073690745762021e-11,0.050175226970751025,0.022896979534065907,0.0,0.5,0.0018098028798254838,0.0023387387550408765,5.0
hermite(bad),damping=1.0,Reduced Rank,3.0,1.0,0.06648163254659947,0.11116275949195029,1699.3696162247843,0.0005356451693190264,0.5765652737996115,0.6887116561995039,2.0,1.8,1.738925303306695,2.3243019420888906,4.5
hermite(bad),damping=1.5,Principal Components (kDMD),3.0,1.0,0.0,0.0,719.2584458181398,0.0,0.06252401639915675,0.03134714969321612,0.0,1.5,0.00019663834715057948,0.0003749885060958421,5.0
hermite(bad),damping=1.5,Reduced Rank,3.0,1.0,0.0003948336350737164,0.0012485640790472212,2126.9945956783213,1.8679103049413827e-07,0.6851349185233089,0.1626411870833663,2.6,2.3,1.4812185281972556,0.4106144904978127,4.8
hermite(good),damping=0.0,Principal Components (kDMD),3.0,1.0,1.0164028508040431e-09,1.4171571301447979e-09,44.638111320528196,4.8301991902487184e-11,0.09237216265751258,7.568451681458093e-05,0.0,4.0,0.00031963318404266695,8.176580834152179e-06,5.0
hermite(good),damping=0.0,Reduced Rank,3.0,1.0,0.05117823960268478,0.09157574930661222,1894.6568484922102,3.5770048414943764e-05,0.6527115298146504,0.3005423807938004,2.0,2.8,1.5643797143397842,1.2655050591127754,4.7
hermite(good),damping=0.1,Principal Components (kDMD),3.0,1.0,2.8706169117862e-10,6.802405915811728e-10,517.0840393504095,1.9186112905032723e-12,0.020195669541787947,0.006265981333016382,0.0,0.4,0.00022682476586306511,1.967766012723701e-05,5.0
hermite(good),damping=0.1,Reduced Rank,3.0,1.0,0.00025174174024568635,0.000500253921047405,2138.237739142098,9.46929282105635e-08,0.8067084103131359,0.32532006225070736,2.6,2.4,2.336606380582271,1.6071176606145896,4.9
hermite(good),damping=0.3,Principal Components (kDMD),3.0,1.0,0.0,0.0,460.2153785147512,0.0,0.009754397196641982,0.0077602779628391915,0.0,0.4,9.005193915154753e-05,8.151034611591945e-05,5.0
