kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
hermite(ugly),damping=0.0,Principal Components (kDMD),1.0,0.5,0.0,0.0,10.473870650349593,0.0,0.1746128166081591,0.014469649284597211,0.0,1.0,,,1.0,-0.2980644460829694,-0.8909639874589981,-0.664986045619397,-0.27021087307734876,-0.32340366238343776,-0.8645652048453727,-0.8844622388763822,-0.5118354065698869,0.0,-3.24017865851532,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,7
hermite(bad),damping=0.0,Principal Components (kDMD),3.0,1.0,2.60907958701613e-05,3.55839756993536e-05,11.850813377416664,2.6884488051265224e-06,0.09318781039875418,0.0006050241166384553,0.0,4.0,0.0003196571940543125,8.23695106058796e-06,5.0,-0.29786077983691267,-0.8895724345368715,-0.8367145226550341,-0.2609782716103378,-0.3232231837210008,-0.9405622739788034,-0.8844622388763822,2.2659647898898005,0.934027818439263,-0.1798356575876976,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,17
hermite(good),damping=0.0,Principal Components (kDMD),3.0,1.0,1.0164028508040431e-09,1.4171571301447979e-09,44.638111320528196,4.8301991902487184e-11,0.09237216265751258,7.568451681458093e-05,0.0,4.0,0.00031963318404266695,8.176580834152179e-06,5.0,-0.29806443814887057,-0.8564372435340089,-0.8384347551845933,-0.2702107071998954,-0.3234036551957467,-0.9434637774580208,-0.8844622388763822,2.2659647898898005,0.9340278335213891,-0.15401106141855841,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,18
hermite(good),damping=0.0,Reduced Rank,3.0,1.0,0.05117823960268478,0.09157574930661222,1894.6568484922102,3.5770048414943764e-05,0.6527115298146504,0.3005423807938004,2.0,2.8,1.5643797143397842,1.2655050591127754,4.7,0.10143582181003039,1.0132113112636414,0.3433425712737928,-0.1473702964440439,0.14106014250883314,0.7035038118300432,0.34253739887120005,1.1548447113059255,-0.04845196703944124,2.8973329719319665,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,28
hermite(bad),damping=0.0,Reduced Rank,3.0,1.0,0.5728115848394075,0.8830150181641678,1029.8528412902524,0.001696019859308693,0.35223369592376474,0.3609399847846585,0.4,2.8,0.4774457686193819,1.136713903841047,4.8,4.173335574162205,0.1392312105430126,-0.2903767638447705,5.5542167341264905,4.15516755564026,1.0345651157154474,-0.6390623113268656,1.1548447113059255,0.634316335201911,9.249203279006068,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,33
hermite(ugly),damping=0.0,Reduced Rank,3.0,1.0,0.0,0.0,0.0,4.0333039915603816e-16,1.4615984743162844,0.041752833583088074,4.4,1.6,4.372975216567413,0.8074897375330644,4.4,-0.2980644460829694,-0.9015489922111668,2.049316319879182,-0.2702108730759636,-0.32340366238343776,-0.7150161172793934,1.814936964168299,0.04372463272205069,-1.8126989944590226,0.49983611770804515,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",False,spurious_ref,34
hermite(bad),damping=0.1,Principal Components (kDMD),3.0,1.0,2.782030514726402e-06,3.910752478800866e-06,70.42635050003734,1.3346201133289607e-07,0.019882327208736544,0.004526989961041722,0.0,0.4,0.00022031114611789082,1.1738318553104178e-05,5.0,-0.2980427293935219,-0.8303753755410086,-0.9913186126345715,-0.2697525412842074,-0.32338382740539995,-0.9190645482339428,-0.8844622388763822,-1.0673954458618244,0.9340902236413003,-3.607806535600406,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,4
hermite(ugly),damping=0.1,Principal Components (kDMD),1.0,0.5,0.0,0.0,14.569999348996117,0.0,0.1305716975653748,0.005717127177738965,0.0,1.0,,,1.0,-0.2980644460829694,-0.886824396357668,-0.7578704634690203,-0.27021087307734876,-0.32340366238343776,-0.9125409719208497,-0.8844622388763822,-0.5118354065698869,0.0,-3.3409174270324815,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,6
hermite(good),damping=0.1,Principal Components (kDMD),3.0,1.0,2.8706169117862e-10,6.802405915811728e-10,517.0840393504095,1.9186112905032723e-12,0.020195669541787947,0.006265981333016382,0.0,0.4,0.00022682476586306511,1.967766012723701e-05,5.0,-0.29806444384214936,-0.37897837848948085,-0.990657761574796,-0.2702108664885034,-0.32340365893331985,-0.9095325020431944,-0.8844622388763822,-1.0673954458618244,0.9340861320466709,-3.1536235566714863,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,10
hermite(ugly),damping=0.1,Reduced Rank,3.0,1.0,0.0,0.0,0.0,3.60351006389653e-16,1.1875342066228511,0.3424158349936354,3.9,1.4,3.4432042356920602,1.351928993734707,3.9,-0.2980644460829694,-0.9015489922111668,1.4713042141159733,-0.27021087307611125,-0.32340366238343776,0.9330274920687729,1.508187054731403,-0.14146204704192866,-1.2286541621258174,0.2872956959659795,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,20
hermite(good),damping=0.1,Reduced Rank,3.0,1.0,0.00025174174024568635,0.000500253921047405,2138.237739142098,9.46929282105635e-08,0.8067084103131359,0.32532006225070736,2.6,2.4,2.336606380582271,1.6071176606145896,4.9,-0.29609933564836344,1.2593767424722575,0.6681279288362139,-0.2698856810683935,-0.32086642035876145,0.8393193241742486,0.7106372901954747,0.7844713517779672,-0.5335337808256766,2.499098827542649,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,26
