kind,kernel,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
damping=0.0,hermite(good),Principal Components (kDMD),0,0,4,0.0003188300093264207,5
damping=0.0,hermite(bad),Principal Components (kDMD),0,0,4,0.0003187585708381846,5
damping=0.0,hermite(ugly),Principal Components (kDMD),0,0,1,,1
damping=0.0,hermite(good),Principal Components (kDMD),1,0,4,0.00032052346917155194,5
damping=0.0,hermite(bad),Principal Components (kDMD),1,0,4,0.00032050525713311906,5
damping=0.0,hermite(ugly),Principal Components (kDMD),1,0,1,,1
damping=0.0,hermite(good),Principal Components (kDMD),2,0,4,0.0003279053263853804,5
damping=0.0,hermite(bad),Principal Components (kDMD),2,0,4,0.00032795415595066046,5
damping=0.0,hermite(ugly),Principal Components (kDMD),2,0,1,,1
damping=0.0,hermite(good),Principal Components (kDMD),3,0,4,0.0003239951096688509,5
damping=0.0,hermite(bad),Principal Components (kDMD),3,0,4,0.0003241189179695736,5
damping=0.0,hermite(ugly),Principal Components (kDMD),3,0,1,,1
damping=0.0,hermite(good),Principal Components (kDMD),4,0,4,0.0003048221725904243,5
damping=0.0,hermite(bad),Principal Components (kDMD),4,0,4,0.00030479694758223097,5
damping=0.0,hermite(ugly),Principal Components (kDMD),4,0,1,,1
damping=0.0,hermite(good),Principal Components (kDMD),5,0,4,0.00032102514283072203,5
damping=0.0,hermite(bad),Principal Components (kDMD),5,0,4,0.0003210038338781196,5
damping=0.0,hermite(ugly),Principal Components (kDMD),5,0,1,,1
damping=0.0,hermite(good),Principal Components (kDMD),6,0,4,0.0003277643389307805,5
damping=0.0,hermite(bad),Principal Components (kDMD),6,0,4,0.0003282043701946513,5
damping=0.0,hermite(ugly),Principal Components (kDMD),6,0,1,,1
damping=0.0,hermite(good),Principal Components (kDMD),7,0,4,0.0003059815706741853,5
damping=0.0,hermite(bad),Principal Components (kDMD),7,0,4,0.0003059816822125194,5
damping=0.0,hermite(ugly),Principal Components (kDMD),7,0,1,,1
damping=0.0,hermite(good),Principal Components (kDMD),8,0,4,0.0003258805161173717,5
damping=0.0,hermite(bad),Principal Components (kDMD),8,0,4,0.00032578904117430696,5
damping=0.0,hermite(ugly),Principal Components (kDMD),8,0,1,,1
damping=0.0,hermite(good),Principal Components (kDMD),9,0,4,0.0003196041847309816,5
damping=0.0,hermite(bad),Principal Components (kDMD),9,0,4,0.0003194591636097588,5
damping=0.0,hermite(ugly),Principal Components (kDMD),9,0,1,,1
damping=0.0,hermite(good),Reduced Rank,0,2,3,0.652180209192186,5
damping=0.0,hermite(bad),Reduced Rank,0,1,5,0.83853043511918,5
damping=0.0,hermite(ugly),Reduced Rank,0,5,5,4.442178204794403,5
damping=0.0,hermite(good),Reduced Rank,1,2,4,4.342676565437405,5
damping=0.0,hermite(bad),Reduced Rank,1,0,4,0.0003181229438293798,5
damping=0.0,hermite(ugly),Reduced Rank,1,5,0,4.938912796865621,5
damping=0.0,hermite(good),Reduced Rank,2,3,3,2.3173649220940513,5
damping=0.0,hermite(bad),Reduced Rank,2,0,2,0.0003252554383105233,4
damping=0.0,hermite(ugly),Reduced Rank,2,5,0,4.544223645044489,5
damping=0.0,hermite(good),Reduced Rank,3,1,2,2.237789594068634,4
damping=0.0,hermite(bad),Reduced Rank,3,0,3,0.00032661299300107416,5
damping=0.0,hermite(ugly),Reduced Rank,3,3,0,2.989493527151715,3
damping=0.0,hermite(good),Reduced Rank,4,3,3,2.149149750835768,5
damping=0.0,hermite(bad),Reduced Rank,4,1,4,0.2745468718893749,5
damping=0.0,hermite(ugly),Reduced Rank,4,5,3,5.277008766339038,5
damping=0.0,hermite(good),Reduced Rank,5,2,1,0.53946833120803,4
damping=0.0,hermite(bad),Reduced Rank,5,0,0,0.00032091304618675487,4
damping=0.0,hermite(ugly),Reduced Rank,5,5,0,5.022455714295954,5
damping=0.0,hermite(good),Reduced Rank,6,2,4,0.5528149816627697,5
damping=0.0,hermite(bad),Reduced Rank,6,0,0,0.00033636316006091516,5
