kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank
linear,damping=0.0,Principal Components (kDMD),3.0,1.0,0.0,0.0,8.321562903237668,0.0,0.3792735902794666,0.00018937730310080643,3.0,4.7,0.0,0.0,5.0
linear,damping=0.0,Reduced Rank,3.0,1.0,3.969213424399651e-15,4.262683050168409e-15,3.686485616215384,1.0823600413309788e-15,0.37936646816446845,9.304131208775422e-05,1.6,1.5,0.0,0.0,3.6
linear,damping=0.1,Principal Components (kDMD),3.0,1.0,0.0,0.0,13.168734684284914,0.0,0.3433303585925108,0.00023288234551406355,3.0,4.8,0.0,0.0,5.0
linear,damping=0.1,Reduced Rank,3.0,1.0,1.4566640610834846e-15,6.331694137559461e-16,3.0443714662933976,5.97685436177364e-16,0.34324001940163584,0.00026164372712275994,2.9,2.6,0.0,0.0,4.9
linear,damping=0.3,Principal Components (kDMD),3.0,1.0,0.0,0.0,13.101273113016287,0.0,0.28273458292030496,0.00010573599747883873,3.0,4.6,0.0,0.0,5.0
linear,damping=0.3,Reduced Rank,3.0,1.0,1.125174518596775e-15,5.375963738558414e-16,1.6338825407991977,6.255787979494734e-16,0.28261667706973026,4.780553841399531e-05,2.5,1.3,0.0,0.0,4.5
linear,damping=0.5,Principal Components (kDMD),3.0,1.0,0.0,0.0,13.129497658473024,0.0,0.26435918768891403,0.000458442826654937,3.0,2.6,0.0,0.0,5.0
linear,damping=0.5,Reduced Rank,3.0,1.0,1.827803248096421e-15,1.171795876392988e-15,4.12700613039034,6.666951087912029e-16,0.2642791269010601,0.0007878041127657575,2.7,1.6,0.0,0.0,4.7
linear,damping=1.0,Principal Components (kDMD),3.0,1.0,0.0,0.0,14.287491306964753,0.0,0.24562775562616335,0.0006675757076391245,3.0,2.9,3.785411042245279e-06,2.603145600429939e-06,5.0
linear,damping=1.0,Reduced Rank,3.0,1.0,4.150665065547232e-15,5.6487012661447045e-15,4.255114227714984,8.329556973806199e-16,0.24537256475920555,0.001922200168378185,2.2,1.5,0.00012504294550103046,0.00018843031866173755,4.2
linear,damping=1.5,Principal Components (kDMD),3.0,1.0,0.0,0.0,13.86862424521831,0.0,0.23675356920342172,0.00036662180105943946,3.0,2.8,0.0023812951637028346,2.6991673951720075e-07,5.0
linear,damping=1.5,Reduced Rank,3.0,1.0,2.023844045699682e-15,2.045298638767787e-15,4.823439527306006,8.004532003213747e-16,0.23550423934952236,0.0030640078260154337,2.3,1.2,0.0024505740738776207,0.0001219637154140551,4.3
