kind,kernel,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
damping=0.0,linear,Principal Components (kDMD),0,3,4,0.0,5
damping=0.0,linear,Principal Components (kDMD),1,3,5,0.0,5
damping=0.0,linear,Principal Components (kDMD),2,3,5,0.0,5
damping=0.0,linear,Principal Components (kDMD),3,3,5,0.0,5
damping=0.0,linear,Principal Components (kDMD),4,3,4,0.0,5
damping=0.0,linear,Principal Components (kDMD),5,3,5,0.0,5
damping=0.0,linear,Principal Components (kDMD),6,3,5,0.0,5
damping=0.0,linear,Principal Components (kDMD),7,3,5,0.0,5
damping=0.0,linear,Principal Components (kDMD),8,3,4,0.0,5
damping=0.0,linear,Principal Components (kDMD),9,3,5,0.0,5
damping=0.0,linear,Reduced Rank,0,2,0,0.0,4
damping=0.0,linear,Reduced Rank,1,1,3,0.0,3
damping=0.0,linear,Reduced Rank,2,0,2,0.0,2
damping=0.0,linear,Reduced Rank,3,2,1,0.0,4
damping=0.0,linear,Reduced Rank,4,2,0,0.0,4
damping=0.0,linear,Reduced Rank,5,3,0,0.0,5
damping=0.0,linear,Reduced Rank,6,3,4,0.0,5
damping=0.0,linear,Reduced Rank,7,2,0,0.0,4
damping=0.0,linear,Reduced Rank,8,1,3,0.0,3
damping=0.0,linear,Reduced Rank,9,0,2,0.0,2
damping=0.1,linear,Principal Components (kDMD),0,3,5,0.0,5
damping=0.1,linear,Principal Components (kDMD),1,3,4,0.0,5
damping=0.1,linear,Principal Components (kDMD),2,3,5,0.0,5
damping=0.1,linear,Principal Components (kDMD),3,3,5,0.0,5
damping=0.1,linear,Principal Components (kDMD),4,3,5,0.0,5
damping=0.1,linear,Principal Components (kDMD),5,3,5,0.0,5
damping=0.1,linear,Principal Components (kDMD),6,3,5,0.0,5
damping=0.1,linear,Principal Components (kDMD),7,3,5,0.0,5
damping=0.1,linear,Principal Components (kDMD),8,3,5,0.0,5
damping=0.1,linear,Principal Components (kDMD),9,3,4,0.0,5
damping=0.1,linear,Reduced Rank,0,3,0,0.0,5
damping=0.1,linear,Reduced Rank,1,3,3,0.0,5
damping=0.1,linear,Reduced Rank,2,3,0,0.0,5
damping=0.1,linear,Reduced Rank,3,3,5,0.0,5
damping=0.1,linear,Reduced Rank,4,3,1,0.0,5
damping=0.1,linear,Reduced Rank,5,2,4,0.0,4
damping=0.1,linear,Reduced Rank,6,3,3,0.0,5
damping=0.1,linear,Reduced Rank,7,3,5,0.0,5
damping=0.1,linear,Reduced Rank,8,3,1,0.0,5
damping=0.1,linear,Reduced Rank,9,3,4,0.0,5
damping=0.3,linear,Principal Components (kDMD),0,3,5,0.0,5
damping=0.3,linear,Principal Components (kDMD),1,3,5,0.0,5
damping=0.3,linear,Principal Components (kDMD),2,3,5,0.0,5
damping=0.3,linear,Principal Components (kDMD),3,3,5,0.0,5
damping=0.3,linear,Principal Components (kDMD),4,3,5,0.0,5
damping=0.3,linear,Principal Components (kDMD),5,3,5,0.0,5
damping=0.3,linear,Principal Components (kDMD),6,3,5,0.0,5
damping=0.3,linear,Principal Components (kDMD),7,3,2,0.0,5
damping=0.3,linear,Principal Components (kDMD),8,3,4,0.0,5
damping=0.3,linear,Principal Components (kDMD),9,3,5,0.0,5
damping=0.3,linear,Reduced Rank,0,3,4,0.0,5
damping=0.3,linear,Reduced Rank,1,3,4,0.0,5
damping=0.3,linear,Reduced Rank,2,3,0,0.0,5
damping=0.3,linear,Reduced Rank,3,1,0,0.0,3
damping=0.3,linear,Reduced Rank,4,3,0,0.0,5
damping=0.3,linear,Reduced Rank,5,3,1,0.0,5
damping=0.3,linear,Reduced Rank,6,3,0,0.0,5
damping=0.3,linear,Reduced Rank,7,3,0,0.0,5
damping=0.3,linear,Reduced Rank,8,1,0,0.0,3
damping=0.3,linear,Reduced Rank,9,2,4,0.0,4
damping=0.5,linear,Principal Components (kDMD),0,3,2,0.0,5
damping=0.5,linear,Principal Components (kDMD),1,3,3,0.0,5
damping=0.5,linear,Principal Components (kDMD),2,3,3,0.0,5
damping=0.5,linear,Principal Components (kDMD),3,3,2,0.0,5
damping=0.5,linear,Principal Components (kDMD),4,3,3,0.0,5
damping=0.5,linear,Principal Components (kDMD),5,3,3,0.0,5
damping=0.5,linear,Principal Components (kDMD),6,3,3,0.0,5
damping=0.5,linear,Principal Components (kDMD),7,3,1,0.0,5
damping=0.5,linear,Principal Components (kDMD),8,3,3,0.0,5
damping=0.5,linear,Principal Components (kDMD),9,3,3,0.0,5
damping=0.5,linear,Reduced Rank,0,3,2,0.0,5
damping=0.5,linear,Reduced Rank,1,3,2,0.0,5
damping=0.5,linear,Reduced Rank,2,1,0,0.0,3
damping=0.5,linear,Reduced Rank,3,3,0,0.0,5
damping=0.5,linear,Reduced Rank,4,2,2,0.0,4
damping=0.5,linear,Reduced Rank,5,3,1,0.0,5
damping=0.5,linear,Reduced Rank,6,3,1,0.0,5
damping=0.5,linear,Reduced Rank,7,3,3,0.0,5
damping=0.5,linear,Reduced Rank,8,3,2,0.0,5
damping=0.5,linear,Reduced Rank,9,3,3,0.0,5
damping=1.0,linear,Principal Components (kDMD),0,3,3,7.843851581923467e-06,5
damping=1.0,linear,Principal Components (kDMD),1,3,2,2.630082195698158e-06,5
damping=1.0,linear,Principal Components (kDMD),2,3,3,5.70117545606319e-06,5
damping=1.0,linear,Principal Components (kDMD),3,3,3,2.8170422280426877e-06,5
damping=1.0,linear,Principal Components (kDMD),4,3,3,0.0,5
damping=1.0,linear,Principal Components (kDMD),5,3,3,3.7439248388171364e-06,5
damping=1.0,linear,Principal Components (kDMD),6,3,3,3.3243419358397475e-06,5
damping=1.0,linear,Principal Components (kDMD),7,3,3,0.0,5
damping=1.0,linear,Principal Components (kDMD),8,3,3,5.270590532124864e-06,5
damping=1.0,linear,Principal Components (kDMD),9,3,3,6.523101653943542e-06,5
damping=1.0,linear,Reduced Rank,0,2,2,0.0,4
damping=1.0,linear,Reduced Rank,1,2,2,0.0,4
damping=1.0,linear,Reduced Rank,2,2,2,1.902037011847213e-05,4
damping=1.0,linear,Reduced Rank,3,2,2,0.000526676579224783,4
damping=1.0,linear,Reduced Rank,4,3,3,0.0003319161302727247,5
damping=1.0,linear,Reduced Rank,5,3,2,8.272784500429342e-05,5
damping=1.0,linear,Reduced Rank,6,3,2,0.00028481794284007655,5
damping=1.0,linear,Reduced Rank,7,3,0,0.0,5
damping=1.0,linear,Reduced Rank,8,0,0,5.270587549954797e-06,2
damping=1.0,linear,Reduced Rank,9,2,0,0.0,4
damping=1.5,linear,Principal Components (kDMD),0,3,3,0.0023814014753946733,5
damping=1.5,linear,Principal Components (kDMD),1,3,3,0.002381375792551599,5
damping=1.5,linear,Principal Components (kDMD),2,3,3,0.0023813830867215335,5
damping=1.5,linear,Principal Components (kDMD),3,3,2,0.0023813761698102676,5
damping=1.5,linear,Principal Components (kDMD),4,3,3,0.0023813577602033176,5
damping=1.5,linear,Principal Components (kDMD),5,3,2,0.002381377564062759,5
damping=1.5,linear,Principal Components (kDMD),6,3,3,0.0023813771487940505,5
damping=1.5,linear,Principal Components (kDMD),7,3,3,0.002380527649707309,5
damping=1.5,linear,Principal Components (kDMD),8,3,3,0.0023813828983577645,5
damping=1.5,linear,Principal Components (kDMD),9,3,3,0.002381392091425072,5
damping=1.5,linear,Reduced Rank,0,2,2,0.002581039484428116,4
damping=1.5,linear,Reduced Rank,1,3,1,0.0023967600813931123,5
damping=1.5,linear,Reduced Rank,2,2,0,0.002384844133537123,4
damping=1.5,linear,Reduced Rank,3,3,0,0.0024141934343264726,5
damping=1.5,linear,Reduced Rank,4,2,1,0.002386089814785941,4
damping=1.5,linear,Reduced Rank,5,2,2,0.002382129547450984,4
damping=1.5,linear,Reduced Rank,6,2,2,0.002392752128876463,4
damping=1.5,linear,Reduced Rank,7,1,1,0.0023852921788248826,3
damping=1.5,linear,Reduced Rank,8,3,0,0.0024296901489014866,5
damping=1.5,linear,Reduced Rank,9,3,3,0.002752949786251624,5
