kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
poly(p=3),damping=1.0,Principal Components (kDMD),3.0,1.0,2.4217285531858278e-05,3.418991973161399e-05,11.199931209976231,2.7933596105212794e-06,0.029489583720532515,0.0017591857520429782,0.0,0.1,0.0015871520633596204,8.698107716043963e-05,5.0,-0.48411831506202907,-0.27682035667595445,-0.8689468170240108,-0.4710700866976968,-0.5192031293090725,-0.3216510678689818,-0.5957727061917026,-1.2536884595159252,0.23387570814006625,-4.040929859082084,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,1
poly(p=4),damping=1.0,Principal Components (kDMD),3.0,1.0,9.45978327255287e-05,0.00013390732851587645,10.563308158322595,1.1581119545824384e-05,0.030758490272437433,0.0023618839938133675,0.0,0.2,0.0016389228354611984,9.18045362891851e-05,5.0,-0.4836702528651435,-0.3157002253322183,-0.8405385936127131,-0.4705811044505185,-0.5179990555264739,-0.3129257987461798,-0.5957727061917026,-1.1853054526332385,0.2332077280145058,-3.955979790886822,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,2
poly(p=2),damping=1.0,Principal Components (kDMD),3.0,1.0,8.814514944597194e-09,7.875465394424426e-09,12.132280283014767,9.243898862184063e-10,0.028060642758679588,0.0009301263623846569,0.1,0.2,0.001475218259260469,7.8271524538675e-05,5.0,-0.4842724329417498,-0.2198798965286682,-0.9009378836828852,-0.47122546773442725,-0.5196158727190584,-0.3336533698373864,-0.4751098796212312,-1.1853054526332385,0.2353199507789419,-3.880781508793042,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,3
poly(p=4),damping=0.5,Principal Components (kDMD),3.0,1.0,0.002133850246303871,0.002053657265670715,10.066343276452546,0.0002453014169059199,0.04181156138431065,0.0019219811791879172,0.0,0.0,0.0017128556567921893,9.230434063190716e-05,5.0,-0.4706878031277499,-0.34605088461748024,-0.5930829294775783,-0.4575760750624051,-0.4948183431849164,-0.31929427666675647,-0.5957727061917026,-1.3220714663986122,0.23225379873605467,-3.824757328812413,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,4
poly(p=3),damping=0.5,Principal Components (kDMD),3.0,1.0,0.0009563187183642812,0.0009267035251461247,10.640592498675446,0.00010381349172798674,0.04141792412444762,0.0013964493146336238,0.0,0.0,0.001668984917584937,5.776641329829756e-05,5.0,-0.47818429732036777,-0.3109803129848728,-0.6018956629325458,-0.46544896691555565,-0.5084261521894887,-0.3269024072917518,-0.5957727061917026,-1.3220714663986122,0.23281984750632592,-3.8171565746399647,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,5
poly(p=2),damping=0.5,Principal Components (kDMD),3.0,1.0,0.0002930218631624009,0.00028893506585034724,11.489599309784452,2.9468247530055768e-05,0.040801818956533134,0.0007688007419725811,0.0,0.0,0.0016312149079813487,2.7313092553243895e-05,5.0,-0.482407030134752,-0.2591297348154998,-0.615688998012024,-0.4695858009713968,-0.516127117252347,-0.33598888263125753,-0.5957727061917026,-1.3220714663986122,0.23330718070096948,-3.792792008665513,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,6
poly(p=3),damping=1.0,Reduced Rank,3.0,1.0,0.010968936543106132,0.009864786580575907,16.06615718629591,0.0012241225585502998,0.028871143528784268,0.007322650820601892,0.0,0.1,0.0014428236607574752,0.000457616650206864,5.0,-0.4144411791149331,0.020369992180505947,-0.8827924285131589,-0.40311098214332797,-0.40050004776156833,-0.2411087224393801,-0.5957727061917026,-1.2536884595159252,0.23573792692836174,-3.606647370224353,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,7
poly(p=4),damping=1.5,Principal Components (kDMD),3.0,1.0,1.3207372735920614e-05,2.0781206619150645e-05,10.423509715737115,1.657045788632266e-06,0.02654119601387476,0.003971383766838978,0.0,1.1,0.0005186708195035084,5.975117332877559e-05,5.0,-0.4841884072382278,-0.32423800144942827,-0.9349551897825222,-0.47113331524401775,-0.519365037646984,-0.2896250527020472,-0.5957727061917026,-0.569858390689057,0.24766194710188102,-3.301312944031307,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,8
poly(p=2),damping=0.5,Reduced Rank,3.0,1.0,0.047050344334809716,0.027861424358979522,11.48974851395527,0.0045966437863472496,0.040798633901968,0.0007669491868205364,0.0,0.0,0.001631063499424834,2.725553413074829e-05,5.0,-0.1847368717956479,-0.2591206226123691,-0.6157603048718773,-0.2154518948713286,-0.18319316034754768,-0.33601568761570516,-0.5957727061917026,-1.3220714663986122,0.23330913427250194,-3.284907153882207,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,9
poly(p=3),damping=1.5,Principal Components (kDMD),3.0,1.0,4.2648574745509426e-06,6.504729398976377e-06,11.103209766961646,5.019060359265376e-07,0.025042340359256364,0.003111780620592362,0.0,1.2,0.00048182868261071877,3.857308151759175e-05,5.0,-0.4842453377849976,-0.2827273325400602,-0.968511503471473,-0.47119759133214956,-0.5195374241152874,-0.3020695369729444,-0.5957727061917026,-0.5014753838063702,0.24813730828017824,-3.2192745143162567,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,10
poly(p=2),damping=1.5,Principal Components (kDMD),3.0,1.0,1.6466813264948016e-08,1.5897889631644306e-08,12.91169072393376,1.5986892591319221e-09,0.0224327196667906,0.0016192862172130893,0.2,1.1,0.00043840628347667775,2.966262979467969e-05,5.0,-0.4842723842250841,-0.17227971068315454,-1.026935575393097,-0.4712254302140096,-0.5196157758494064,-0.32367639498452133,-0.3544470530507598,-0.569858390689057,0.2486975722756385,-3.151855050713978,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,11
poly(p=3),damping=0.5,Reduced Rank,3.0,1.0,0.08202786761513198,0.04798497362002439,10.640891827910927,0.008644894043585325,0.041413616774390705,0.001394263306081071,0.0,0.0,0.0016686385131969629,5.7599236732629934e-05,5.0,0.037939798783098576,-0.3109620323377453,-0.6019920956939213,0.00980716119047445,0.059795886133571195,-0.3269340541617837,-0.5957727061917026,-1.3220714663986122,0.2328243170407211,-2.9214568421576206,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,12
poly(p=4),damping=0.5,Reduced Rank,3.0,1.0,0.11908550008498567,0.06952494065193204,10.066772673803188,0.013277468419285364,0.04180823260486846,0.0019213457403672936,0.0,0.0,0.0017122576785169041,9.195298599606888e-05,5.0,0.27385902473241636,-0.34602466044518404,-0.5931574540435826,0.26758009139421063,0.3198879793534237,-0.3193034759216021,-0.5957727061917026,-1.3220714663986122,0.23226151424013533,-2.5140212106862343,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,13
