kind,kernel,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
damping=0.0,rbf(gamma=0.5),Principal Components (kDMD),0,0,4,5.68796121314108e-10,5
damping=0.0,rbf(gamma=0.5),Principal Components (kDMD),1,0,4,4.1769621095255616e-10,5
damping=0.0,rbf(gamma=0.5),Principal Components (kDMD),2,0,4,8.963422226671014e-10,5
damping=0.0,rbf(gamma=0.5),Principal Components (kDMD),3,0,4,3.737635756451141e-10,5
damping=0.0,rbf(gamma=0.5),Principal Components (kDMD),4,0,4,7.584826100526243e-10,5
damping=0.0,rbf(gamma=0.5),Principal Components (kDMD),5,0,4,7.054113959625852e-10,5
damping=0.0,rbf(gamma=0.5),Principal Components (kDMD),6,0,4,3.8139158498040615e-10,5
damping=0.0,rbf(gamma=0.5),Principal Components (kDMD),7,0,4,3.945156756834933e-09,5
damping=0.0,rbf(gamma=0.5),Principal Components (kDMD),8,0,4,5.39655986564469e-10,5
damping=0.0,rbf(gamma=0.5),Principal Components (kDMD),9,0,4,4.5497361433888273e-10,5
damping=0.0,rbf(gamma=1.0),Principal Components (kDMD),0,0,4,3.4244640456648767e-10,5
damping=0.0,rbf(gamma=1.0),Principal Components (kDMD),1,0,4,2.8578106547882953e-10,5
damping=0.0,rbf(gamma=1.0),Principal Components (kDMD),2,0,4,4.975885259383972e-10,5
damping=0.0,rbf(gamma=1.0),Principal Components (kDMD),3,0,4,2.775876195570959e-10,5
damping=0.0,rbf(gamma=1.0),Principal Components (kDMD),4,0,4,4.305249490244023e-10,5
damping=0.0,rbf(gamma=1.0),Principal Components (kDMD),5,0,4,4.051720070563647e-10,5
damping=0.0,rbf(gamma=1.0),Principal Components (kDMD),6,0,4,2.7841640104497856e-10,5
damping=0.0,rbf(gamma=1.0),Principal Components (kDMD),7,0,4,2.0210372264628518e-09,5
damping=0.0,rbf(gamma=1.0),Principal Components (kDMD),8,0,4,3.299100992393278e-10,5
damping=0.0,rbf(gamma=1.0),Principal Components (kDMD),9,0,4,2.9711588744874007e-10,5
damping=0.0,rbf(gamma=2.5),Principal Components (kDMD),0,0,4,2.9994029482338647e-10,5
damping=0.0,rbf(gamma=2.5),Principal Components (kDMD),1,0,4,4.33424074408606e-10,5
damping=0.0,rbf(gamma=2.5),Principal Components (kDMD),2,0,4,2.863533854480238e-10,5
damping=0.0,rbf(gamma=2.5),Principal Components (kDMD),3,0,4,5.444085182659819e-10,5
damping=0.0,rbf(gamma=2.5),Principal Components (kDMD),4,0,4,2.7719671003012536e-10,5
damping=0.0,rbf(gamma=2.5),Principal Components (kDMD),5,0,4,2.775810692412506e-10,5
damping=0.0,rbf(gamma=2.5),Principal Components (kDMD),6,0,4,5.199602970407113e-10,5
damping=0.0,rbf(gamma=2.5),Principal Components (kDMD),7,0,4,8.656176886390199e-10,5
damping=0.0,rbf(gamma=2.5),Principal Components (kDMD),8,0,4,3.1182911808258496e-10,5
damping=0.0,rbf(gamma=2.5),Principal Components (kDMD),9,0,4,3.7760305993117527e-10,5
damping=0.0,rbf(gamma=5.0),Principal Components (kDMD),0,0,4,6.827204357406913e-10,5
damping=0.0,rbf(gamma=5.0),Principal Components (kDMD),1,0,4,1.435285890138971e-09,5
damping=0.0,rbf(gamma=5.0),Principal Components (kDMD),2,0,4,3.371005696806151e-10,5
damping=0.0,rbf(gamma=5.0),Principal Components (kDMD),3,0,4,1.9764062608729205e-09,5
damping=0.0,rbf(gamma=5.0),Principal Components (kDMD),4,0,4,4.113488438761692e-10,5
damping=0.0,rbf(gamma=5.0),Principal Components (kDMD),5,0,4,4.586898638692105e-10,5
damping=0.0,rbf(gamma=5.0),Principal Components (kDMD),6,0,4,1.859817966298749e-09,5
damping=0.0,rbf(gamma=5.0),Principal Components (kDMD),7,0,4,4.825356780813195e-10,5
