kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
N/A,Principal Components (kDMD),0,4,5,0.06305295536729827,5
N/A,Principal Components (kDMD),1,4,5,0.06305295536729683,5
N/A,Principal Components (kDMD),2,4,5,0.06305295536729794,5
N/A,Principal Components (kDMD),3,4,5,0.06305295536729771,5
N/A,Principal Components (kDMD),4,4,5,0.06305295536729794,5
N/A,Principal Components (kDMD),5,4,5,0.06305295536729771,5
N/A,Principal Components (kDMD),6,4,5,0.06305295536729894,5
N/A,Principal Components (kDMD),7,4,5,0.06305295536729727,5
N/A,Principal Components (kDMD),8,4,5,0.06305295536729794,5
N/A,Principal Components (kDMD),9,4,5,0.0630529553672966,5
N/A,Reduced Rank,0,3,4,0.04595385438975452,5
N/A,Reduced Rank,1,3,4,0.04595385439332811,5
N/A,Reduced Rank,2,3,4,0.045953854389545246,5
N/A,Reduced Rank,3,3,4,0.045953854392779436,5
N/A,Reduced Rank,4,3,4,0.04595385439495148,5
N/A,Reduced Rank,5,3,4,0.04595385439152533,5
N/A,Reduced Rank,6,3,4,0.04595385439502353,5
N/A,Reduced Rank,7,3,4,0.04595385439173838,5
N/A,Reduced Rank,8,3,4,0.04595385439839994,5
N/A,Reduced Rank,9,3,4,0.04595385439045041,5
