kind,kernel,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag
N/A,linear,Principal Components (kDMD),0,1,0.0,9.018473901170653,0.0,0.5572787715343049,0.9402136199304527,0.9402136228809169,0.0
N/A,linear,Principal Components (kDMD),0,2,0.0,0.0,0.0,1.000411867342532,0.9402136199304527,-6.626084708248246e-10,2.875098093005342e-09
N/A,linear,Principal Components (kDMD),0,3,0.0,0.0,0.0,1.000411867342532,0.9402136199304527,-6.626084708248246e-10,-2.875098093005342e-09
N/A,linear,Principal Components (kDMD),0,4,0.0,0.0,0.0,1.0003292352967974,0.9402136199304527,1.104686362287966e-09,0.0
N/A,linear,Principal Components (kDMD),1,1,0.0,9.057555077140751,0.0,0.6051147986705624,0.9449818196438542,0.9449818257606665,0.0
N/A,linear,Principal Components (kDMD),1,2,,,0.0,,0.9449818196438542,6.116812334351013e-09,0.0
N/A,linear,Principal Components (kDMD),1,3,0.0,0.0,0.0,1.000021350824577,0.9449818196438542,-4.438987455261191e-09,0.0
N/A,linear,Principal Components (kDMD),1,4,0.0,0.0,0.0,1.000700028207362,0.9449818196438542,3.5134037846086456e-09,0.0
N/A,linear,Principal Components (kDMD),1,5,0.0,0.0,0.0,1.0000867357691468,0.9449818196438542,-5.08798443587121e-10,0.0
N/A,linear,Principal Components (kDMD),2,1,0.0,8.956120661491507,0.0,0.5719648757099183,0.9469988347422296,0.946998837748689,0.0
N/A,linear,Principal Components (kDMD),2,2,0.0,0.0,0.0,1.000090031000209,0.9469988347422296,-3.006459370008275e-09,0.0
N/A,linear,Principal Components (kDMD),2,3,,,0.0,,0.9469988347422296,6.28019119218443e-10,2.30143310125407e-09
N/A,linear,Principal Components (kDMD),2,4,,,0.0,,0.9469988347422296,6.28019119218443e-10,-2.30143310125407e-09
N/A,linear,Principal Components (kDMD),3,1,0.0,8.954635192276497,0.0,0.5838235045338024,0.9439016226573902,0.9439016290061608,0.0
N/A,linear,Principal Components (kDMD),3,2,,,0.0,,0.9439016226573902,-6.3487705823446255e-09,0.0
N/A,linear,Principal Components (kDMD),3,3,0.0,0.0,0.0,1.0001165854842622,0.9439016226573902,-3.7957929881571426e-09,1.5083282351634095e-09
N/A,linear,Principal Components (kDMD),3,4,0.0,0.0,0.0,1.0001165854842622,0.9439016226573902,-3.7957929881571426e-09,-1.5083282351634095e-09
N/A,linear,Principal Components (kDMD),4,1,0.0,8.907578731680534,0.0,0.5357214711001107,0.949314238902996,0.9493142422287604,0.0
N/A,linear,Principal Components (kDMD),4,2,0.0,0.0,0.0,1.000601657380415,0.949314238902996,3.3257642826766497e-09,0.0
N/A,linear,Principal Components (kDMD),4,3,0.0,0.0,0.0,1.0013325668699269,0.949314238902996,-4.558150141796892e-12,2.7036797078212733e-09
N/A,linear,Principal Components (kDMD),4,4,0.0,0.0,0.0,1.0013325668699269,0.949314238902996,-4.558150141796892e-12,-2.7036797078212733e-09
N/A,linear,Principal Components (kDMD),5,1,0.0,8.892301445270444,0.0,0.5869388895010922,0.9456753278752545,0.9456753303403024,0.0
N/A,linear,Principal Components (kDMD),5,2,0.0,0.0,0.0,1.0004475632441026,0.9456753278752545,-2.182043977698057e-09,1.1467977254651647e-09
N/A,linear,Principal Components (kDMD),5,3,0.0,0.0,0.0,1.0004475632441026,0.9456753278752545,-2.182043977698057e-09,-1.1467977254651647e-09
N/A,linear,Principal Components (kDMD),6,1,0.0,8.976935517621213,0.0,0.5873992088808424,0.9454821610202713,0.9454821677635397,0.0
N/A,linear,Principal Components (kDMD),6,2,,,0.0,,0.9454821610202713,6.7432683824048434e-09,0.0
N/A,linear,Principal Components (kDMD),6,3,0.0,0.0,0.0,1.0002358144129286,0.9454821610202713,-5.124730874385243e-09,0.0
N/A,linear,Principal Components (kDMD),6,4,0.0,0.0,0.0,1.0000008677555408,0.9454821610202713,2.3895296766503416e-09,2.927892263563709e-09
N/A,linear,Principal Components (kDMD),7,1,0.0,8.945725714332744,0.0,0.5912517866178824,0.9460527528699133,0.9460527574732657,0.0
N/A,linear,Principal Components (kDMD),7,2,,,0.0,,0.9460527528699133,4.603352355849671e-09,0.0
N/A,linear,Principal Components (kDMD),7,3,0.0,0.0,0.0,1.0000005399170435,0.9460527528699133,-2.1962313039561906e-09,0.0
N/A,linear,Principal Components (kDMD),7,4,,,0.0,,0.9460527528699133,1.0233050847148026e-09,0.0
N/A,linear,Principal Components (kDMD),7,5,0.0,0.0,0.0,1.0001109491026123,0.9460527528699133,-8.422151229083239e-10,0.0
N/A,linear,Principal Components (kDMD),8,1,0.0,9.021536934607514,0.0,0.5885215385504051,0.9471135608898179,0.9471135649613358,0.0
N/A,linear,Principal Components (kDMD),8,2,0.0,0.0,0.0,1.0004477338361006,0.9471135608898179,4.071517870437449e-09,0.0
N/A,linear,Principal Components (kDMD),8,3,0.0,0.0,0.0,1.0011680632945847,0.9471135608898179,-1.2395043863548117e-09,4.659765057493637e-10
N/A,linear,Principal Components (kDMD),8,4,0.0,0.0,0.0,1.0011680632945847,0.9471135608898179,-1.2395043863548117e-09,-4.659765057493637e-10
N/A,linear,Principal Components (kDMD),9,1,0.0,8.75829358688009,0.0,0.5751531267794961,0.94797709167823,0.9479770956747817,0.0
N/A,linear,Principal Components (kDMD),9,2,,,0.0,,0.94797709167823,-3.996551776794595e-09,0.0
N/A,linear,Principal Components (kDMD),9,3,0.0,0.0,0.0,1.0000171978426953,0.94797709167823,3.001904162345425e-10,3.5138141970030775e-09
N/A,linear,Principal Components (kDMD),9,4,0.0,0.0,0.0,1.0000171978426953,0.94797709167823,3.001904162345425e-10,-3.5138141970030775e-09
N/A,linear,Reduced Rank,0,1,1.1007179965289468e-15,0.8929108719179789,1.23272997467776e-15,0.5572782717390202,0.940220923299144,0.9402209856875205,0.0
N/A,linear,Reduced Rank,0,2,0.0,0.0,1.23272997467776e-15,1.0001120613769474,0.940220923299144,6.238837653037072e-08,0.0
N/A,linear,Reduced Rank,0,3,0.0,0.0,1.23272997467776e-15,1.0003754078748603,0.940220923299144,-2.148894369110864e-08,0.0
N/A,linear,Reduced Rank,0,4,,,1.23272997467776e-15,,0.940220923299144,-1.1219549389325885e-41,0.0
N/A,linear,Reduced Rank,1,1,,,1.1865258946316883e-15,,0.9451452934739608,0.9451455291292653,0.0
N/A,linear,Reduced Rank,1,2,0.0,0.0,1.1865258946316883e-15,1.000743223006101,0.9451452934739608,2.356553045178634e-07,0.0
N/A,linear,Reduced Rank,1,3,0.0,0.0,1.1865258946316883e-15,1.0000017154078764,0.9451452934739608,9.322519646711383e-08,0.0
N/A,linear,Reduced Rank,1,4,,,1.1865258946316883e-15,,0.9451452934739608,1.369585359449395e-23,0.0
N/A,linear,Reduced Rank,2,1,1.2365733751902284e-15,0.9949211369718735,1.2428858220399698e-15,0.5719648946464184,0.9470007173022408,0.947000736681421,0.0
N/A,linear,Reduced Rank,2,2,0.0,0.0,1.2428858220399698e-15,1.00000631785365,0.9470007173022408,1.9379180206837712e-08,0.0
N/A,linear,Reduced Rank,2,3,7.469054281355421e-15,6.009445235360666,1.2428858220399698e-15,1.0000475146125614,0.9470007173022408,-2.476526038755624e-36,0.0
N/A,linear,Reduced Rank,3,1,8.494067693988222e-16,0.8134159427008297,1.0442465223615979e-15,0.5838235741366885,0.9439158425839743,0.9439158954762527,0.0
N/A,linear,Reduced Rank,3,2,0.0,0.0,1.0442465223615979e-15,1.00053027147663,0.9439158425839743,-5.2892278379729864e-08,0.0
N/A,linear,Reduced Rank,3,3,0.0,0.0,1.0442465223615979e-15,1.0021952799228793,0.9439158425839743,1.907117726136872e-08,0.0
N/A,linear,Reduced Rank,3,4,,,1.0442465223615979e-15,,0.9439158425839743,3.383414169196319e-40,0.0
N/A,linear,Reduced Rank,4,1,,,1.2266118436145789e-15,,0.949381652921873,0.9493817177754199,0.0
N/A,linear,Reduced Rank,4,2,0.0,0.0,1.2266118436145789e-15,1.000730201566015,0.949381652921873,-6.48535468112057e-08,0.0
N/A,linear,Reduced Rank,4,3,,,1.2266118436145789e-15,,0.949381652921873,1.787076685052463e-08,0.0
N/A,linear,Reduced Rank,4,4,,,1.2266118436145789e-15,,0.949381652921873,-1.2907447563986393e-23,0.0
N/A,linear,Reduced Rank,5,1,,,1.0396231903524056e-15,,0.9457123809429636,0.9457126645148548,0.0
N/A,linear,Reduced Rank,5,2,,,1.0396231903524056e-15,,0.9457123809429636,-2.8357189123033994e-07,0.0
N/A,linear,Reduced Rank,5,3,,,1.0396231903524056e-15,,0.9457123809429636,8.249082111460374e-08,0.0
N/A,linear,Reduced Rank,5,4,,,1.0396231903524056e-15,,0.9457123809429636,-3.645336829035008e-25,0.0
N/A,linear,Reduced Rank,6,1,1.0352319152750331e-15,0.8002786950099043,1.293589248008434e-15,0.5873990747756171,0.945490061146302,0.9454901562027808,0.0
N/A,linear,Reduced Rank,6,2,,,1.293589248008434e-15,,0.945490061146302,-9.505647874655782e-08,0.0
N/A,linear,Reduced Rank,6,3,0.0,0.0,1.293589248008434e-15,1.0000405757578374,0.945490061146302,1.3184875762295842e-08,0.0
N/A,linear,Reduced Rank,7,1,7.370818548834392e-16,0.5875056548742424,1.2545953366886553e-15,0.5912528587797641,0.946110461143864,0.9461104949884371,0.0
N/A,linear,Reduced Rank,7,2,0.0,0.0,1.2545953366886553e-15,1.000013282563423,0.946110461143864,-3.3844573099375536e-08,0.0
N/A,linear,Reduced Rank,7,3,0.0,0.0,1.2545953366886553e-15,1.000087918034766,0.946110461143864,1.1882181792452874e-08,0.0
N/A,linear,Reduced Rank,7,4,,,1.2545953366886553e-15,,0.946110461143864,-1.401123290030556e-24,0.0
N/A,linear,Reduced Rank,8,1,,,1.2229202296792775e-15,,0.9471951607362359,0.9471958008221015,0.0
N/A,linear,Reduced Rank,8,2,,,1.2229202296792775e-15,,0.9471951607362359,6.400858656209681e-07,0.0
N/A,linear,Reduced Rank,8,3,,,1.2229202296792775e-15,,0.9471951607362359,-4.844460730779038e-08,0.0
N/A,linear,Reduced Rank,8,4,,,1.2229202296792775e-15,,0.9471951607362359,1.6647737658344333e-40,0.0
N/A,linear,Reduced Rank,9,1,,,1.2655404470459168e-15,,0.9479825477229948,0.9479825625081412,0.0
N/A,linear,Reduced Rank,9,2,,,1.2655404470459168e-15,,0.9479825477229948,1.4785146293357308e-08,0.0
N/A,linear,Reduced Rank,9,3,9.418647803116747e-15,7.442391766381067,1.2655404470459168e-15,1.000146213863106,0.9479825477229948,-3.200585643248405e-36,0.0
