kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
N/A,Principal Components (kDMD),0,4,5,0.9402136199304527,5
N/A,Principal Components (kDMD),1,4,4,0.9449818196438542,5
N/A,Principal Components (kDMD),2,4,2,0.9469988347422296,5
N/A,Principal Components (kDMD),3,4,4,0.9439016226573902,5
N/A,Principal Components (kDMD),4,4,5,0.949314238902996,5
N/A,Principal Components (kDMD),5,4,5,0.9456753278752545,5
N/A,Principal Components (kDMD),6,4,4,0.9454821610202713,5
N/A,Principal Components (kDMD),7,4,3,0.9460527528699133,5
N/A,Principal Components (kDMD),8,4,5,0.9471135608898179,5
N/A,Principal Components (kDMD),9,4,3,0.94797709167823,5
N/A,Reduced Rank,0,3,3,0.940220923299144,4
N/A,Reduced Rank,1,4,2,0.9451452934739608,5
N/A,Reduced Rank,2,2,3,0.9470007173022408,3
N/A,Reduced Rank,3,3,3,0.9439158425839743,4
N/A,Reduced Rank,4,4,2,0.949381652921873,5
N/A,Reduced Rank,5,4,0,0.9457123809429636,5
N/A,Reduced Rank,6,2,2,0.945490061146302,3
N/A,Reduced Rank,7,3,3,0.946110461143864,4
N/A,Reduced Rank,8,3,0,0.9471951607362359,4
N/A,Reduced Rank,9,2,1,0.9479825477229948,3
