kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank
rbf(gamma=0.3767),1.507,Principal Components (kDMD),3.0,1.0,4.9248543082518504e-05,,16.082571098995647,3.0622307079739297e-06,0.3224301383425572,,3.0,4.4,0.04266109950393593,0.0038230389411578903,5.0
rbf(gamma=0.3767),1.507,Reduced Rank,3.0,1.0,0.004072201286452502,,30.255235592902423,0.00013459492899826566,0.31798088172666567,,3.0,4.0,0.039794940349456076,0.000615638196371572,5.0
rbf(gamma=0.3959),1.583,Principal Components (kDMD),3.0,1.0,4.1878951988657353e-05,,15.357069485893746,2.727014553598609e-06,0.33938126611072156,,3.0,4.4,0.04588468938772132,0.00396801995859047,5.0
rbf(gamma=0.3959),1.583,Reduced Rank,3.0,1.0,0.0031570601722386883,,45.260371034694,6.975329852728488e-05,0.3332439984967076,,3.0,4.0,0.04045574743094225,0.001756687015116524,5.0
rbf(gamma=0.3976),1.59,Principal Components (kDMD),3.0,1.0,4.66225064788591e-05,,15.78256278648021,2.95405170311106e-06,0.3169274126275238,,3.0,4.4,0.040930883345472145,0.003495017837001824,5.0
rbf(gamma=0.3976),1.59,Reduced Rank,3.0,1.0,0.006840767271124601,,37.98075165925881,0.00018011142413652006,0.311431080721598,,3.0,4.2,0.036934837487608375,0.0009021552983676031,5.0
rbf(gamma=0.3991),1.596,Principal Components (kDMD),3.0,1.0,4.512741028371033e-05,,14.397257559240472,3.1344448828552483e-06,0.3308773357194632,,3.0,4.4,0.04684209985718109,0.004147144508263025,5.0
rbf(gamma=0.3991),1.596,Reduced Rank,3.0,1.0,0.003918316195761826,,36.909810469075765,0.00010615920661648256,0.32383278767615215,,3.0,4.2,0.04193479696533835,0.001649940514268489,5.0
rbf(gamma=0.4082),1.633,Principal Components (kDMD),3.0,1.0,4.845144963563348e-05,,13.811878853568544,3.507955010995132e-06,0.3397387468453583,,3.0,4.4,0.05069996151890497,0.004303243944217356,5.0
rbf(gamma=0.4082),1.633,Reduced Rank,3.0,1.0,0.02450966346112835,,45.94665593431184,0.0005334373734656308,0.33513345018330676,,3.0,4.2,0.045453575456505524,0.0014581052358916278,5.0
rbf(gamma=0.4212),1.685,Principal Components (kDMD),3.0,1.0,6.640299279442316e-05,,15.222946647322914,4.362032813542094e-06,0.33704096015670293,,3.0,4.4,0.043875041650395886,0.004002981034362787,5.0
rbf(gamma=0.4212),1.685,Reduced Rank,3.0,1.0,0.03572385991823798,,38.315518843591434,0.0009323600722742939,0.3304362667333886,,3.0,4.0,0.03980830484061837,0.0009506507097505917,5.0
rbf(gamma=0.4214),1.686,Principal Components (kDMD),3.0,1.0,5.3362892351900395e-05,,13.427252239205707,3.97422282692271e-06,0.33815265359309055,,3.0,4.4,0.050048732535855865,0.004644464517689822,5.0
rbf(gamma=0.4214),1.686,Reduced Rank,3.0,1.0,0.08702155576166956,,35.88988133793325,0.002424682181094132,0.3325729029414818,,3.0,4.2,0.04526589503050711,0.0010037624423999162,5.0
rbf(gamma=0.4268),1.707,Principal Components (kDMD),3.0,1.0,6.670286111617823e-05,,14.623536346813266,4.561335885810821e-06,0.32009787040918347,,3.2,4.6,0.051259816559447266,0.004422242214764471,5.0
rbf(gamma=0.4268),1.707,Reduced Rank,3.0,1.0,0.016968847120144244,,34.2338440911939,0.0004956746041999181,0.31430565919486847,,3.0,4.2,0.04677249021989718,0.0009126120800644416,5.0
rbf(gamma=0.4374),1.75,Principal Components (kDMD),3.0,1.0,6.471577146819065e-05,,13.921782574314154,4.6485262302251415e-06,0.34173545941927774,,3.2,4.4,0.052773892869389646,0.004121827241355676,5.0
