kernel,kind,method,eigenfunction_id,n,bias_mean,bias_std,dist_mean,trunc_mean,spurious_mean,spurious_std
rbf(gamma=0.3767),1.507,Principal Components (kDMD),1,1,2.439561027793132e-05,,7.966614081168378,3.0622307079739297e-06,0.014080096774192086,
rbf(gamma=0.3767),1.507,Principal Components (kDMD),2,1,4.341466791447609e-05,,14.177464748631115,3.0622307079739297e-06,0.5458635720818623,
rbf(gamma=0.3767),1.507,Principal Components (kDMD),3,1,0.00012013168784605008,,39.23012316911062,3.0622307079739297e-06,0.7581550916545122,
rbf(gamma=0.3767),1.507,Principal Components (kDMD),4,1,0.00011400019469074564,,37.22782688903666,3.0622307079739297e-06,0.9076176284583306,
rbf(gamma=0.3767),1.507,Principal Components (kDMD),5,1,0.00023064058723406135,,75.31783501271875,3.0622307079739297e-06,0.9841697293128777,
rbf(gamma=0.3767),1.507,Reduced Rank,1,1,0.0011003524921853675,,8.175289369182298,0.00013459492899826566,0.004986113938581906,
rbf(gamma=0.3767),1.507,Reduced Rank,2,1,0.0034523005268656975,,25.64955866138302,0.00013459492899826566,0.5457331216536749,
rbf(gamma=0.3767),1.507,Reduced Rank,3,1,0.012431674411500542,,92.36361654948183,0.00013459492899826566,0.7588394413063612,
rbf(gamma=0.3767),1.507,Reduced Rank,4,1,0.02316314957608196,,172.0952620464656,0.00013459492899826566,0.8504768536574742,
rbf(gamma=0.3767),1.507,Reduced Rank,5,1,0.03238136965519182,,240.58387560506884,0.00013459492899826566,0.972990463103865,
rbf(gamma=0.3959),1.583,Principal Components (kDMD),1,1,2.171238014566303e-05,,7.961959761824906,2.727014553598609e-06,0.016742565375362627,
rbf(gamma=0.3959),1.583,Principal Components (kDMD),2,1,3.9737265502094284e-05,,14.571710095810232,2.727014553598609e-06,0.5622403394558607,
rbf(gamma=0.3959),1.583,Principal Components (kDMD),3,1,9.550791132598776e-05,,35.022882881191116,2.727014553598609e-06,0.8116894079314101,
rbf(gamma=0.3959),1.583,Principal Components (kDMD),4,1,0.0001027678469951886,,37.68511130957282,2.727014553598609e-06,0.9016161400987506,
rbf(gamma=0.3959),1.583,Principal Components (kDMD),5,1,0.00021276998124669845,,78.02304573913037,2.727014553598609e-06,0.9829153893854365,
rbf(gamma=0.3959),1.583,Reduced Rank,1,1,0.0005695783039410761,,8.165611031545389,6.975329852728488e-05,0.0075349443275060666,
rbf(gamma=0.3959),1.583,Reduced Rank,2,1,0.004757900855466995,,68.21040661762945,6.975329852728488e-05,0.5589806513443115,
rbf(gamma=0.3959),1.583,Reduced Rank,3,1,0.007224503818140259,,103.57221766816237,6.975329852728488e-05,0.8089116546483054,
rbf(gamma=0.3959),1.583,Reduced Rank,4,1,0.009174143106830271,,131.52271362825502,6.975329852728488e-05,0.8581369604217202,
rbf(gamma=0.3959),1.583,Reduced Rank,5,1,0.016363514032793635,,234.5912577366193,6.975329852728488e-05,0.9695882281932932,
rbf(gamma=0.3976),1.59,Principal Components (kDMD),1,1,2.352995270989642e-05,,7.9653151246864935,2.95405170311106e-06,0.015632246776624746,
rbf(gamma=0.3976),1.59,Principal Components (kDMD),2,1,4.687855280962744e-05,,15.869239106498132,2.95405170311106e-06,0.5196569530405208,
rbf(gamma=0.3976),1.59,Principal Components (kDMD),3,1,0.00010396982140511327,,35.195667460937614,2.95405170311106e-06,0.7660710166352755,
rbf(gamma=0.3976),1.59,Principal Components (kDMD),4,1,0.00011162007284470868,,37.78541612090133,2.95405170311106e-06,0.8927508299998888,
rbf(gamma=0.3976),1.59,Principal Components (kDMD),5,1,0.00022792356303583805,,77.15625383123806,2.95405170311106e-06,0.982802387450509,
rbf(gamma=0.3976),1.59,Reduced Rank,1,1,0.0014674869404033202,,8.14766163467233,0.00018011142413652004,0.006939028943735862,
rbf(gamma=0.3976),1.59,Reduced Rank,2,1,0.010823896819461908,,60.095559575708315,0.00018011142413652004,0.5163603387575064,
rbf(gamma=0.3976),1.59,Reduced Rank,3,1,0.014299273775421839,,79.39126484605075,0.00018011142413652004,0.7652673231123904,
rbf(gamma=0.3976),1.59,Reduced Rank,4,1,0.031152881491172343,,172.96449484269928,0.00018011142413652004,0.8353444557766656,
rbf(gamma=0.3976),1.59,Reduced Rank,5,1,0.02668931131446011,,148.18222354529976,0.00018011142413652004,0.9779678030506455,
rbf(gamma=0.3991),1.596,Principal Components (kDMD),1,1,2.4975347675835286e-05,,7.968028984157663,3.134444882855248e-06,0.017669081611654282,
rbf(gamma=0.3991),1.596,Principal Components (kDMD),2,1,3.648690095654969e-05,,11.64062611409291,3.134444882855248e-06,0.5339856751140875,
rbf(gamma=0.3991),1.596,Principal Components (kDMD),3,1,0.00010846833079413889,,34.60527616466883,3.134444882855248e-06,0.8092354618970492,
rbf(gamma=0.3991),1.596,Principal Components (kDMD),4,1,0.00011658360380306177,,37.1943384427493,3.134444882855248e-06,0.9136722512216544,
rbf(gamma=0.3991),1.596,Principal Components (kDMD),5,1,0.00023874059855389003,,76.16678789273045,3.134444882855248e-06,0.9811221549400241,
rbf(gamma=0.3991),1.596,Reduced Rank,1,1,0.0008673154104943627,,8.169950003749378,0.00010615920661648256,0.007701572955391934,
rbf(gamma=0.3991),1.596,Reduced Rank,2,1,0.005891361819546842,,55.495533617073335,0.00010615920661648256,0.530904890721115,
rbf(gamma=0.3991),1.596,Reduced Rank,3,1,0.008586249723252958,,80.8808769103954,0.00010615920661648256,0.8035526699106084,
rbf(gamma=0.3991),1.596,Reduced Rank,4,1,0.017407374352828457,,163.97423179428455,0.00010615920661648256,0.8779763849579679,
rbf(gamma=0.3991),1.596,Reduced Rank,5,1,0.02086014474602397,,196.49868731013262,0.00010615920661648256,0.9737516256802244,
rbf(gamma=0.4082),1.633,Principal Components (kDMD),1,1,2.795295823065791e-05,,7.968448324748683,3.5079550109951326e-06,0.015112138579967065,
rbf(gamma=0.4082),1.633,Principal Components (kDMD),2,1,4.27042027196918e-05,,12.173532039562138,3.5079550109951326e-06,0.5954128685650243,
rbf(gamma=0.4082),1.633,Principal Components (kDMD),3,1,0.00010831854852198493,,30.877975396627807,3.5079550109951326e-06,0.7677940849293375,
rbf(gamma=0.4082),1.633,Principal Components (kDMD),4,1,0.00015019698059893984,,42.81610799687312,3.5079550109951326e-06,0.8917107448692373,
rbf(gamma=0.4082),1.633,Principal Components (kDMD),5,1,0.0002582632153578793,,73.6221572250482,3.5079550109951326e-06,0.9834953643954141,
rbf(gamma=0.4082),1.633,Reduced Rank,1,1,0.004341585183136335,,8.1388845234633,0.0005334373734656308,0.007027048035544007,
rbf(gamma=0.4082),1.633,Reduced Rank,2,1,0.03830936964594149,,71.81605855070399,0.0005334373734656308,0.5948143455513678,
rbf(gamma=0.4082),1.633,Reduced Rank,3,1,0.05423029987888867,,101.661980536845,0.0005334373734656308,0.7658781125006221,
rbf(gamma=0.4082),1.633,Reduced Rank,4,1,0.06988175496141004,,131.00273516158592,0.0005334373734656308,0.8648500437063414,
rbf(gamma=0.4082),1.633,Reduced Rank,5,1,0.09156979140030717,,171.6598722834087,0.0005334373734656308,0.9774691984155595,
rbf(gamma=0.4212),1.685,Principal Components (kDMD),1,1,3.4797693666952884e-05,,7.977403003233296,4.362032813542094e-06,0.01631131268523638,
rbf(gamma=0.4212),1.685,Principal Components (kDMD),2,1,6.534557709409439e-05,,14.980533133823892,4.362032813542094e-06,0.5684133177423545,
rbf(gamma=0.4212),1.685,Principal Components (kDMD),3,1,0.000147002364163592,,33.700426027795494,4.362032813542094e-06,0.7918065424568917,
rbf(gamma=0.4212),1.685,Principal Components (kDMD),4,1,0.0001551666324581734,,35.572091978871136,4.362032813542094e-06,0.8815493273475875,
rbf(gamma=0.4212),1.685,Principal Components (kDMD),5,1,0.00031648562095982363,,72.55461719070114,4.362032813542094e-06,0.9701276481231504,
rbf(gamma=0.4212),1.685,Reduced Rank,1,1,0.007638379900129755,,8.192521459544652,0.0009323600722742939,0.005978663505576051,
rbf(gamma=0.4212),1.685,Reduced Rank,2,1,0.052076936531780804,,55.85496213362098,0.0009323600722742939,0.564383372679548,
rbf(gamma=0.4212),1.685,Reduced Rank,3,1,0.0814079450431943,,87.31384736866407,0.0009323600722742939,0.7906596158836808,
rbf(gamma=0.4212),1.685,Reduced Rank,4,1,0.12858741732736642,,137.91604890769807,0.0009323600722742939,0.8428334510939529,
rbf(gamma=0.4212),1.685,Reduced Rank,5,1,0.2256977714100945,,242.07146801080063,0.0009323600722742939,0.9665481654134521,
rbf(gamma=0.4214),1.686,Principal Components (kDMD),1,1,3.1697110420900645e-05,,7.975675195203917,3.97422282692271e-06,0.017167687170607043,
rbf(gamma=0.4214),1.686,Principal Components (kDMD),2,1,4.511639840863118e-05,,11.35225687472722,3.97422282692271e-06,0.5861660074177013,
rbf(gamma=0.4214),1.686,Principal Components (kDMD),3,1,0.00011989708809430359,,30.168687895927917,3.97422282692271e-06,0.7685950389123831,
rbf(gamma=0.4214),1.686,Principal Components (kDMD),4,1,0.00014106627260232707,,35.49531034009898,3.97422282692271e-06,0.9196005188678288,
rbf(gamma=0.4214),1.686,Principal Components (kDMD),5,1,0.0002912884475878359,,73.29444278125294,3.97422282692271e-06,0.982836517403319,
rbf(gamma=0.4214),1.686,Reduced Rank,1,1,0.01985871119605421,,8.190232662613544,0.002424682181094132,0.006762462094817326,
rbf(gamma=0.4214),1.686,Reduced Rank,2,1,0.1473546102203555,,60.77275255673389,0.002424682181094132,0.5869146537137135,
rbf(gamma=0.4214),1.686,Reduced Rank,3,1,0.1644290854876791,,67.81469619803156,0.002424682181094132,0.7655863788997951,
