kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
1.707,Principal Components (kDMD),0,3,4,0.04843713832300278,5
1.707,Principal Components (kDMD),0,3,4,0.04835469395516134,5
1.707,Principal Components (kDMD),0,3,5,0.04889423823819139,5
1.707,Principal Components (kDMD),0,3,5,0.05188084553787653,5
1.707,Principal Components (kDMD),0,4,5,0.0587321667430043,5
1.686,Principal Components (kDMD),1,3,4,0.047028663462044484,5
1.686,Principal Components (kDMD),1,3,4,0.047010690381585896,5
1.686,Principal Components (kDMD),1,3,4,0.047581659263384535,5
1.686,Principal Components (kDMD),1,3,5,0.05074006104855755,5
1.686,Principal Components (kDMD),1,3,5,0.05788258852370687,5
1.596,Principal Components (kDMD),2,3,4,0.04430222581441645,5
1.596,Principal Components (kDMD),2,3,4,0.04426557531187425,5
1.596,Principal Components (kDMD),2,3,4,0.0446076850464161,5
1.596,Principal Components (kDMD),2,3,5,0.04707541758003553,5
1.596,Principal Components (kDMD),2,3,5,0.053959595533163096,5
1.75,Principal Components (kDMD),3,3,4,0.05015597488838264,5
1.75,Principal Components (kDMD),3,3,4,0.0501440866374101,5
1.75,Principal Components (kDMD),3,3,4,0.05051410795994982,5
1.75,Principal Components (kDMD),3,3,5,0.0532949636068506,5
1.75,Principal Components (kDMD),3,4,5,0.05976033125435509,5
1.59,Principal Components (kDMD),4,3,4,0.03889993751506893,5
1.59,Principal Components (kDMD),4,3,4,0.03870890904891644,5
1.59,Principal Components (kDMD),4,3,4,0.03896711428794042,5
1.59,Principal Components (kDMD),4,3,5,0.0411566347593747,5
1.59,Principal Components (kDMD),4,3,5,0.04692182111606025,5
1.583,Principal Components (kDMD),5,3,4,0.043462497160348,5
1.583,Principal Components (kDMD),5,3,4,0.04332731291072456,5
1.583,Principal Components (kDMD),5,3,4,0.043700487739884664,5
1.583,Principal Components (kDMD),5,3,5,0.0462930118759568,5
1.583,Principal Components (kDMD),5,3,5,0.05264013725169259,5
1.934,Principal Components (kDMD),6,3,4,0.048349465361269384,5
1.934,Principal Components (kDMD),6,3,4,0.04837050904165874,5
1.934,Principal Components (kDMD),6,3,5,0.048926836900541115,5
1.934,Principal Components (kDMD),6,3,5,0.05296464682285995,5
1.934,Principal Components (kDMD),6,4,5,0.06097066192424083,5
1.633,Principal Components (kDMD),7,3,4,0.04785089089764405,5
1.633,Principal Components (kDMD),7,3,4,0.04785488803191029,5
1.633,Principal Components (kDMD),7,3,4,0.04843865339853848,5
1.633,Principal Components (kDMD),7,3,5,0.05142946791110192,5
1.633,Principal Components (kDMD),7,3,5,0.0579259073553301,5
1.685,Principal Components (kDMD),8,3,4,0.04140335143602014,5
1.685,Principal Components (kDMD),8,3,4,0.04130774761844824,5
1.685,Principal Components (kDMD),8,3,4,0.04169807659106972,5
1.685,Principal Components (kDMD),8,3,5,0.044272016581702545,5
1.685,Principal Components (kDMD),8,3,5,0.050694016024738775,5
1.507,Principal Components (kDMD),9,3,4,0.04049860121091786,5
1.507,Principal Components (kDMD),9,3,4,0.040494862479165894,5
1.507,Principal Components (kDMD),9,3,4,0.04062364369227678,5
1.507,Principal Components (kDMD),9,3,5,0.04233149636717248,5
1.507,Principal Components (kDMD),9,3,5,0.049356893770146626,5
1.707,Reduced Rank,0,3,4,0.0478823720608359,5
1.707,Reduced Rank,0,3,4,0.04753035509376147,5
1.707,Reduced Rank,0,3,4,0.04663936452041506,5
1.707,Reduced Rank,0,3,4,0.04586600777345218,5
1.707,Reduced Rank,0,3,5,0.04594435165102129,5
1.686,Reduced Rank,1,3,4,0.04654072689591471,5
1.686,Reduced Rank,1,3,4,0.04604994165641785,5
1.686,Reduced Rank,1,3,4,0.04507373138663995,5
1.686,Reduced Rank,1,3,4,0.04425840347308352,5
1.686,Reduced Rank,1,3,5,0.04440667174047952,5
1.596,Reduced Rank,2,3,4,0.043955949646520165,5
1.596,Reduced Rank,2,3,4,0.043319143160395535,5
1.596,Reduced Rank,2,3,4,0.041593037843067004,5
1.596,Reduced Rank,2,3,4,0.040205832800761065,5
1.596,Reduced Rank,2,3,5,0.04060002137594798,5
1.75,Reduced Rank,3,3,4,0.05007806823321259,5
1.75,Reduced Rank,3,3,4,0.04985199928947481,5
1.75,Reduced Rank,3,3,4,0.04894817972152987,5
1.75,Reduced Rank,3,3,4,0.04856763159879873,5
1.75,Reduced Rank,3,3,5,0.04895477289216621,5
1.59,Reduced Rank,4,3,4,0.03805249303212754,5
1.59,Reduced Rank,4,3,4,0.03766065786368289,5
1.59,Reduced Rank,4,3,4,0.03679960010772132,5
1.59,Reduced Rank,4,3,4,0.036114177073146236,5
1.59,Reduced Rank,4,3,5,0.03604725936136388,5
1.583,Reduced Rank,5,3,4,0.04266947522820286,5
1.583,Reduced Rank,5,3,4,0.04182291262804916,5
1.583,Reduced Rank,5,3,4,0.040188044006020274,5
1.583,Reduced Rank,5,3,4,0.038882182624284445,5
1.583,Reduced Rank,5,3,4,0.038716122668154496,5
1.934,Reduced Rank,6,3,4,0.04813966388419477,5
1.934,Reduced Rank,6,3,4,0.04789912887231218,5
1.934,Reduced Rank,6,3,4,0.04729821149479341,5
1.934,Reduced Rank,6,3,4,0.04715834471612934,5
1.934,Reduced Rank,6,3,5,0.04754230567160156,5
1.633,Reduced Rank,7,3,4,0.04738866355137161,5
1.633,Reduced Rank,7,3,4,0.046559052478012286,5
1.633,Reduced Rank,7,3,4,0.044922811347100744,5
1.633,Reduced Rank,7,3,4,0.04396804857915548,5
1.633,Reduced Rank,7,3,5,0.044429301326887494,5
1.685,Reduced Rank,8,3,4,0.04096345758991993,5
1.685,Reduced Rank,8,3,4,0.0406341869333775,5
1.685,Reduced Rank,8,3,4,0.03958785508395213,5
1.685,Reduced Rank,8,3,4,0.038933487960765456,5
1.685,Reduced Rank,8,3,4,0.03892253663507683,5
1.507,Reduced Rank,9,3,4,0.040480613987355474,5
1.507,Reduced Rank,9,3,4,0.040349402315306704,5
1.507,Reduced Rank,9,3,4,0.03974315461367062,5
1.507,Reduced Rank,9,3,4,0.039078913703822105,5
1.507,Reduced Rank,9,3,4,0.03932261712712548,5
