kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank
hermite(bad),A=rev,Principal Components (kDMD),3.0,1.0,2.637919746317937,1.1267974461346784,7.371947899342081,0.3681254913762432,0.4685029927040617,0.12858547561845807,0.8,4.9,0.02332272410270414,0.006415334902694755,5.0
hermite(bad),A=rev,Reduced Rank,3.0,1.0,2.1561435105368947,3.5168300705314843,3.2823610219410684,0.595743000777393,0.38726913334555135,0.1181468951274832,0.4,2.8,0.019616100711547402,0.007840047720381191,5.0
hermite(bad),A=rot,Principal Components (kDMD),3.0,1.0,1.9426279507223698,0.9437378157307005,7.8004454252299515,0.2528916522399581,0.4009528311807352,0.09118146035543875,0.4,5.0,0.027477476112463095,0.007417111124299444,5.0
hermite(bad),A=rot,Reduced Rank,3.0,1.0,0.6538385155814445,0.49311133180363964,1.1492525713281645,0.5699398677295675,0.4080185468964729,0.0775877032366938,0.3,2.4,0.027108010318937482,0.007288520537276222,5.0
hermite(good),A=rev,Principal Components (kDMD),3.0,1.0,0.00013767730443925934,0.00012970071578151417,12.771818022966501,1.2079611799900956e-05,0.2550879785406104,0.029863816354619308,0.6,4.0,0.020298590212611056,0.0049100956362954805,5.0
hermite(good),A=rev,Reduced Rank,3.0,1.0,1.2230818266532408,0.8285055422439263,589.1749997977668,0.0029622513978941846,0.4446756530528943,0.15577113025285125,0.6,4.3,0.0383018747708627,0.030010613117422855,5.0
hermite(good),A=rot,Principal Components (kDMD),3.0,1.0,6.232415055296604e-05,6.374170044828532e-05,13.821258933151329,4.9480976824956015e-06,0.2652497892952882,0.01846551977258288,0.8,4.0,0.0238898722958097,0.003488988146112045,5.0
hermite(good),A=rot,Reduced Rank,3.0,1.0,1.042239604699718,0.7094931693173442,765.3493158738393,0.0017330014144873022,0.4264274116513582,0.21781686374811296,0.9,4.4,0.06657843130815372,0.14956163882929424,5.0
hermite(ugly),A=rev,Principal Components (kDMD),3.0,1.0,0.0,0.0,2.353577712718333,0.0,0.9166253212987404,0.08622649301072849,3.2,2.0,0.6587082571142214,0.30324163665527554,3.3
hermite(ugly),A=rev,Reduced Rank,3.0,1.0,0.0,0.0,0.0,1.2287311524909198e-15,1.2570504787696957,0.1345638718597101,4.2,2.7,2.8987729436511804,0.8290600017216316,4.2
hermite(ugly),A=rot,Principal Components (kDMD),3.0,1.0,0.0,,2.851854622031789,0.0,0.8833573076967627,,2.3,1.6,0.6753564617749132,0.10296125085499022,2.3
hermite(ugly),A=rot,Reduced Rank,3.0,1.0,0.0,0.0,0.0,8.904242949196074e-16,1.31448695064667,0.14059509667877748,4.7,1.5,2.9454176741001166,1.038444817024952,4.7
