kernel,kind,method,eigenfunction_id,n,bias_mean,bias_std,dist_mean,trunc_mean,spurious_mean,spurious_std
linear,A=rev,Principal Components (kDMD),1,10,0.0,0.0,6.724928665776197,0.0,0.48456593021806055,0.059833370511800155
linear,A=rev,Principal Components (kDMD),2,10,0.0,0.0,8.074054237372119,0.0,0.5300796869311905,0.031017264152907422
linear,A=rev,Principal Components (kDMD),3,10,0.0,0.0,0.0,0.0,1.0006058061730072,0.0006293308130893892
linear,A=rev,Principal Components (kDMD),4,10,0.0,0.0,0.0,0.0,1.0003944346313358,0.0006730407481021479
linear,A=rev,Principal Components (kDMD),5,10,0.0,0.0,0.0,0.0,1.0005770640597869,0.0008766460537718726
linear,A=rev,Reduced Rank,1,10,6.080909661802391e-16,4.0038545683623534e-16,0.29258624215736556,2.000827282388903e-15,0.514243280503777,0.04734270268161732
linear,A=rev,Reduced Rank,2,10,1.6327152811924484e-15,8.929712227903795e-16,0.8542277069727,2.000827282388903e-15,0.5416176665160863,0.03244192886748521
linear,A=rev,Reduced Rank,3,10,0.0,0.0,0.0,2.000827282388903e-15,1.0005044870521673,0.0006588492986226277
linear,A=rev,Reduced Rank,4,10,0.0,0.0,0.0,2.000827282388903e-15,1.0002266085713565,0.0002686207094384781
linear,A=rev,Reduced Rank,5,8,3.753632663563784e-14,2.0681866136668547e-14,21.10525101292365,2.0579293377787507e-15,1.0015143667591717,0.0013010796015648755
linear,A=rot,Principal Components (kDMD),1,10,0.0,0.0,7.166021726277947,0.0,0.47888417305930187,0.029649769886018765
linear,A=rot,Principal Components (kDMD),2,10,0.0,0.0,7.166021726277947,0.0,0.47888417305930187,0.029649769886018765
linear,A=rot,Principal Components (kDMD),3,10,0.0,0.0,0.0,0.0,1.0008043148561638,0.0008151998849392885
linear,A=rot,Principal Components (kDMD),4,10,0.0,0.0,0.0,0.0,1.0004106008725393,0.00037400266944506624
linear,A=rot,Principal Components (kDMD),5,10,0.0,0.0,0.0,0.0,1.0002415041323192,0.00026488610297130166
linear,A=rot,Reduced Rank,1,10,5.641677249860633e-16,1.8059709658864857e-16,0.3209777693314425,1.8876267936620296e-15,0.46414766196186696,0.003081693984905639
linear,A=rot,Reduced Rank,2,10,5.641677249860633e-16,1.8059709658864857e-16,0.3209777693314425,1.8876267936620296e-15,0.46414766196186696,0.003081693984905639
linear,A=rot,Reduced Rank,3,10,0.0,0.0,0.0,1.8876267936620296e-15,1.0008436973619026,0.001000047057276189
linear,A=rot,Reduced Rank,4,10,0.0,0.0,0.0,1.8876267936620296e-15,1.0004464327101106,0.0006909001205552687
linear,A=rot,Reduced Rank,5,8,,,,1.878533369626189e-15,,
