kind,kernel,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
A=rev,linear,Principal Components (kDMD),0,3,5,0.011599671515481469,5
A=rev,linear,Principal Components (kDMD),1,3,4,0.03078570395603175,5
A=rev,linear,Principal Components (kDMD),2,3,5,0.025199083491267205,5
A=rev,linear,Principal Components (kDMD),3,3,5,0.02793364203511195,5
A=rev,linear,Principal Components (kDMD),4,3,5,0.022990204993707852,5
A=rev,linear,Principal Components (kDMD),5,3,5,0.011429469656220381,5
A=rev,linear,Principal Components (kDMD),6,3,5,0.012146379440576172,5
A=rev,linear,Principal Components (kDMD),7,3,4,0.01977717655208755,5
A=rev,linear,Principal Components (kDMD),8,3,5,0.019313785752133827,5
A=rev,linear,Principal Components (kDMD),9,3,5,0.023584819271115554,5
A=rev,linear,Reduced Rank,0,3,1,0.011639040781855958,5
A=rev,linear,Reduced Rank,1,3,4,0.030796620017295884,5
A=rev,linear,Reduced Rank,2,2,3,0.02533336449013368,4
A=rev,linear,Reduced Rank,3,3,1,0.029628144416212088,5
A=rev,linear,Reduced Rank,4,3,1,0.022983684307074315,5
A=rev,linear,Reduced Rank,5,3,5,0.011972876324899184,5
A=rev,linear,Reduced Rank,6,2,0,0.012225219453511404,4
A=rev,linear,Reduced Rank,7,3,2,0.02000195695857132,5
A=rev,linear,Reduced Rank,8,3,5,0.0195152624421302,5
A=rev,linear,Reduced Rank,9,3,5,0.023591371624830604,5
A=rot,linear,Principal Components (kDMD),0,3,5,0.0,5
A=rot,linear,Principal Components (kDMD),1,3,4,0.0,5
A=rot,linear,Principal Components (kDMD),2,3,5,0.0,5
A=rot,linear,Principal Components (kDMD),3,3,5,0.0,5
A=rot,linear,Principal Components (kDMD),4,3,5,0.0,5
A=rot,linear,Principal Components (kDMD),5,3,5,0.0,5
A=rot,linear,Principal Components (kDMD),6,3,5,0.0,5
A=rot,linear,Principal Components (kDMD),7,3,4,0.0,5
A=rot,linear,Principal Components (kDMD),8,3,4,0.0,5
A=rot,linear,Principal Components (kDMD),9,3,4,0.0,5
A=rot,linear,Reduced Rank,0,3,4,0.0,5
A=rot,linear,Reduced Rank,1,3,0,0.0,5
A=rot,linear,Reduced Rank,2,3,1,0.0,5
A=rot,linear,Reduced Rank,3,3,1,0.0,5
A=rot,linear,Reduced Rank,4,3,0,0.0,5
A=rot,linear,Reduced Rank,5,2,3,0.0,4
A=rot,linear,Reduced Rank,6,3,2,0.0,5
A=rot,linear,Reduced Rank,7,3,0,0.0,5
A=rot,linear,Reduced Rank,8,2,0,0.0,4
A=rot,linear,Reduced Rank,9,3,0,0.0,5
