kernel,kind,method,bias_gap_corr
rbf(gamma=0.04995427791388666),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.04995427791388666),A=rot,Reduced Rank,
rbf(gamma=0.05146572514661616),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.05146572514661616),A=rev,Reduced Rank,
rbf(gamma=0.05189909675010617),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.05189909675010617),A=rot,Reduced Rank,
rbf(gamma=0.052010995812118065),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.052010995812118065),A=rot,Reduced Rank,
rbf(gamma=0.05383991195644794),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.05383991195644794),A=rev,Reduced Rank,
rbf(gamma=0.057170569864738015),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.057170569864738015),A=rot,Reduced Rank,
rbf(gamma=0.05807221150778831),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.05807221150778831),A=rot,Reduced Rank,
rbf(gamma=0.05947300227420471),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.05947300227420471),A=rev,Reduced Rank,
rbf(gamma=0.06039094161727605),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.06039094161727605),A=rot,Reduced Rank,
rbf(gamma=0.06040786973321314),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.06040786973321314),A=rot,Reduced Rank,
rbf(gamma=0.06111381981702322),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.06111381981702322),A=rot,Reduced Rank,
rbf(gamma=0.0613059543409328),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.0613059543409328),A=rev,Reduced Rank,
rbf(gamma=0.0629504849572889),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.0629504849572889),A=rev,Reduced Rank,
rbf(gamma=0.06435796207307426),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.06435796207307426),A=rev,Reduced Rank,
rbf(gamma=0.06490512002023081),A=rev,Principal Components (kDMD) ,
rbf(gamma=0.06490512002023081),A=rev,Reduced Rank,
rbf(gamma=0.06508678073261272),A=rot,Principal Components (kDMD) ,
rbf(gamma=0.06508678073261272),A=rot,Reduced Rank,
rbf(gamma=0.06797624933021323),A=rot,Principal Components (kDMD) ,
