kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,std_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
rbf(gamma=0.06797624933021323),A=rot,Principal Components (kDMD) ,3.0,1.0,23.27344306364464,,10.819088819355535,2.151146316685011,0.32462630826869515,,0.0,5.0,0.03149809151043448,,5.0,-0.5326017315482006,-0.9317651483569871,-0.7293248313778269,-0.9139665634068139,0.0,0.0,0.0,0.0,-0.5648710049816195,0.0,-2.9331104954772313,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,1
rbf(gamma=0.06039094161727605),A=rot,Principal Components (kDMD) ,3.0,1.0,40.50330619754544,,10.39512118187377,3.896376529806315,0.2946516866155247,,0.0,5.0,0.027563733657324785,,5.0,-0.5321100496512842,-0.9368118247907106,-0.9742688978027638,-0.9044535560153607,0.0,0.0,0.0,0.0,0.022430846157953363,0.0,-2.884202127173462,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,2
rbf(gamma=0.06508678073261272),A=rot,Principal Components (kDMD) ,3.0,1.0,25.605570082894843,,10.563323407945594,2.4240070188170764,0.3141843796609196,,0.0,5.0,0.028588713260593535,,5.0,-0.5325351805473154,-0.9348096384553138,-0.8146532963740445,-0.91247923763357,0.0,0.0,0.0,0.0,-0.13057313590337494,0.0,-2.803524302145146,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,3
rbf(gamma=0.05807221150778831),A=rot,Principal Components (kDMD) ,3.0,1.0,29.91255990519825,,10.384418278857906,2.8805234055429514,0.2998163094488714,,0.0,5.0,0.02634305056933084,,5.0,-0.532412273655405,-0.9369392262328193,-0.9320650717465571,-0.9099908302426185,0.0,0.0,0.0,0.0,0.20464849488224857,0.0,-2.7540877393149663,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,4
rbf(gamma=0.06040786973321314),A=rot,Principal Components (kDMD) ,3.0,1.0,61.160235439447966,,10.536430902735617,5.804644476296872,0.31523004904742397,,0.0,5.0,0.027921775857921327,,5.0,-0.5315205709029508,-0.9351297519741029,-0.8061083841269419,-0.8940518525934543,0.0,0.0,0.0,0.0,-0.031015956356523638,0.0,-2.7352926114789846,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,5
rbf(gamma=0.08038944954728941),A=rev,Principal Components (kDMD) ,3.0,1.0,41.75961486317493,,10.729460411032427,3.892051721467386,0.32410124784498034,,0.0,5.0,0.02850469544221501,,5.0,-0.5320741988599559,-0.932832035392901,-0.733615475536463,-0.9044771299446827,0.0,0.0,0.0,0.0,-0.11803136362320113,0.0,-2.709775956573262,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,6
rbf(gamma=0.1207818832345521),A=rot,Principal Components (kDMD) ,3.0,1.0,233.95130316942266,,9.798541795785265,23.876134637712546,0.3164062756421132,,0.0,5.0,0.02785878163612865,,5.0,-0.5265896994681966,-0.9439131760789858,-0.7964965955788162,-0.795546670762653,0.0,0.0,0.0,0.0,-0.021612484569966443,0.0,-2.675579048792309,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,7
rbf(gamma=0.13595249866042647),A=rot,Principal Components (kDMD) ,3.0,1.0,301.374781713051,,9.983742554409014,30.18655379689835,0.3508539215217976,,0.0,5.0,0.03159299009269656,,5.0,-0.5246656619079791,-0.9417086486070172,-0.5150002498311576,-0.7611494527606,0.0,0.0,0.0,0.0,-0.5790370049017817,0.0,-2.651467789177345,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,8
rbf(gamma=0.07227671456991984),A=rev,Principal Components (kDMD) ,3.0,1.0,51.113400199038736,,11.139164903412253,4.5886204793845184,0.28341785737362407,,0.0,5.0,0.02329905880423566,,5.0,-0.5318072735291192,-0.9279551395553671,-1.0660685491169102,-0.900680230433718,0.0,0.0,0.0,0.0,0.6590408163842169,0.0,-2.6466506692261467,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,9
rbf(gamma=0.057170569864738015),A=rot,Principal Components (kDMD) ,3.0,1.0,117.61689489088647,,11.574909536811411,10.161366230710678,0.3015004272020366,,0.0,5.0,0.025418159232808435,,5.0,-0.5299094891899437,-0.9227682762712761,-0.9183029413826834,-0.8703039676779627,0.0,0.0,0.0,0.0,0.3427117861035153,0.0,-2.634776797631127,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,10
rbf(gamma=0.06490512002023081),A=rev,Principal Components (kDMD) ,3.0,1.0,44.45338165305644,,10.958785419537156,4.056415008711242,0.29663684899960435,,0.0,5.0,0.0244942831412287,,5.0,-0.5319973278857173,-0.9301022772374004,-0.9580467165023083,-0.9035812085042454,0.0,0.0,0.0,0.0,0.4806235264856232,0.0,-2.631625162634737,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,11
rbf(gamma=0.12081573946642628),A=rot,Principal Components (kDMD) ,3.0,1.0,232.79105816067536,,9.803809398167314,23.744959607659492,0.3418856213082144,,0.0,5.0,0.028832770474844338,,5.0,-0.5266228089283447,-0.9438504734515833,-0.5882866435228807,-0.7962616876246617,0.0,0.0,0.0,0.0,-0.16700481270170503,0.0,-2.5403931760659924,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,12
rbf(gamma=0.13017356146522543),A=rot,Principal Components (kDMD) ,3.0,1.0,178.5717700234834,,9.784260518088622,18.250921435845797,0.34533199798007597,,0.0,5.0,0.028667982052028806,,5.0,-0.5281700436471334,-0.944083172515561,-0.5601238354579283,-0.8262089263009367,0.0,0.0,0.0,0.0,-0.14240599648333852,0.0,-2.5166845130127604,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,13
rbf(gamma=0.06111381981702322),A=rot,Principal Components (kDMD) ,3.0,1.0,30.057774457402097,,10.479492232824443,2.8682472193885014,0.33858683178159915,,0.0,5.0,0.02715905394036977,,5.0,-0.5324081297242587,-0.935807518431267,-0.6152434114940846,-0.9100577460275666,0.0,0.0,0.0,0.0,0.08283947083312518,0.0,-2.497068197246831,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,14
rbf(gamma=0.11614442301557662),A=rot,Principal Components (kDMD) ,3.0,1.0,419.63348264589956,,9.853757483914517,42.58613867155936,0.32699180210161294,,0.0,5.0,0.027269631406817263,,5.0,-0.5212909593958551,-0.9432559190446781,-0.7099946898587025,-0.6935610385349269,0.0,0.0,0.0,0.0,0.0663330031543892,0.0,-2.488155585989505,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,15
rbf(gamma=0.05189909675010617),A=rot,Principal Components (kDMD) ,3.0,1.0,27.993284588212862,,10.481734753466364,2.6706728653818814,0.31032389900162544,,0.0,5.0,0.023908752185053395,,5.0,-0.5324670432679798,-0.9357808247049653,-0.8462000442190609,-0.91113469637824,0.0,0.0,0.0,0.0,0.5680287466766331,0.0,-2.486000887042809,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,16
rbf(gamma=0.052010995812118065),A=rot,Principal Components (kDMD) ,3.0,1.0,42.06549519410037,,10.715633352597738,3.925619122074817,0.31133895814885904,,0.0,5.0,0.023853672756557254,,5.0,-0.532065470072027,-0.9329966250544247,-0.8379052701244252,-0.9042941587081723,0.0,0.0,0.0,0.0,0.576250736521793,0.0,-2.4669890763440665,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,17
rbf(gamma=0.11434113972947603),A=rot,Principal Components (kDMD) ,3.0,1.0,502.45729766175054,,10.4202076495522,48.219509107704134,0.33303801974884767,,0.0,5.0,0.02721334884647375,,5.0,-0.5189274484288575,-0.9365132093445175,-0.6605867222072661,-0.6628543190460436,0.0,0.0,0.0,0.0,0.07473459068423048,0.0,-2.410087244161548,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,18
rbf(gamma=0.16077889909457882),A=rev,Principal Components (kDMD) ,3.0,1.0,261.6948326717978,,9.975149013523392,26.234679032565424,0.3511092267654492,,0.0,5.0,0.028122965822726886,,5.0,-0.5257979931669409,-0.9418109413681518,-0.5129139681331528,-0.7826905729867737,0.0,0.0,0.0,0.0,-0.061048618145948336,0.0,-2.4023924982346063,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,19
rbf(gamma=0.14455342913983968),A=rev,Principal Components (kDMD) ,3.0,1.0,233.41335614429372,,10.01462544014087,23.307247738764197,0.31071577217948415,,0.0,5.0,0.02340536839973928,,5.0,-0.5266050506530376,-0.9413410358039408,-0.8429977682798274,-0.7986475942018121,0.0,0.0,0.0,0.0,0.6431714357726324,0.0,-2.3886819339513954,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,20
rbf(gamma=0.12981024004046163),A=rev,Principal Components (kDMD) ,3.0,1.0,259.10633807976444,,10.275258415718207,25.216527662545772,0.3253912422120274,,0.0,5.0,0.025052859043298348,,5.0,-0.5258718600294503,-0.9382386049120217,-0.723074009172488,-0.7882403746323071,0.0,0.0,0.0,0.0,0.39724202598785596,0.0,-2.3826836484361857,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,21
rbf(gamma=0.04995427791388666),A=rot,Principal Components (kDMD) ,3.0,1.0,36.01049464441077,,10.82301703812668,3.327214076957945,0.312363454778475,,0.0,5.0,0.022451235763949806,,5.0,-0.5322382592655895,-0.9317183890118244,-0.829533375613115,-0.9075559814605406,0.0,0.0,0.0,0.0,0.7855997262721682,0.0,-2.354468151484715,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,22
rbf(gamma=0.27190499732085294),A=rot,Principal Components (kDMD) ,3.0,1.0,806.6101201698581,,9.655291923775792,83.54072839409558,0.38199121822793236,,0.0,5.0,0.03308791130722932,,5.0,-0.510247957735225,-0.9456183433825521,-0.2605551341953532,-0.47032326061012775,0.0,0.0,0.0,0.0,-0.8021915905755195,0.0,-2.352678860905954,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,23
