kind,kernel,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
A=rev,rbf(gamma=0.08038944954728941),Principal Components (kDMD) ,0,0,5,0.02850469544221501,5
A=rev,rbf(gamma=0.16077889909457882),Principal Components (kDMD) ,0,0,5,0.028122965822726886,5
A=rev,rbf(gamma=0.32155779818915764),Principal Components (kDMD) ,0,0,5,0.02874798823248581,5
A=rev,rbf(gamma=0.6431155963783153),Principal Components (kDMD) ,0,0,5,0.031132418137698625,5
A=rev,rbf(gamma=1.2862311927566306),Principal Components (kDMD) ,0,0,5,0.03576698230404152,5
A=rev,rbf(gamma=0.0629504849572889),Principal Components (kDMD) ,1,0,5,0.017473563982864815,5
A=rev,rbf(gamma=0.1259009699145778),Principal Components (kDMD) ,1,0,5,0.017889291367729654,5
A=rev,rbf(gamma=0.2518019398291556),Principal Components (kDMD) ,1,0,5,0.01999450552546178,5
A=rev,rbf(gamma=0.5036038796583112),Principal Components (kDMD) ,1,0,5,0.02490493795158244,5
A=rev,rbf(gamma=1.0072077593166224),Principal Components (kDMD) ,1,0,5,0.03325383902423562,5
A=rev,rbf(gamma=0.05146572514661616),Principal Components (kDMD) ,2,0,5,0.014193146523581612,5
A=rev,rbf(gamma=0.10293145029323232),Principal Components (kDMD) ,2,0,5,0.015142213628846934,5
A=rev,rbf(gamma=0.20586290058646464),Principal Components (kDMD) ,2,0,5,0.017368207176959305,5
A=rev,rbf(gamma=0.4117258011729293),Principal Components (kDMD) ,2,0,5,0.021198638300956363,5
A=rev,rbf(gamma=0.8234516023458586),Principal Components (kDMD) ,2,0,5,0.0268168640469284,5
A=rev,rbf(gamma=0.06435796207307426),Principal Components (kDMD) ,3,0,5,0.018480734389024533,5
A=rev,rbf(gamma=0.12871592414614852),Principal Components (kDMD) ,3,0,5,0.020592412590966003,5
A=rev,rbf(gamma=0.25743184829229704),Principal Components (kDMD) ,3,0,5,0.024024493641618294,5
A=rev,rbf(gamma=0.5148636965845941),Principal Components (kDMD) ,3,0,5,0.02887864381074523,5
A=rev,rbf(gamma=1.0297273931691882),Principal Components (kDMD) ,3,0,5,0.03645740745319137,5
A=rev,rbf(gamma=0.05383991195644794),Principal Components (kDMD) ,4,0,5,0.016174812532208427,5
A=rev,rbf(gamma=0.10767982391289588),Principal Components (kDMD) ,4,0,5,0.016638857359087877,5
A=rev,rbf(gamma=0.21535964782579176),Principal Components (kDMD) ,4,0,5,0.01820226499939781,5
A=rev,rbf(gamma=0.4307192956515835),Principal Components (kDMD) ,4,0,5,0.02187611678219381,5
A=rev,rbf(gamma=0.861438591303167),Principal Components (kDMD) ,4,0,5,0.028399567001557657,5
A=rev,rbf(gamma=0.0613059543409328),Principal Components (kDMD) ,5,0,5,0.021662283948198913,5
A=rev,rbf(gamma=0.1226119086818656),Principal Components (kDMD) ,5,0,5,0.0219108136864421,5
A=rev,rbf(gamma=0.2452238173637312),Principal Components (kDMD) ,5,0,5,0.02336861352832109,5
A=rev,rbf(gamma=0.4904476347274624),Principal Components (kDMD) ,5,0,5,0.026953064499262602,5
A=rev,rbf(gamma=0.9808952694549248),Principal Components (kDMD) ,5,0,5,0.033544410620256926,5
A=rev,rbf(gamma=0.06490512002023081),Principal Components (kDMD) ,6,0,5,0.0244942831412287,5
A=rev,rbf(gamma=0.12981024004046163),Principal Components (kDMD) ,6,0,5,0.025052859043298348,5
A=rev,rbf(gamma=0.25962048008092325),Principal Components (kDMD) ,6,0,5,0.027061263379487888,5
A=rev,rbf(gamma=0.5192409601618465),Principal Components (kDMD) ,6,0,5,0.03150682289596396,5
A=rev,rbf(gamma=1.038481920323693),Principal Components (kDMD) ,6,0,5,0.03878186629062064,5
A=rev,rbf(gamma=0.07227671456991984),Principal Components (kDMD) ,7,0,5,0.02329905880423566,5
A=rev,rbf(gamma=0.14455342913983968),Principal Components (kDMD) ,7,0,5,0.02340536839973928,5
A=rev,rbf(gamma=0.28910685827967936),Principal Components (kDMD) ,7,0,5,0.024278818452458384,5
A=rev,rbf(gamma=0.5782137165593587),Principal Components (kDMD) ,7,0,5,0.026699624237230712,5
A=rev,rbf(gamma=1.1564274331187174),Principal Components (kDMD) ,7,0,5,0.03133491013078005,5
A=rev,rbf(gamma=0.05947300227420471),Principal Components (kDMD) ,8,0,5,0.019359357629096685,5
A=rev,rbf(gamma=0.11894600454840942),Principal Components (kDMD) ,8,0,5,0.020043522696480354,5
A=rev,rbf(gamma=0.23789200909681885),Principal Components (kDMD) ,8,0,5,0.021898692916395124,5
A=rev,rbf(gamma=0.4757840181936377),Principal Components (kDMD) ,8,0,5,0.025603809318093917,5
A=rev,rbf(gamma=0.9515680363872754),Principal Components (kDMD) ,8,0,5,0.03180104301739872,5
A=rev,rbf(gamma=0.08086751581281795),Principal Components (kDMD) ,9,0,5,0.024867746407699842,5
A=rev,rbf(gamma=0.1617350316256359),Principal Components (kDMD) ,9,0,5,0.02622346100746964,5
A=rev,rbf(gamma=0.3234700632512718),Principal Components (kDMD) ,9,0,5,0.029996351727166304,5
A=rev,rbf(gamma=0.6469401265025436),Principal Components (kDMD) ,9,0,5,0.03811347496581341,5
A=rev,rbf(gamma=1.2938802530050872),Principal Components (kDMD) ,9,0,5,0.05201023796684112,5
A=rev,rbf(gamma=0.08038944954728941),Reduced Rank,0,0,5,0.028207463389914866,5
A=rev,rbf(gamma=0.16077889909457882),Reduced Rank,0,0,5,0.02788793214227081,5
A=rev,rbf(gamma=0.32155779818915764),Reduced Rank,0,0,5,0.02820147841592291,5
A=rev,rbf(gamma=0.6431155963783153),Reduced Rank,0,0,5,0.030105606619389547,5
A=rev,rbf(gamma=1.2862311927566306),Reduced Rank,0,0,5,0.03358327235651337,5
A=rev,rbf(gamma=0.0629504849572889),Reduced Rank,1,0,5,0.017174564869463116,5
A=rev,rbf(gamma=0.1259009699145778),Reduced Rank,1,0,5,0.017516117164447897,5
A=rev,rbf(gamma=0.2518019398291556),Reduced Rank,1,0,5,0.019185920089018538,5
A=rev,rbf(gamma=0.5036038796583112),Reduced Rank,1,0,5,0.0232084349039251,5
A=rev,rbf(gamma=1.0072077593166224),Reduced Rank,1,0,5,0.02891211030240215,5
A=rev,rbf(gamma=0.05146572514661616),Reduced Rank,2,0,5,0.013861670723509967,5
A=rev,rbf(gamma=0.10293145029323232),Reduced Rank,2,0,5,0.014610822591191841,5
A=rev,rbf(gamma=0.20586290058646464),Reduced Rank,2,0,5,0.016500151297606735,5
A=rev,rbf(gamma=0.4117258011729293),Reduced Rank,2,0,5,0.01958725213545609,5
A=rev,rbf(gamma=0.8234516023458586),Reduced Rank,2,0,5,0.023816466484074872,5
A=rev,rbf(gamma=0.06435796207307426),Reduced Rank,3,0,5,0.018157372718939913,5
A=rev,rbf(gamma=0.12871592414614852),Reduced Rank,3,0,5,0.020205015783121283,5
A=rev,rbf(gamma=0.25743184829229704),Reduced Rank,3,0,5,0.023519838619172506,5
A=rev,rbf(gamma=0.5148636965845941),Reduced Rank,3,0,5,0.02747067841632811,5
A=rev,rbf(gamma=1.0297273931691882),Reduced Rank,3,0,5,0.032792007773436604,5
A=rev,rbf(gamma=0.05383991195644794),Reduced Rank,4,0,5,0.01590298037576654,5
A=rev,rbf(gamma=0.10767982391289588),Reduced Rank,4,0,5,0.016328787913747034,5
A=rev,rbf(gamma=0.21535964782579176),Reduced Rank,4,0,5,0.0176773312359364,5
A=rev,rbf(gamma=0.4307192956515835),Reduced Rank,4,0,5,0.020543168103904774,5
A=rev,rbf(gamma=0.861438591303167),Reduced Rank,4,0,5,0.025221014641346517,5
A=rev,rbf(gamma=0.0613059543409328),Reduced Rank,5,0,5,0.020974574750186048,5
A=rev,rbf(gamma=0.1226119086818656),Reduced Rank,5,0,5,0.021356666688948756,5
A=rev,rbf(gamma=0.2452238173637312),Reduced Rank,5,0,5,0.02264887357141465,5
A=rev,rbf(gamma=0.4904476347274624),Reduced Rank,5,0,5,0.02543606331944137,5
A=rev,rbf(gamma=0.9808952694549248),Reduced Rank,5,0,5,0.030534314122918516,5
A=rev,rbf(gamma=0.06490512002023081),Reduced Rank,6,0,5,0.024567565497690125,5
A=rev,rbf(gamma=0.12981024004046163),Reduced Rank,6,0,5,0.02508252211944051,5
A=rev,rbf(gamma=0.25962048008092325),Reduced Rank,6,0,5,0.026652022814402487,5
A=rev,rbf(gamma=0.5192409601618465),Reduced Rank,6,0,5,0.030166701842273436,5
A=rev,rbf(gamma=1.038481920323693),Reduced Rank,6,0,5,0.035382731557172864,5
A=rev,rbf(gamma=0.07227671456991984),Reduced Rank,7,0,5,0.022832802165157595,5
A=rev,rbf(gamma=0.14455342913983968),Reduced Rank,7,0,5,0.022847957667971874,5
A=rev,rbf(gamma=0.28910685827967936),Reduced Rank,7,0,5,0.023629974372561757,5
A=rev,rbf(gamma=0.5782137165593587),Reduced Rank,7,0,5,0.025552026030911668,5
A=rev,rbf(gamma=1.1564274331187174),Reduced Rank,7,0,5,0.02936977192941581,5
A=rev,rbf(gamma=0.05947300227420471),Reduced Rank,8,0,5,0.019128289837953116,5
A=rev,rbf(gamma=0.11894600454840942),Reduced Rank,8,0,5,0.019682901012197163,5
A=rev,rbf(gamma=0.23789200909681885),Reduced Rank,8,0,5,0.021191982264948894,5
A=rev,rbf(gamma=0.4757840181936377),Reduced Rank,8,0,5,0.024114405633976377,5
A=rev,rbf(gamma=0.9515680363872754),Reduced Rank,8,0,5,0.029001973869312914,5
A=rev,rbf(gamma=0.08086751581281795),Reduced Rank,9,0,5,0.024258470888796513,5
A=rev,rbf(gamma=0.1617350316256359),Reduced Rank,9,0,5,0.02522902559751239,5
A=rev,rbf(gamma=0.3234700632512718),Reduced Rank,9,0,5,0.02849087600365452,5
A=rev,rbf(gamma=0.6469401265025436),Reduced Rank,9,0,5,0.03546203166331696,5
A=rev,rbf(gamma=1.2938802530050872),Reduced Rank,9,0,5,0.046690911787587774,5
A=rot,rbf(gamma=0.06508678073261272),Principal Components (kDMD) ,0,0,5,0.028588713260593535,5
A=rot,rbf(gamma=0.13017356146522543),Principal Components (kDMD) ,0,0,5,0.028667982052028806,5
A=rot,rbf(gamma=0.26034712293045087),Principal Components (kDMD) ,0,0,5,0.02979399419766493,5
A=rot,rbf(gamma=0.5206942458609017),Principal Components (kDMD) ,0,0,5,0.03280155631589676,5
A=rot,rbf(gamma=1.0413884917218035),Principal Components (kDMD) ,0,0,5,0.03787944001995158,5
A=rot,rbf(gamma=0.06040786973321314),Principal Components (kDMD) ,1,0,5,0.027921775857921327,5
A=rot,rbf(gamma=0.12081573946642628),Principal Components (kDMD) ,1,0,5,0.028832770474844338,5
A=rot,rbf(gamma=0.24163147893285256),Principal Components (kDMD) ,1,0,5,0.030768978003459457,5
A=rot,rbf(gamma=0.4832629578657051),Principal Components (kDMD) ,1,0,5,0.03547744077670911,5
A=rot,rbf(gamma=0.9665259157314102),Principal Components (kDMD) ,1,0,5,0.04273534753324093,5
A=rot,rbf(gamma=0.04995427791388666),Principal Components (kDMD) ,2,0,5,0.022451235763949806,5
