kernel,kind,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag,gap
hermite(good),r=0.0,Principal Components (kDMD),0,1,0.0,6.685498945594557,0.0,1.119060868984633e-05,0.9519426578248239,0.9999999998766448,0.0,0.9519426578248239
hermite(good),r=0.0,Principal Components (kDMD),0,2,0.0,10227.272395940572,0.0,0.9238163607937965,0.9519426578248239,-0.04805734205182091,0.0,0.9519426578248239
hermite(good),r=0.0,Principal Components (kDMD),0,3,0.0,14347.211420823905,0.0,0.935007424448793,0.9519426578248239,-0.006893771759694434,0.009773007360925198,0.9519426578248239
hermite(good),r=0.0,Principal Components (kDMD),0,4,0.0,14347.211420823905,0.0,0.935007424448793,0.9519426578248239,-0.006893771759694434,-0.009773007360925198,0.9519426578248239
hermite(good),r=0.0,Principal Components (kDMD),0,5,0.0,3606.562162120869,0.0,0.04603811300085864,0.9519426578248239,-2.8213017649542826e-06,0.0,0.9519426578248239
hermite(bad),r=0.0,Principal Components (kDMD),0,1,0.0,7.840743337343627,0.0,0.0004991522678829874,0.9519586301461735,1.0000000000208802,0.0,0.9519586301461735
hermite(bad),r=0.0,Principal Components (kDMD),0,2,0.0,1052.5248631188147,0.0,0.9208003396643941,0.9519586301461735,-0.04804136987470668,0.0,0.9519586301461735
hermite(bad),r=0.0,Principal Components (kDMD),0,3,0.0,1473.7033094516091,0.0,0.9419282999406455,0.9519586301461735,-0.006791161028325007,0.010002531415840767,0.9519586301461735
hermite(bad),r=0.0,Principal Components (kDMD),0,4,0.0,1473.7033094516091,0.0,0.9419282999406455,0.9519586301461735,-0.006791161028325007,-0.010002531415840767,0.9519586301461735
hermite(bad),r=0.0,Principal Components (kDMD),0,5,0.0,383.93708523912704,0.0,0.04636862697354139,0.9519586301461735,-2.3651633793871094e-06,0.0,0.9519586301461735
hermite(ugly),r=0.0,Principal Components (kDMD),0,1,0.0,28.276217191360473,0.0,0.9400494984309374,,0.27779014947694747,0.0,
hermite(good),r=0.0,Principal Components (kDMD),1,1,0.0,6.6835617598903445,0.0,1.083422118709116e-05,0.9705015548887788,1.0000000001165597,0.0,0.9705015548887788
hermite(good),r=0.0,Principal Components (kDMD),1,2,0.0,17110.553608961327,0.0,1.000988408365415,0.9705015548887788,0.029498445227780935,0.0,0.9705015548887788
hermite(good),r=0.0,Principal Components (kDMD),1,3,0.0,11882.203483140333,0.0,0.9942094046858643,0.9705015548887788,-0.024242385639039504,0.0,0.9705015548887788
hermite(good),r=0.0,Principal Components (kDMD),1,4,0.0,20175.221309065444,0.0,0.9999818782376416,0.9705015548887788,0.017161974698795286,0.0,0.9705015548887788
hermite(good),r=0.0,Principal Components (kDMD),1,5,0.0,1653.2732739524292,0.0,1.0000267237222848,0.9705015548887788,-1.690783699054993e-05,0.0,0.9705015548887788
hermite(bad),r=0.0,Principal Components (kDMD),1,1,0.0,7.8329127144061905,0.0,0.00021323323838580885,0.9700983064016071,0.9999999999716429,0.0,0.9700983064016071
hermite(bad),r=0.0,Principal Components (kDMD),1,2,0.0,1690.7853333474393,0.0,1.001007220682985,0.9700983064016071,0.02990169357003585,0.0,0.9700983064016071
hermite(bad),r=0.0,Principal Components (kDMD),1,3,0.0,1193.262272818815,0.0,0.9942607904398869,0.9700983064016071,-0.024199714178420338,0.0,0.9700983064016071
hermite(bad),r=0.0,Principal Components (kDMD),1,4,0.0,2017.8748106504577,0.0,0.9999733881132128,0.9700983064016071,0.016545688709713558,0.0,0.9700983064016071
hermite(bad),r=0.0,Principal Components (kDMD),1,5,0.0,180.03657181729346,0.0,0.9999617640401411,0.9700983064016071,-1.6993442274624765e-05,0.0,0.9700983064016071
hermite(ugly),r=0.0,Principal Components (kDMD),1,1,0.0,28.072389241298556,0.0,0.9607880893020853,,0.32453826261264984,0.0,
hermite(good),r=0.0,Principal Components (kDMD),2,1,0.0,6.688102000209557,0.0,2.777044081360948e-05,0.9756151218380607,1.0000000000294147,0.0,0.9756151218380607
hermite(good),r=0.0,Principal Components (kDMD),2,2,0.0,10684.256969823597,0.0,0.23380139550070614,0.9756151218380607,-0.02438487819135409,0.0,0.9756151218380607
hermite(good),r=0.0,Principal Components (kDMD),2,3,0.0,3312.7798754339083,0.0,0.4466665337440173,0.9756151218380607,-0.013907825885211172,0.0,0.9756151218380607
hermite(good),r=0.0,Principal Components (kDMD),2,4,0.0,6488.243643087456,0.0,0.2632958499953297,0.9756151218380607,0.0031435076856173635,0.0,0.9756151218380607
hermite(good),r=0.0,Principal Components (kDMD),2,5,0.0,2366.2675781026865,0.0,0.0256945326929997,0.9756151218380607,7.422446743712638e-06,0.0,0.9756151218380607
hermite(bad),r=0.0,Principal Components (kDMD),2,1,0.0,7.8377443388011185,0.0,0.004299024308275563,0.9764433799725154,1.0000000000691043,0.0,0.9764433799725154
hermite(bad),r=0.0,Principal Components (kDMD),2,2,0.0,1032.0446198577674,0.0,0.23733859125897927,0.9764433799725154,-0.0235566200965889,0.0,0.9764433799725154
hermite(bad),r=0.0,Principal Components (kDMD),2,3,0.0,196.56070959827034,0.0,0.6354380624557466,0.9764433799725154,-0.014854497563418653,0.0,0.9764433799725154
hermite(bad),r=0.0,Principal Components (kDMD),2,4,0.0,610.8933235190672,0.0,0.28014116286815427,0.9764433799725154,0.003394340444336697,0.0,0.9764433799725154
hermite(bad),r=0.0,Principal Components (kDMD),2,5,0.0,250.50855138223707,0.0,0.019131236899793444,0.9764433799725154,9.02902596176835e-06,0.0,0.9764433799725154
hermite(ugly),r=0.0,Principal Components (kDMD),2,1,0.0,28.287715432460654,0.0,0.9449589362562175,,0.3009157064637554,0.0,
