kernel,kind,method,eigenfunction_id,n,bias_mean,bias_std,dist_mean,trunc_mean,spurious_mean,spurious_std
hermite(bad),r=0.0,Principal Components (kDMD),1,10,0.0,0.0,7.839370070989924,0.0,0.002140200015657388,0.0025952645498492776
hermite(bad),r=0.0,Principal Components (kDMD),2,10,0.0,0.0,1975.407722936144,0.0,0.5618518218945969,0.3281055106014729
hermite(bad),r=0.0,Principal Components (kDMD),3,10,0.0,0.0,1684.146350244337,0.0,0.5345206747990374,0.304395892740631
hermite(bad),r=0.0,Principal Components (kDMD),4,10,0.0,0.0,1521.8704049436756,0.0,0.5097805643558453,0.30175739000160895
hermite(bad),r=0.0,Principal Components (kDMD),5,10,0.0,0.0,1204.4607653670912,0.0,0.1853340492215534,0.3069492424818597
hermite(bad),r=0.0,Reduced Rank,1,10,1.9962096720300425e-06,6.3117626651901765e-06,278.0203973656864,7.137445571915098e-09,0.3907939228868929,0.3125839294739743
hermite(bad),r=0.0,Reduced Rank,2,10,2.0125189698983553e-05,6.363137875153854e-05,2763.010146040254,7.137445571915098e-09,0.6515431745700484,0.30965604047432954
hermite(bad),r=0.0,Reduced Rank,3,10,2.930182748085051e-05,9.265497605403539e-05,2847.2209962487204,7.137445571915098e-09,0.4636561226912666,0.3537145434876319
hermite(bad),r=0.0,Reduced Rank,4,9,1.2983171171788798e-09,1.084977041055296e-09,3878.105514733918,1.4169978113338961e-12,0.43447825034555354,0.39994304925123214
hermite(bad),r=0.0,Reduced Rank,5,6,3.679153336652128e-10,1.1724495453393723e-10,2914.5084864296437,4.3206923829511516e-13,0.8097782435321579,0.09477468406806326
hermite(bad),r=0.5,Principal Components (kDMD),1,10,0.0,0.0,7.836865155962421,0.0,0.0021102592417996027,0.0025956480187525424
hermite(bad),r=0.5,Principal Components (kDMD),2,10,0.0,0.0,1654.3211235258234,0.0,0.6118564855728922,0.3192195386705254
hermite(bad),r=0.5,Principal Components (kDMD),3,10,0.0,0.0,1863.046404397285,0.0,0.5243692383570502,0.3360266076900194
hermite(bad),r=0.5,Principal Components (kDMD),4,10,0.0,0.0,1543.5418098415644,0.0,0.42558743657555526,0.3343398839427793
hermite(bad),r=0.5,Principal Components (kDMD),5,10,0.0,0.0,734.4289874572892,0.0,0.2517595388040573,0.3320055189118854
hermite(bad),r=0.5,Reduced Rank,1,10,1.0494280724807095e-05,3.318062193329593e-05,410.6546652191224,6.520803085092878e-08,0.3243076976802593,0.28316734155099393
hermite(bad),r=0.5,Reduced Rank,2,10,0.00011728119371851126,0.00037081536950299047,3845.4770974812755,6.520803085092878e-08,0.5963771734769814,0.31636586619856355
hermite(bad),r=0.5,Reduced Rank,3,10,2.1726161098797252e-08,4.48797011184854e-08,4167.268651529607,6.520803085092878e-08,0.5907071566195686,0.40718216058020884
hermite(bad),r=0.5,Reduced Rank,4,9,1.4675241534990648e-09,8.128089400951156e-10,4266.84502024382,4.226697218803757e-12,0.5559744416400743,0.4230784106758266
hermite(bad),r=0.5,Reduced Rank,5,6,7.168117066864868e-10,8.68569023727595e-10,2320.043706269935,3.3310065190973106e-13,0.5131464424464356,0.6609090771551788
hermite(bad),r=1.2,Principal Components (kDMD),1,10,8.679357202814247e-11,6.944056899369335e-11,7.815691339115295,1.1117792951810482e-11,0.0020219820012595145,0.002285503534763545
hermite(bad),r=1.2,Principal Components (kDMD),2,10,3.857362219564053e-09,2.5788082393185042e-09,582.2050531145908,1.1117792951810482e-11,0.8019547527032502,0.26981644488627116
