kind,method,kernel,composite_score,spectral_gap_mean,spurious_residual_count_mean
r=0.0,Principal Components (kDMD),hermite(bad),-1.7072208724260292,0.9510205054169056,0.27652978153601526
r=0.0,Reduced Rank,hermite(ugly),-1.1876188872909124,0.7168578760206877,0.43512141929029713
r=0.5,Principal Components (kDMD),hermite(ugly),-1.44508141788992,0.9531584201042925,0.9409777919250353
r=0.5,Reduced Rank,hermite(ugly),-1.1818052130015857,1.1587425547882666,0.9499601004694025
r=1.2,Principal Components (kDMD),hermite(ugly),-1.8508642878578847,0.95119544932758,0.8172637338830413
r=1.2,Reduced Rank,hermite(ugly),-1.0525421390386709,2.8064619789751197,1.250720197126908
r=2.5,Principal Components (kDMD),hermite(ugly),-3.366666279200473,0.9858916918017302,0.6141562812564595
r=2.5,Reduced Rank,hermite(ugly),-0.43808199772085454,4.016009201065664,1.3556509210067258
r=3.2,Principal Components (kDMD),hermite(ugly),-4.384799592766832,0.9252479786003194,0.4677323340440559
r=3.2,Reduced Rank,hermite(ugly),-0.041052016456767815,4.389597866411173,1.3155833292598436
r=4.0,Principal Components (kDMD),hermite(ugly),-1.6837413918080515,0.9617701729731654,0.8673312943831342
r=4.0,Reduced Rank,hermite(ugly),-0.5470960221723152,3.005709921138877,1.2954191926555203
