kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
linear,r=0.0,Principal Components (kDMD),0,1,5,0.26134365292098843,5
linear,r=0.0,Principal Components (kDMD),1,1,3,0.281866822927428,5
linear,r=0.0,Principal Components (kDMD),2,1,5,0.27061747116506224,5
linear,r=0.0,Principal Components (kDMD),3,1,3,0.29793406807739564,5
linear,r=0.0,Principal Components (kDMD),4,1,3,0.2501502912645473,5
linear,r=0.0,Principal Components (kDMD),5,1,4,0.31594049027733906,5
linear,r=0.0,Principal Components (kDMD),6,1,2,0.3313114768421577,5
linear,r=0.0,Principal Components (kDMD),7,1,5,0.24007106267051287,5
linear,r=0.0,Principal Components (kDMD),8,1,5,0.291862764705027,5
linear,r=0.0,Principal Components (kDMD),9,1,4,0.25995320969771313,5
linear,r=0.0,Reduced Rank,0,1,2,0.26134366812259313,5
linear,r=0.0,Reduced Rank,1,1,1,0.2818668696591723,4
linear,r=0.0,Reduced Rank,2,1,3,0.27061747484286297,5
linear,r=0.0,Reduced Rank,3,1,0,0.29793408986575026,5
linear,r=0.0,Reduced Rank,4,1,1,0.25015029172775,3
linear,r=0.0,Reduced Rank,5,1,3,0.31594052870398526,4
linear,r=0.0,Reduced Rank,6,1,0,0.33131154661114237,5
linear,r=0.0,Reduced Rank,7,1,1,0.24007106932972544,4
linear,r=0.0,Reduced Rank,8,1,3,0.2918627742730999,3
linear,r=0.0,Reduced Rank,9,1,2,0.25995321310275543,3
linear,r=0.5,Principal Components (kDMD),0,1,1,0.35521079111300286,5
linear,r=0.5,Principal Components (kDMD),1,1,3,0.3551328516028678,5
linear,r=0.5,Principal Components (kDMD),2,1,4,0.34264530405177185,5
linear,r=0.5,Principal Components (kDMD),3,1,4,0.38286272268773414,5
linear,r=0.5,Principal Components (kDMD),4,1,2,0.32583742102397456,5
linear,r=0.5,Principal Components (kDMD),5,1,4,0.3864506170639066,5
linear,r=0.5,Principal Components (kDMD),6,1,2,0.3935102080925815,5
linear,r=0.5,Principal Components (kDMD),7,1,2,0.33779232999016207,5
linear,r=0.5,Principal Components (kDMD),8,1,4,0.3746159118213886,5
linear,r=0.5,Principal Components (kDMD),9,1,2,0.3485752541589363,5
linear,r=0.5,Reduced Rank,0,1,2,0.35521085784689976,4
linear,r=0.5,Reduced Rank,1,1,2,0.35513285401896294,3
linear,r=0.5,Reduced Rank,2,1,4,0.34264531856207237,5
linear,r=0.5,Reduced Rank,3,1,3,0.3828627949175561,5
linear,r=0.5,Reduced Rank,4,1,2,0.3258374218219353,3
linear,r=0.5,Reduced Rank,5,1,2,0.38645062741882436,3
linear,r=0.5,Reduced Rank,6,1,3,0.3935102220733563,5
linear,r=0.5,Reduced Rank,7,1,0,0.33779235985941386,3
linear,r=0.5,Reduced Rank,8,1,1,0.3746159901366804,4
linear,r=0.5,Reduced Rank,9,1,2,0.3485752796161452,4
linear,r=1.2,Principal Components (kDMD),0,1,4,0.7296881392525464,5
linear,r=1.2,Principal Components (kDMD),1,1,5,0.7323992121735897,5
linear,r=1.2,Principal Components (kDMD),2,1,4,0.7249399302479247,5
linear,r=1.2,Principal Components (kDMD),3,1,4,0.7256857155583364,5
linear,r=1.2,Principal Components (kDMD),4,1,3,0.7304770255909718,5
linear,r=1.2,Principal Components (kDMD),5,1,5,0.729758883446321,5
linear,r=1.2,Principal Components (kDMD),6,1,3,0.7268736157056509,5
linear,r=1.2,Principal Components (kDMD),7,1,3,0.7410849085682628,5
linear,r=1.2,Principal Components (kDMD),8,1,2,0.7282583784420098,5
linear,r=1.2,Principal Components (kDMD),9,1,5,0.7261588907404827,5
linear,r=1.2,Reduced Rank,0,1,2,0.7296917005770515,3
linear,r=1.2,Reduced Rank,1,1,2,0.732399213193704,3
linear,r=1.2,Reduced Rank,2,1,0,0.7249401684164056,4
linear,r=1.2,Reduced Rank,3,1,2,0.7256897817237169,4
linear,r=1.2,Reduced Rank,4,1,2,0.7304792625126489,3
linear,r=1.2,Reduced Rank,5,1,2,0.7297613646698162,5
linear,r=1.2,Reduced Rank,6,1,2,0.7268802591461259,5
linear,r=1.2,Reduced Rank,7,1,2,0.7410849332218029,4
linear,r=1.2,Reduced Rank,8,1,1,0.7282584860656602,3
linear,r=1.2,Reduced Rank,9,1,3,0.7261589944430283,3
linear,r=2.5,Principal Components (kDMD),0,0,4,0.9903244132402728,5
linear,r=2.5,Principal Components (kDMD),1,0,5,0.9906952679622997,5
linear,r=2.5,Principal Components (kDMD),2,0,5,0.9906744640413783,5
linear,r=2.5,Principal Components (kDMD),3,0,4,0.9902860417771336,5
linear,r=2.5,Principal Components (kDMD),4,0,4,0.9909693303986223,5
linear,r=2.5,Principal Components (kDMD),5,0,3,0.9910356243869934,5
linear,r=2.5,Principal Components (kDMD),6,0,5,0.9910291777800634,5
linear,r=2.5,Principal Components (kDMD),7,0,5,0.9899622046199603,5
linear,r=2.5,Principal Components (kDMD),8,0,5,0.9910225193838899,5
linear,r=2.5,Principal Components (kDMD),9,0,3,0.9900581565322997,5
linear,r=2.5,Reduced Rank,0,0,0,0.9904505843911316,5
linear,r=2.5,Reduced Rank,1,0,4,0.990719522004003,5
linear,r=2.5,Reduced Rank,2,0,3,0.990721882164819,4
linear,r=2.5,Reduced Rank,3,0,1,0.9903623014073464,5
linear,r=2.5,Reduced Rank,4,0,4,0.9911153356162852,5
linear,r=2.5,Reduced Rank,5,0,1,0.991046196793007,5
linear,r=2.5,Reduced Rank,6,0,0,0.9912611869679587,5
linear,r=2.5,Reduced Rank,7,0,3,0.9899866264835945,5
linear,r=2.5,Reduced Rank,8,0,1,,1
linear,r=2.5,Reduced Rank,9,0,2,0.9901509344834746,5
linear,r=3.2,Principal Components (kDMD),0,0,2,0.9620338393930573,5
linear,r=3.2,Principal Components (kDMD),1,0,4,0.9610958065531157,5
linear,r=3.2,Principal Components (kDMD),2,0,5,0.9615610592852315,5
linear,r=3.2,Principal Components (kDMD),3,0,5,0.9599004718844035,5
linear,r=3.2,Principal Components (kDMD),4,0,3,0.963551728795553,5
linear,r=3.2,Principal Components (kDMD),5,0,5,0.9636608736334152,5
linear,r=3.2,Principal Components (kDMD),6,0,4,0.9642254234426729,5
linear,r=3.2,Principal Components (kDMD),7,0,4,0.9654885883558604,5
linear,r=3.2,Principal Components (kDMD),8,0,5,0.9630879011377322,5
linear,r=3.2,Principal Components (kDMD),9,0,5,0.9642599209775838,5
linear,r=3.2,Reduced Rank,0,0,2,0.962325038810543,5
linear,r=3.2,Reduced Rank,1,0,0,0.9634733449132011,3
linear,r=3.2,Reduced Rank,2,0,3,0.961569577103575,5
linear,r=3.2,Reduced Rank,3,0,3,0.9602393439650768,5
linear,r=3.2,Reduced Rank,4,0,2,0.9636257681063075,4
linear,r=3.2,Reduced Rank,5,0,3,0.9636785108048589,5
linear,r=3.2,Reduced Rank,6,0,0,0.9690516830529873,5
linear,r=3.2,Reduced Rank,7,0,2,0.9654971397054519,3
linear,r=3.2,Reduced Rank,8,0,1,0.9631388664336582,5
linear,r=3.2,Reduced Rank,9,0,2,0.9643284728751276,4
linear,r=4.0,Principal Components (kDMD),0,1,5,0.6706587491802796,5
linear,r=4.0,Principal Components (kDMD),1,1,3,0.6622944694107794,5
linear,r=4.0,Principal Components (kDMD),2,1,2,0.6611759111397912,5
linear,r=4.0,Principal Components (kDMD),3,1,5,0.6349067046837433,5
linear,r=4.0,Principal Components (kDMD),4,1,5,0.6637101626247901,5
linear,r=4.0,Principal Components (kDMD),5,1,5,0.6558950334723768,5
linear,r=4.0,Principal Components (kDMD),6,1,5,0.6729677478061524,5
linear,r=4.0,Principal Components (kDMD),7,1,5,0.6652915470598666,5
linear,r=4.0,Principal Components (kDMD),8,1,3,0.6447283189427316,5
linear,r=4.0,Principal Components (kDMD),9,1,2,0.6395396075643018,5
linear,r=4.0,Reduced Rank,0,1,0,0.6706790615945296,5
linear,r=4.0,Reduced Rank,1,1,1,0.6623088712373969,5
linear,r=4.0,Reduced Rank,2,1,1,0.6611776515861502,3
linear,r=4.0,Reduced Rank,3,1,3,0.6349113568159896,4
linear,r=4.0,Reduced Rank,4,1,3,0.6637122512366951,4
linear,r=4.0,Reduced Rank,5,1,3,0.6558973130767745,3
