kernel,kind,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag,gap
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),0,1,0.0,7.437395790446264,0.0,0.0022751969514085003,0.9578737704610991,1.0000000014754635,0.0,0.9578737704610991
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),0,2,0.0,519.7072945312746,0.0,0.9688372143190976,0.9578737704610991,-0.04212623101436443,0.0,0.9578737704610991
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),0,3,0.0,1075.1979545703437,0.0,0.5257178884166002,0.9578737704610991,-0.002439091905496561,0.0048130388645329794,0.9578737704610991
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),0,4,0.0,1075.1979545703437,0.0,0.5257178884166002,0.9578737704610991,-0.002439091905496561,-0.0048130388645329794,0.9578737704610991
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),0,5,0.0,521.8804051193142,0.0,0.048055881537594845,0.9578737704610991,-1.946844339000636e-06,0.0,0.9578737704610991
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),1,1,0.0,7.468242940684011,0.0,0.002074143397248033,0.9717014034425498,1.0000000016995163,0.0,0.9717014034425498
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),1,2,0.0,877.4601690041462,0.0,1.0008542337570723,0.9717014034425498,0.02829859825696645,0.0,0.9717014034425498
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),1,3,0.0,962.3207854030494,0.0,0.9931152993537704,0.9717014034425498,-0.020559230946231417,0.0,0.9717014034425498
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),1,4,0.0,2550.4313962020724,0.0,0.9985348812162451,0.9717014034425498,0.004222191959731188,0.0,0.9717014034425498
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),1,5,0.0,250.5910270733428,0.0,0.9999513086727048,0.9717014034425498,-1.9202300647575988e-05,0.0,0.9717014034425498
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),2,1,0.0,7.449394390662326,0.0,0.014027467349735518,0.9850862340585738,1.0000000020689965,0.0,0.9850862340585738
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),2,2,0.0,324.6726064748326,0.0,0.6772509465980289,0.9850862340585738,-0.014913768010422799,0.0,0.9850862340585738
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),2,3,0.0,638.0644925792575,0.0,0.3733690958073697,0.9850862340585738,0.004045301339421738,0.0,0.9850862340585738
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),2,4,0.0,988.3743196266108,0.0,0.2616701768696793,0.9850862340585738,-0.0029592392757990093,0.0,0.9850862340585738
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),2,5,0.0,346.0627005714912,0.0,0.019596024398276683,0.9850862340585738,9.54627849051373e-06,0.0,0.9850862340585738
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),3,1,0.0,7.478276402175995,0.0,0.005683142538544264,0.9541378363790864,1.0000000007898684,0.0,0.9541378363790864
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),3,2,0.0,642.9781957631484,0.0,0.7475455447588355,0.9541378363790864,0.045862164410781905,0.0,0.9541378363790864
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),3,3,0.0,1463.4295256617847,0.0,0.5064284485816042,0.9541378363790864,-0.020489904481310574,0.011590904538529933,0.9541378363790864
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),3,4,0.0,1463.4295256617847,0.0,0.5064284485816042,0.9541378363790864,-0.020489904481310574,-0.011590904538529933,0.9541378363790864
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),3,5,0.0,300.6802181579686,0.0,0.09613306174016327,0.9541378363790864,1.4125005420235063e-05,0.0,0.9541378363790864
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),4,1,0.0,7.485725772577144,0.0,0.01181102523313436,0.9732992375926592,0.9999999983542551,0.0,0.9732992375926592
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),4,2,0.0,701.0841830070231,0.0,0.4022039176976537,0.9732992375926592,0.026700760761595853,0.0,0.9732992375926592
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),4,3,0.0,965.2591784406022,0.0,0.36673204350559413,0.9732992375926592,-0.0193745215418873,0.0,0.9732992375926592
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),4,4,0.0,1762.2153359488177,0.0,0.19410366429787995,0.9732992375926592,-0.007322867286451252,0.0,0.9732992375926592
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),4,5,0.0,205.51182675639984,0.0,0.024454047238179483,0.9732992375926592,-9.500633373321862e-07,0.0,0.9732992375926592
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),5,1,0.0,7.4043263415668665,0.0,0.0061002576259017146,0.9510689651285055,1.000000006335973,0.0,0.9510689651285055
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),5,2,0.0,690.8352822931331,0.0,0.9180118801496842,0.9510689651285055,0.04893104120746764,0.0,0.9510689651285055
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),5,3,0.0,2740.2746278027284,0.0,0.8518999037696717,0.9510689651285055,-0.0009547968259878036,0.0,0.9510689651285055
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),5,4,0.0,2811.477989828436,0.0,0.15410571311487814,0.9510689651285055,0.0005429826110398558,0.0006650173754865979,0.9510689651285055
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),5,5,0.0,2811.477989828436,0.0,0.15410571311487814,0.9510689651285055,0.0005429826110398558,-0.0006650173754865979,0.9510689651285055
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),6,1,0.0,7.40158195518071,0.0,0.0016492233767585168,0.9415414200333334,1.0000000043467632,0.0,0.9415414200333334
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),6,2,0.0,953.9564155167418,0.0,0.5315359862496015,0.9415414200333334,0.05845858431342978,0.0,0.9415414200333334
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),6,3,0.0,1329.1563813039168,0.0,0.599466503009055,0.9415414200333334,-0.013994185817902474,0.02102943823713709,0.9415414200333334
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),6,4,0.0,1329.1563813039168,0.0,0.599466503009055,0.9415414200333334,-0.013994185817902474,-0.02102943823713709,0.9415414200333334
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),6,5,0.0,8901.77967981845,0.0,0.4110060365150713,0.9415414200333334,2.65758494600532e-05,0.0,0.9415414200333334
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),7,1,0.0,7.515768145773998,0.0,0.0027237536093994066,0.9695154283349063,1.0000000017438069,0.0,0.9695154283349063
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),7,2,0.0,696.4894386575123,0.0,0.7776521034275038,0.9695154283349063,-0.03048457340890056,0.0,0.9695154283349063
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),7,3,0.0,1323.3052338135747,0.0,0.763494128104081,0.9695154283349063,0.000978368074543095,0.024075619564161328,0.9695154283349063
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),7,4,0.0,1323.3052338135747,0.0,0.763494128104081,0.9695154283349063,0.000978368074543095,-0.024075619564161328,0.9695154283349063
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),7,5,0.0,210.01628628237432,0.0,0.016069893740881296,0.9695154283349063,-1.768615502076129e-06,0.0,0.9695154283349063
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),8,1,0.0,7.454398983825527,0.0,0.025312650781996408,0.9523491442859181,1.000000000683346,0.0,0.9523491442859181
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),8,2,0.0,1115.9597073232828,0.0,0.22860531295168202,0.9523491442859181,-0.04765085639742791,0.0,0.9523491442859181
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),8,3,0.0,1910.7659058890965,0.0,0.1405457103545175,0.9523491442859181,0.017254056294722177,0.0052429887494822676,0.9523491442859181
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),8,4,0.0,1910.7659058890965,0.0,0.1405457103545175,0.9523491442859181,0.017254056294722177,-0.0052429887494822676,0.9523491442859181
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),8,5,0.0,433.184190064826,0.0,0.019028335028845732,0.9523491442859181,6.528277096832692e-05,0.0,0.9523491442859181
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),9,1,0.0,7.438699642299701,0.0,0.00446112688022539,0.938393750725628,1.0000000010060228,0.0,0.938393750725628
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),9,2,0.0,500.4791977213811,0.0,0.9220740249936359,0.938393750725628,-0.06160625028039483,0.0,0.938393750725628
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),9,3,0.0,514.6205078638354,0.0,0.8289247403586785,0.938393750725628,0.02691695151295072,0.0,0.938393750725628
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),9,4,0.0,251.11905847544122,0.0,0.1913118177644204,0.938393750725628,0.0008166095102456435,0.0,0.938393750725628
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),9,5,0.0,361.97553747518316,0.0,0.15131572152044487,0.938393750725628,0.00039566824959470315,0.0,0.938393750725628
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),0,1,0.0,7.679297637155191,0.0,0.002569140831632221,0.9540019789386578,1.0000000015999386,0.0,0.9540019789386578
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),0,2,0.0,598.4411582778124,0.0,0.9445705814219297,0.9540019789386578,-0.04599802266128081,0.0,0.9540019789386578
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),0,3,0.0,931.8598174718246,0.0,0.842443496619793,0.9540019789386578,-0.005543521924822128,0.00909492816000202,0.9540019789386578
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),0,4,0.0,931.8598174718246,0.0,0.842443496619793,0.9540019789386578,-0.005543521924822128,-0.00909492816000202,0.9540019789386578
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),0,5,0.0,271.53283196152535,0.0,0.04979911183716571,0.9540019789386578,-2.552380006236846e-06,0.0,0.9540019789386578
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),1,1,0.0,7.741533811800068,0.0,0.002043915340765652,0.9707195608632395,1.0000000015799153,0.0,0.9707195608632395
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),1,2,0.0,1025.6648246851262,0.0,1.0009791254823115,0.9707195608632395,0.029280440716675793,0.0,0.9707195608632395
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),1,3,0.0,777.9433876677609,0.0,0.9940210427244918,0.9707195608632395,-0.023546122338881745,0.0,0.9707195608632395
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),1,4,0.0,1392.8325407755826,0.0,0.9997599162629133,0.9707195608632395,0.013933021729052694,0.0,0.9707195608632395
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),1,5,0.0,136.45929959683338,0.0,0.9999633988703889,0.9707195608632395,-2.172114269694737e-05,0.0,0.9707195608632395
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),2,1,0.0,7.690886294994693,0.0,0.01700520834171709,0.9829314876217818,1.0000000024032674,0.0,0.9829314876217818
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),2,2,0.0,355.77207360746587,0.0,0.6418636693837811,0.9829314876217818,-0.017068514781485515,0.0,0.9829314876217818
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),2,3,0.0,194.5134109503428,0.0,0.6993702710097004,0.9829314876217818,-0.01463913802004865,0.0,0.9829314876217818
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),2,4,0.0,410.019637871574,0.0,0.34176058930491376,0.9829314876217818,0.0034708407900644073,0.0,0.9829314876217818
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),2,5,0.0,184.15857791055026,0.0,0.02265937825356195,0.9829314876217818,1.1052304432539267e-05,0.0,0.9829314876217818
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),3,1,0.0,7.774107954892975,0.0,0.0050907612072448654,0.9557896204532003,1.0000000005348844,0.0,0.9557896204532003
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),3,2,0.0,463.2802074957008,0.0,0.6439901555024673,0.9557896204532003,0.044210380081684056,0.0,0.9557896204532003
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),3,3,0.0,992.1328540440693,0.0,0.3803734878905066,0.9557896204532003,-0.032939119826079936,0.026219977550103694,0.9557896204532003
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),3,4,0.0,992.1328540440693,0.0,0.3803734878905066,0.9557896204532003,-0.032939119826079936,-0.026219977550103694,0.9557896204532003
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),3,5,0.0,161.28032234256523,0.0,0.09653967353581164,0.9557896204532003,1.5819797071258316e-05,0.0,0.9557896204532003
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),4,1,0.0,7.761350787458913,0.0,0.01294463427024607,0.9731718645913979,0.999999998313257,0.0,0.9731718645913979
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),4,2,0.0,567.7470577192407,0.0,0.3227253369749065,0.9731718645913979,0.026828133721859063,0.0,0.9731718645913979
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),4,3,0.0,1130.8706963258317,0.0,0.2211772986511512,0.9731718645913979,-0.022405531363184756,0.00937549660257871,0.9731718645913979
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),4,4,0.0,1130.8706963258317,0.0,0.2211772986511512,0.9731718645913979,-0.022405531363184756,-0.00937549660257871,0.9731718645913979
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),4,5,0.0,114.04797666182847,0.0,0.025255368464153233,0.9731718645913979,-1.1612493469313994e-06,0.0,0.9731718645913979
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),5,1,0.0,7.421263871998953,0.0,0.010949478747103277,0.9444582951234682,1.0000000164314211,0.0,0.9444582951234682
