kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),3.0,1.0,0.0,0.0,472.88325709359765,0.0,0.3380369095595203,0.13434387883148885,0.1,3.4,0.959496719044226,0.014966095516204049,5.0
rbf(gamma=0.5),r=0.0,Reduced Rank,3.0,1.0,2.664015581079948e-10,1.795008102134251e-10,510.06515287342427,5.223394922863162e-13,0.3118864561515484,0.12740925248424245,0.7,3.3,0.9317999526483352,0.035025641472461656,5.0
rbf(gamma=0.5),r=0.5,Principal Components (kDMD),3.0,1.0,0.0,0.0,495.13500671142253,0.0,0.3259514037711637,0.15586625738816742,0.1,3.6,0.9580981496862062,0.01955177965181448,5.0
rbf(gamma=0.5),r=0.5,Reduced Rank,3.0,1.0,1.852197694830523e-09,5.3172931804009676e-09,499.14035319671626,2.5138649571656996e-12,0.3217741391445918,0.1486983726108616,0.2,3.1,0.9538296158731768,0.02289328299987012,4.9
rbf(gamma=0.5),r=1.2,Principal Components (kDMD),3.0,1.0,1.2083012962010325e-09,1.3619003144203477e-09,391.65857099509407,5.3140495199146015e-12,0.3912812924155914,0.13502140198690538,0.2,3.9,0.95372761750235,0.017012851920320007,5.0
rbf(gamma=0.5),r=1.2,Reduced Rank,3.0,1.0,1.289159153369455e-07,4.0678622819600356e-07,394.52787040137764,5.816112371172015e-10,0.41028611480393407,0.14194908887162694,0.2,3.3,0.9453846343105916,0.02037129633398524,4.9
rbf(gamma=0.5),r=2.5,Principal Components (kDMD),3.0,1.0,0.0,0.0,449.268192256563,0.0,0.4732186369374262,0.0529462945842015,0.2,4.0,0.954775610491021,0.019433610316283267,5.0
rbf(gamma=0.5),r=2.5,Reduced Rank,3.0,1.0,8.356546013918404e-08,2.635912958696944e-07,543.9439107511276,1.662819441918456e-10,0.46051164767232683,0.10310424410479867,0.4,3.5,0.9389955002025822,0.0222482051714453,4.9
rbf(gamma=0.5),r=3.2,Principal Components (kDMD),3.0,1.0,6.076346773453424e-08,3.183162251126621e-08,137.8674695497964,4.782368489097969e-10,0.4988352321604472,0.0042326234567614494,0.6,4.0,0.9258234136515012,0.017756924368866042,5.0
rbf(gamma=0.5),r=3.2,Reduced Rank,3.0,1.0,3.722547952961912e-07,6.666582489625094e-07,391.9291757643896,1.069037006252809e-09,0.5069542242467999,0.004360573322521023,0.8,3.7,0.9248148890573727,0.02453788213391398,5.0
