kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,std_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
rbf(gamma=2.5),r=0.0,Principal Components (kDMD),3.0,1.0,4.983034080516055e-09,4.395004546647647e-09,244.13507185394357,2.7023982547566558e-11,0.3145886263988798,0.1801407305640294,0.3,3.3,0.9517554175339319,0.020192895007131246,5.0,-0.1491956296075924,-0.16864634374495183,-1.3076405560074646,-0.14747107527900685,-0.1877666860643476,1.0363942736708005,-0.40443249151680394,-1.5581455164650722,-0.7020833371119644,-0.24362053219501875,-3.65936973392611,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,1
rbf(gamma=5.0),r=0.0,Principal Components (kDMD),3.0,1.0,7.700998566706049e-08,6.339255077954852e-08,134.21212946341774,7.788066737945364e-10,0.3253838177596359,0.17473686767566773,0.3,3.5,0.9510062768584255,0.021433208621596936,5.0,-0.14919562950239787,-0.7454427322180012,-1.1975334116022358,-0.1474710748100123,-0.18776668584043543,0.967371410334042,-0.40443249151680394,-1.0830666657098413,-0.650564046319221,-0.12019311230842063,-3.611619342309198,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,2
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),3.0,1.0,0.0,0.0,407.9278783859783,0.0,0.30900093267369455,0.15049752559766294,0.2,3.3,0.9568709668078679,0.01511076497189283,5.0,-0.14919562961487007,0.690820271785577,-1.3646330612193476,-0.1474710752958656,-0.18776668608102787,0.6577653322030881,-0.7949190350502694,-1.5581455164650722,-1.0538857144563505,-0.7493589119578538,-3.449131914373904,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,3
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),3.0,1.0,0.0,0.0,472.88325709359765,0.0,0.3380369095595203,0.13434387883148885,0.1,3.4,0.959496719044226,0.014966095516204049,5.0,-0.14919562961487007,1.0316592907898863,-1.068476338001188,-0.1474710752958656,-0.18776668608102787,0.45143682680499136,-1.185405578583735,-1.3206060910874566,-1.2344618030837535,-0.763755414135859,-2.9153093147482796,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,7
rbf(gamma=12.5),r=0.0,Principal Components (kDMD),3.0,1.0,2.3230162039342698e-06,1.728616819987089e-06,62.075249100637336,4.871731173188146e-08,0.4100251711674433,0.14794628550252958,0.3,3.7,0.9508850218686156,0.02140163029703402,5.0,-0.1491956262221315,-1.1239650967407904,-0.33422145993019675,-0.1474710449038996,-0.1877666795204434,0.6251786622479893,-0.40443249151680394,-0.6079878149546104,-0.6422251971760096,-0.1233355684418408,-2.7339152610746593,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,8
rbf(gamma=25.0),r=0.0,Principal Components (kDMD),3.0,1.0,2.5042148568741106e-05,1.7161918693951852e-05,37.8814576057576,8.061390658162688e-07,0.4775125176123709,0.13389774086635353,0.3,4.0,0.9507731780071801,0.02128881702260313,5.0,-0.1491955930410991,-1.2509166798610707,0.3541256709553932,-0.14747057239145261,-0.1877666209467449,0.44573836249658055,-0.40443249151680394,0.10463046117823491,-0.6345335624683053,-0.13456196411271473,-1.503722009597542,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,29
rbf(gamma=50.0),r=0.0,Principal Components (kDMD),3.0,1.0,0.000243363923973189,0.00015346622918695888,25.485245677077785,1.0599125112668504e-05,0.5365073757419708,0.07456551476878713,0.3,4.1,0.9506523134477594,0.021235473543477882,5.0,-0.1491952741846486,-1.3159630670457108,0.9558524163335222,-0.1474644631032319,-0.18776610363375157,-0.3121047245695275,-0.40443249151680394,0.3421698865558493,-0.6262215636849998,-0.13987033767196183,-0.9161305889623157,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,34
rbf(gamma=12.5),r=0.0,Reduced Rank,3.0,1.0,4.9283061828541655e-06,7.538376082189069e-06,386.2269309270582,1.3160068170735576e-08,0.23622565510627205,0.1615824917992817,0.4,3.9,0.940185553586675,0.02517096028876692,5.0,-0.14919562241713538,0.576949337760913,-2.10691522449594,-0.1474710670860459,-0.18776665747078158,0.7993522160736528,-0.013945947983338224,-0.13290896419938053,0.0935898983965902,0.25176204409318115,-1.6301471310139268,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,26
rbf(gamma=1.0),r=0.0,Reduced Rank,3.0,1.0,9.257933005911182e-11,9.023704751184967e-11,445.23050580691995,1.8125381869371334e-13,0.3075780705844567,0.16535476561583212,0.7,3.2,0.9270310278057817,0.04221280016433379,5.0,-0.14919562961473484,0.8865575792942716,-1.3791457526847322,-0.1474710752957525,-0.1877666860806854,0.8475349967044049,1.1575136826170582,-1.7956849418426866,0.9982422035039112,1.9476479083049454,-0.7814722847031071,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,37
rbf(gamma=0.5),r=0.0,Reduced Rank,3.0,1.0,2.664015581079948e-10,1.795008102134251e-10,510.06515287342427,5.223394922863162e-13,0.3118864561515484,0.12740925248424245,0.7,3.3,0.9317999526483352,0.035025641472461656,5.0,-0.149195629614481,1.2267630856482177,-1.3352017394721727,-0.14747107529553974,-0.18776668608034663,0.36286171367835385,1.1575136826170582,-1.5581455164650722,0.6702775985034136,1.2324316571026537,-0.6237380258158768,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,38
rbf(gamma=2.5),r=0.0,Reduced Rank,3.0,1.0,1.1060012114440286e-09,1.4361339267863926e-09,456.0061463085433,2.308691569999637e-12,0.2985771305608589,0.20149242815314766,1.0,3.2,0.912526328186557,0.02288219783779786,4.9,-0.14919562961325475,0.9431003754535924,-1.4709521662851368,-0.14747107529442532,-0.18776668607557734,1.3091168306911758,2.328973313217455,-1.7956849418426866,1.995747561278192,0.024000258072527737,-0.09776986201484329,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap, std_spectral_gap",True,,49
