kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),0,0,3,0.9578737704610991,5
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),1,0,4,0.9717014034425498,5
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),2,0,3,0.9850862340585738,5
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),3,0,3,0.9541378363790864,5
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),4,0,3,0.9732992375926592,5
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),5,0,4,0.9510689651285055,5
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),6,0,4,0.9415414200333334,5
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),7,0,3,0.9695154283349063,5
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),8,0,3,0.9523491442859181,5
rbf(gamma=0.5),r=0.0,Principal Components (kDMD),9,1,4,0.938393750725628,5
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),0,0,3,0.9540019789386578,5
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),1,0,4,0.9707195608632395,5
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),2,0,3,0.9829314876217818,5
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),3,0,3,0.9557896204532003,5
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),4,0,3,0.9731718645913979,5
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),5,0,3,0.9444582951234682,5
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),6,0,4,0.9400566587595345,5
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),7,0,3,0.9620696767441358,5
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),8,1,3,0.9475840726380526,5
rbf(gamma=1.0),r=0.0,Principal Components (kDMD),9,1,4,0.9379264523452097,5
rbf(gamma=2.5),r=0.0,Principal Components (kDMD),0,0,3,0.9520071619112527,5
rbf(gamma=2.5),r=0.0,Principal Components (kDMD),1,0,4,0.9698843715110779,5
rbf(gamma=2.5),r=0.0,Principal Components (kDMD),2,0,3,0.9765354856894913,5
rbf(gamma=2.5),r=0.0,Principal Components (kDMD),3,0,3,0.9545066238408988,5
rbf(gamma=2.5),r=0.0,Principal Components (kDMD),4,0,3,0.972325572850706,5
rbf(gamma=2.5),r=0.0,Principal Components (kDMD),5,1,3,0.9088950195479092,5
rbf(gamma=2.5),r=0.0,Principal Components (kDMD),6,0,4,0.938744398431409,5
rbf(gamma=2.5),r=0.0,Principal Components (kDMD),7,0,3,0.9601281629624995,5
rbf(gamma=2.5),r=0.0,Principal Components (kDMD),8,1,3,0.9467197816561654,5
rbf(gamma=2.5),r=0.0,Principal Components (kDMD),9,1,4,0.9378075969379084,5
rbf(gamma=5.0),r=0.0,Principal Components (kDMD),0,0,3,0.951906611882883,5
rbf(gamma=5.0),r=0.0,Principal Components (kDMD),1,0,4,0.9695150423776677,5
rbf(gamma=5.0),r=0.0,Principal Components (kDMD),2,0,3,0.9762007030049127,5
