kind,kernel,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag
N/A,linear,PCR,0,1,0.0,5.91043608084606,0.0,0.35435082451258504,0.993555397781694,0.9935554270240387,0.0
N/A,linear,PCR,0,2,0.0,0.0,0.0,1.006474804241696,0.993555397781694,2.9242344666909054e-08,0.0
N/A,linear,PCR,0,3,0.0,0.0,0.0,1.0009553654889145,0.993555397781694,-3.5339993416904974e-09,0.0
N/A,linear,PCR,1,1,0.0,6.498887778399179,0.0,0.45644061108779677,0.9914369713525168,0.9914369798398553,0.0
N/A,linear,PCR,1,2,0.0,0.0,0.0,1.0024410876862069,0.9914369713525168,-8.104409114418113e-09,2.520608680039946e-09
N/A,linear,PCR,2,1,0.0,7.02661828285089,0.0,0.415306332340607,0.9884613234156767,0.9884613373642638,0.0
N/A,linear,PCR,2,2,0.0,0.0,0.0,1.0002210957981232,0.9884613234156767,-1.394858704683742e-08,0.0
N/A,linear,PCR,2,3,0.0,0.0,0.0,1.0003430369134207,0.9884613234156767,7.464365537087997e-09,0.0
N/A,linear,PCR,3,1,0.0,6.45491163561048,0.0,0.3744885207234784,0.9911417109661793,0.9911417197066741,0.0
N/A,linear,PCR,3,2,0.0,0.0,0.0,1.000017769053459,0.9911417109661793,-8.74049481149079e-09,0.0
N/A,linear,PCR,3,3,0.0,0.0,0.0,1.0000239457420514,0.9911417109661793,8.201418579184674e-09,0.0
N/A,linear,PCR,4,1,0.0,6.411680193999446,0.0,0.3155024422655222,0.9933831896992902,0.993383200122023,0.0
N/A,linear,PCR,4,2,0.0,0.0,0.0,1.0000943834724627,0.9933831896992902,-1.0422732785445712e-08,0.0
N/A,linear,PCR,4,3,0.0,0.0,0.0,1.0007033697878005,0.9933831896992902,-4.410296282952724e-09,0.0
N/A,linear,PCR,5,1,0.0,7.031997830114895,0.0,0.5169722592051487,0.9890437830975047,0.989043795744168,0.0
N/A,linear,PCR,5,2,0.0,0.0,0.0,1.0000200525242733,0.9890437830975047,1.2646663224919907e-08,0.0
N/A,linear,PCR,5,3,0.0,0.0,0.0,1.0000312239561273,0.9890437830975047,1.5051070368059492e-09,0.0
N/A,linear,PCR,6,1,0.0,6.3634676521065625,0.0,0.39716115782838873,0.9919945009772871,0.9919945148991295,0.0
N/A,linear,PCR,6,2,0.0,0.0,0.0,1.0000072493025274,0.9919945009772871,1.392184238522942e-08,0.0
N/A,linear,PCR,6,3,0.0,0.0,0.0,1.0000399811099934,0.9919945009772871,-6.991996988410801e-09,0.0
N/A,linear,PCR,7,1,0.0,6.087512192901009,0.0,0.3975024162524279,0.9931152965274808,0.9931153262342957,0.0
N/A,linear,PCR,7,2,0.0,0.0,0.0,1.0015986935501213,0.9931152965274808,-9.261036459350313e-09,2.8226371662386332e-08
N/A,linear,PCR,8,1,0.0,6.785407953936737,0.0,0.3870804979912176,0.9902013403289822,0.9902013473501293,0.0
N/A,linear,PCR,8,2,0.0,0.0,0.0,1.0002606444526816,0.9902013403289822,-7.021147073372323e-09,0.0
N/A,linear,PCR,8,3,0.0,0.0,0.0,1.0001374415923443,0.9902013403289822,2.3502811877506494e-09,0.0
N/A,linear,PCR,9,1,0.0,5.630052371399914,0.0,0.40416956616741906,0.9947942799962977,0.9947943027406441,0.0
N/A,linear,PCR,9,2,0.0,0.0,0.0,1.0000130921923516,0.9947942799962977,-2.274434638103275e-08,0.0
N/A,linear,PCR,9,3,,,0.0,,0.9947942799962977,1.7354564249155118e-08,0.0
N/A,linear,Reduced Rank,0,1,,,3.379980528221284e-15,,0.9938480716990968,0.9938480917844793,0.0
N/A,linear,Reduced Rank,0,2,,,3.379980528221284e-15,,0.9938480716990968,-2.0085382415838355e-08,0.0
N/A,linear,Reduced Rank,0,3,,,3.379980528221284e-15,,0.9938480716990968,6.02940017640919e-32,0.0
N/A,linear,Reduced Rank,1,1,3.226585540478589e-16,0.14856476655679907,2.1718376538793977e-15,0.45644556265926645,0.9915132883772243,0.9915145952139526,0.0
N/A,linear,Reduced Rank,1,2,0.0,0.0,2.1718376538793977e-15,1.0008436164485308,0.9915132883772243,-1.3068367283190923e-06,0.0
N/A,linear,Reduced Rank,1,3,,,2.1718376538793977e-15,,0.9915132883772243,6.622680628950098e-08,0.0
N/A,linear,Reduced Rank,2,1,1.1950124365892844e-15,0.5614415409227038,2.1284717098512793e-15,0.41530724217854625,0.9885045834803761,0.9885047221687007,0.0
N/A,linear,Reduced Rank,2,2,0.0,0.0,2.1284717098512793e-15,1.000174228921301,0.9885045834803761,-1.386883246404931e-07,0.0
N/A,linear,Reduced Rank,2,3,2.4092250995643364e-14,11.319037450268361,2.1284717098512793e-15,1.000331131187158,0.9885045834803761,-7.502636337300228e-35,0.0
N/A,linear,Reduced Rank,3,1,5.722300305327308e-16,0.2659083779151321,2.1519819534056387e-15,0.3744880223794004,0.9911609762915446,0.9911613554064654,0.0
N/A,linear,Reduced Rank,3,2,0.0,0.0,2.1519819534056387e-15,1.0062161037319521,0.9911609762915446,3.7911492080902977e-07,0.0
N/A,linear,Reduced Rank,3,3,,,2.1519819534056387e-15,,0.9911609762915446,3.590064070331678e-36,0.0
N/A,linear,Reduced Rank,4,1,,,2.4080725532359532e-15,,0.9934022202205699,0.9934023038942364,0.0
N/A,linear,Reduced Rank,4,2,,,2.4080725532359532e-15,,0.9934022202205699,-8.367366651554871e-08,0.0
N/A,linear,Reduced Rank,4,3,5.138502049275705e-15,2.133865128926708,2.4080725532359532e-15,1.0008931901869917,0.9934022202205699,6.194568548327706e-35,0.0
N/A,linear,Reduced Rank,5,1,3.353528379818438e-16,0.20679734559142982,1.6216496252539017e-15,0.5169785449993027,0.989141258352221,0.9891414023054717,0.0
N/A,linear,Reduced Rank,5,2,0.0,0.0,1.6216496252539017e-15,1.0000001433112724,0.989141258352221,-1.439532506151706e-07,0.0
N/A,linear,Reduced Rank,5,3,6.324193660454445e-15,3.899852077765729,1.6216496252539017e-15,1.0001024040018167,0.989141258352221,3.604510933484024e-34,0.0
N/A,linear,Reduced Rank,6,1,,,2.4377425238427343e-15,,0.99213419951801,0.9921359051603361,0.0
N/A,linear,Reduced Rank,6,2,,,2.4377425238427343e-15,,0.99213419951801,-1.7056423261996328e-06,0.0
N/A,linear,Reduced Rank,6,3,0.0,0.0,2.4377425238427343e-15,1.0000437346121054,0.99213419951801,-3.6860157276146636e-07,0.0
N/A,linear,Reduced Rank,7,1,3.584081332642263e-16,0.13070895027534224,2.7420320682648666e-15,0.39751244783764234,0.993365062000222,0.9933655003177633,0.0
N/A,linear,Reduced Rank,7,2,0.0,0.0,2.7420320682648666e-15,1.0002945587731709,0.993365062000222,4.3831754122420083e-07,0.0
N/A,linear,Reduced Rank,7,3,0.0,0.0,2.7420320682648666e-15,1.0006743824179392,0.993365062000222,1.274744591071999e-07,0.0
N/A,linear,Reduced Rank,8,1,,,2.546997584399086e-15,,0.9902609401364733,0.9902611612363332,0.0
N/A,linear,Reduced Rank,8,2,,,2.546997584399086e-15,,0.9902609401364733,2.2109985995294926e-07,0.0
N/A,linear,Reduced Rank,8,3,2.442386347574763e-14,9.589276262117053,2.546997584399086e-15,1.0001841671887826,0.9902609401364733,-4.128577668806805e-34,0.0
N/A,linear,Reduced Rank,9,1,,,2.9604270997618938e-15,,0.9949003830689387,0.9949007935333589,0.0
N/A,linear,Reduced Rank,9,2,,,2.9604270997618938e-15,,0.9949003830689387,4.10464420280961e-07,0.0
N/A,linear,Reduced Rank,9,3,5.035588063156458e-15,1.7009667502238,2.9604270997618938e-15,1.0000028233500797,0.9949003830689387,-5.446367071705061e-35,0.0
