kernel,kind,method,eigenfunction_id,n,bias_mean,bias_std,dist_mean,trunc_mean,spurious_mean,spurious_std
rbf(gamma=0.07240700268061724),0.28962801072246896,PCR,1,1,0.03564035455805402,,7.702621894729584,0.004627041940412582,0.04465071478982699,
rbf(gamma=0.07240700268061724),0.28962801072246896,PCR,2,1,0.04968259136071881,,10.737441328722586,0.004627041940412582,0.3570912490865564,
rbf(gamma=0.07240700268061724),0.28962801072246896,PCR,3,1,0.07497366649845538,,16.203368688672434,0.004627041940412582,0.4161815512194102,
rbf(gamma=0.07240700268061724),0.28962801072246896,Reduced Rank,1,1,6.976140027556984,,25.183416444012806,0.2770132496941461,0.04423295649829195,
rbf(gamma=0.07240700268061724),0.28962801072246896,Reduced Rank,2,1,16.466373533954282,,59.442548513961036,0.2770132496941461,0.3575143684775583,
rbf(gamma=0.07240700268061724),0.28962801072246896,Reduced Rank,3,1,19.599417447274767,,70.75263536641204,0.2770132496941461,0.4165063296237541,
rbf(gamma=0.09371083611283573),0.37484334445134293,PCR,1,1,0.0242834596971129,,7.697842136400826,0.003154580110481037,0.04794252695259326,
rbf(gamma=0.09371083611283573),0.37484334445134293,PCR,2,1,0.03382597850005945,,10.722814864543537,0.003154580110481037,0.4211913954580329,
rbf(gamma=0.09371083611283573),0.37484334445134293,PCR,3,1,0.0517786805554185,,16.413810631527394,0.003154580110481037,0.44857613536911706,
rbf(gamma=0.09371083611283573),0.37484334445134293,Reduced Rank,1,1,11.25846144947323,,19.697075364913154,0.5715803610889454,0.04623865840793519,
rbf(gamma=0.09371083611283573),0.37484334445134293,Reduced Rank,2,1,29.060675091850367,,50.842675973830644,0.5715803610889454,0.4207612191604318,
rbf(gamma=0.09371083611283573),0.37484334445134293,Reduced Rank,3,1,41.737526098144976,,73.02127389161656,0.5715803610889454,0.44864893752195667,
rbf(gamma=0.10425210156081827),0.41700840624327307,PCR,1,1,0.05760272565351029,,7.767317950046942,0.00741603807439892,0.06485932752470251,
rbf(gamma=0.10425210156081827),0.41700840624327307,PCR,2,1,0.09009293992830554,,12.14839231197012,0.00741603807439892,0.3833602279611294,
rbf(gamma=0.10425210156081827),0.41700840624327307,PCR,3,1,0.11140599654560057,,15.022306442868443,0.00741603807439892,0.45753463785250054,
rbf(gamma=0.10425210156081827),0.41700840624327307,Reduced Rank,1,1,8.077087186338193,,37.798710375323644,0.2136868455599799,0.06486528191744943,
rbf(gamma=0.10425210156081827),0.41700840624327307,Reduced Rank,2,1,16.987443700409102,,79.4969089271379,0.2136868455599799,0.3837346063151206,
rbf(gamma=0.10425210156081827),0.41700840624327307,Reduced Rank,3,1,16.572920494270097,,77.55704592315783,0.2136868455599799,0.45573575167325625,
rbf(gamma=0.1189493139469915),0.475797255787966,PCR,1,1,0.025078219937885702,,7.675141875954725,0.003267460112555402,0.048207993059957224,
rbf(gamma=0.1189493139469915),0.475797255787966,PCR,2,1,0.03560282821036637,,10.896178372173688,0.003267460112555402,0.4932792982661331,
rbf(gamma=0.1189493139469915),0.475797255787966,PCR,3,1,0.05557273980987806,,17.007932123283354,0.003267460112555402,0.4521562608617149,
