kernel,kind,method,eigenfunction_id,n,bias_mean,bias_std,dist_mean,trunc_mean,spurious_mean,spurious_std
resolvent(beta=0.0001),cycle_12,Principal Components (kDMD),1,10,0.04488495326005358,0.07424200283095128,1.074706922539416,0.04185647465333443,0.001445372514149429,0.00024622496754187005
resolvent(beta=0.0001),cycle_12,Principal Components (kDMD),2,10,0.37432281780526283,0.004935650369854878,8.943020615327766,0.04185647465333443,0.7058510150987299,0.01683625044343203
resolvent(beta=0.0001),cycle_12,Principal Components (kDMD),3,10,0.37975804628579624,0.004844390450528048,9.072715266431695,0.04185647465333443,0.6987188649737749,0.016016357923938497
resolvent(beta=0.0001),cycle_12,Principal Components (kDMD),4,10,0.5196920664481319,0.0018330308823532777,12.416055944845038,0.04185647465333443,0.9293107593778407,0.006589696520863284
resolvent(beta=0.0001),cycle_12,Principal Components (kDMD),5,10,0.5221857910724224,0.0020894449538060677,12.475611550899044,0.04185647465333443,0.925244052846843,0.003970971041983407
resolvent(beta=0.0001),cycle_12,Reduced Rank,1,10,0.4667450052742748,0.25722928786264976,3.4015709661707874,0.1400907923973084,1.0454278680486453,0.2734131547165212
resolvent(beta=0.0001),cycle_12,Reduced Rank,2,10,0.22831357238861102,0.2396042715976847,1.6759138057164913,0.1400907923973084,0.4264757398107022,0.42261092869672023
resolvent(beta=0.0001),cycle_12,Reduced Rank,3,10,0.35951506782579384,0.18971625243750076,2.583231572344656,0.1400907923973084,0.5862606051629615,0.4067543360132035
resolvent(beta=0.0001),cycle_12,Reduced Rank,4,10,0.30658396636472396,0.08487702718232047,2.221901370754864,0.1400907923973084,0.8088766277685975,0.05977923318604075
resolvent(beta=0.0001),cycle_12,Reduced Rank,5,10,0.40000008079881244,0.13335848326470276,2.8989079239600635,0.1400907923973084,0.9621232938082855,0.05951479027231817
resolvent(beta=0.0001),path_12,Principal Components (kDMD),1,10,0.049592453100298424,0.10507085064278505,0.939995824195009,0.05275600885730358,0.003923196894867793,0.0003208844636169332
resolvent(beta=0.0001),path_12,Principal Components (kDMD),2,10,0.35023696831009266,0.0076388387816713026,6.638805270591813,0.05275600885730358,0.5175307165473182,0.03270461139575182
resolvent(beta=0.0001),path_12,Principal Components (kDMD),3,10,0.485663244137997,0.005268877375359118,9.205855039211567,0.05275600885730358,0.7285608717344104,0.011950035532045138
resolvent(beta=0.0001),path_12,Principal Components (kDMD),4,10,0.5887880629605987,0.004663961459597278,11.160632772631168,0.05275600885730358,0.8625213085034673,0.00684071075885142
resolvent(beta=0.0001),path_12,Principal Components (kDMD),5,10,0.6670193174744872,0.003736435565782347,12.643446400333223,0.05275600885730358,0.9541974791956502,0.009635220880329124
resolvent(beta=0.0001),path_12,Reduced Rank,1,10,0.5179208586691955,0.3906061232335097,3.6185336427352235,0.14458634076835403,0.6635831856679161,0.44713128993695034
resolvent(beta=0.0001),path_12,Reduced Rank,2,10,0.11430070151266217,0.16164560226796576,0.7852781498833165,0.14458634076835403,0.24354308584464612,0.32171121510315964
resolvent(beta=0.0001),path_12,Reduced Rank,3,10,0.28469125200837786,0.061218185781031435,1.9653797940390816,0.14458634076835403,0.6988839147303997,0.1019564490752196
resolvent(beta=0.0001),path_12,Reduced Rank,4,10,0.38029008540794923,0.16735419026404552,2.640912667423866,0.14458634076835403,0.8194569771017968,0.13520414183204343
resolvent(beta=0.0001),path_12,Reduced Rank,5,10,,,,0.14458634076835403,,
resolvent(beta=0.0003),cycle_12,Principal Components (kDMD),1,10,0.0650293563840676,0.056034712185010896,1.553529008051279,0.041852309493321284,0.002503475543594388,0.0004265114664440402
resolvent(beta=0.0003),cycle_12,Principal Components (kDMD),2,10,0.37446933621406087,0.004527822111566966,8.947417208303683,0.041852309493321284,0.705851220392435,0.016836328260900934
resolvent(beta=0.0003),cycle_12,Principal Components (kDMD),3,10,0.38015115985575026,0.0049322159533867335,9.08301051457363,0.041852309493321284,0.6987189280079469,0.016016425596380376
resolvent(beta=0.0003),cycle_12,Principal Components (kDMD),4,10,0.5198876969364262,0.002142114544330085,12.421950138507736,0.041852309493321284,0.9293116675827209,0.006589217561159075
resolvent(beta=0.0003),cycle_12,Principal Components (kDMD),5,10,0.5220816405121608,0.002172188589509928,12.474354615817154,0.041852309493321284,0.9252448874629968,0.003971292390874612
resolvent(beta=0.0003),cycle_12,Reduced Rank,1,10,0.5554664336238073,0.5730645256213645,3.8990483865266854,0.1400771628097948,0.4024529468206281,0.48241514279325154
resolvent(beta=0.0003),cycle_12,Reduced Rank,2,10,0.3396931097927214,0.28482378237820993,2.4359927973947797,0.1400771628097948,0.2866998878995129,0.37075232829793625
resolvent(beta=0.0003),cycle_12,Reduced Rank,3,10,0.3396249535631397,0.1686101863464449,2.4046408629799076,0.1400771628097948,0.5253279827245647,0.3357250939637612
resolvent(beta=0.0003),cycle_12,Reduced Rank,4,10,0.5577349699994996,0.23731386869490098,3.927781375767656,0.1400771628097948,0.7680595785471862,0.13311265771073316
resolvent(beta=0.0003),cycle_12,Reduced Rank,5,10,0.7054692610218724,0.24419009381371098,5.038965204753612,0.1400771628097948,0.9931650535543802,0.009359322822654828
resolvent(beta=0.0003),path_12,Principal Components (kDMD),1,10,0.05549303504932144,0.09098059745260545,1.0495425871147928,0.052748665307078155,0.0067952104533599515,0.0005557995885714881
resolvent(beta=0.0003),path_12,Principal Components (kDMD),2,10,0.35077734236879204,0.004571125580411417,6.649983395743763,0.052748665307078155,0.5175304979923856,0.03270481712671152
resolvent(beta=0.0003),path_12,Principal Components (kDMD),3,10,0.4864508234798516,0.004586145215901272,9.222123128746919,0.052748665307078155,0.7285606599842113,0.011951450335248585
resolvent(beta=0.0003),path_12,Principal Components (kDMD),4,10,0.5889576439141677,0.004150365535159,11.165388005743416,0.052748665307078155,0.8625223996561651,0.006841142027718784
resolvent(beta=0.0003),path_12,Principal Components (kDMD),5,10,0.6671615241643268,0.0035265429223133534,12.64789569660322,0.052748665307078155,0.9541987503605738,0.00963593716562764
resolvent(beta=0.0003),path_12,Reduced Rank,1,10,0.14084946989523145,0.2397462306353457,0.9985927503281762,0.14458236384201723,0.01612633436577443,0.00509625509229681
resolvent(beta=0.0003),path_12,Reduced Rank,2,10,1.6004736145895269,0.39624584842504545,11.10095344686569,0.14458236384201723,0.45310274559316255,0.03845110354540999
resolvent(beta=0.0003),path_12,Reduced Rank,3,10,0.536740041124254,0.5809176136768623,3.667619881376602,0.14458236384201723,0.5209668056665829,0.03614896112483742
resolvent(beta=0.0003),path_12,Reduced Rank,4,10,0.34666755994661475,0.14907642445682337,2.389740009750271,0.14458236384201723,0.7302442128638105,0.011741827271054182
resolvent(beta=0.0003),path_12,Reduced Rank,5,10,0.4689276456514783,0.15190663845961364,3.2392793518151914,0.14458236384201723,0.8699648727856831,0.013072102270702558
resolvent(beta=0.001),cycle_12,Principal Components (kDMD),1,10,0.050098032194089724,0.027620216073665625,1.1968760949850699,0.04183773799341355,0.004570808200515569,0.0007789384644715178
resolvent(beta=0.001),cycle_12,Principal Components (kDMD),2,10,0.37444537000893685,0.004447204513376522,8.94997359584555,0.04183773799341355,0.7058519397003089,0.016836600924761996
resolvent(beta=0.001),cycle_12,Principal Components (kDMD),3,10,0.3801182865714846,0.004728328073312645,9.085390806658653,0.04183773799341355,0.6987191497290045,0.016016661571189583
resolvent(beta=0.001),cycle_12,Principal Components (kDMD),4,10,0.5199011485263447,0.002059259011197112,12.42660343653525,0.04183773799341355,0.9293148478476017,0.006587542937219644
resolvent(beta=0.001),cycle_12,Principal Components (kDMD),5,10,0.5221252932003934,0.0020166812613365273,12.479750905563822,0.04183773799341355,0.9252478097789366,0.003972419797908095
resolvent(beta=0.001),cycle_12,Reduced Rank,1,10,0.3403817551977718,0.4807926706448868,2.405380471052775,0.14005088228042636,0.06063341638518051,0.14274892582584778
resolvent(beta=0.001),cycle_12,Reduced Rank,2,10,0.956194810206781,0.6780769871652393,7.015111259677127,0.14005088228042636,0.5536543877925962,0.29287413513033494
resolvent(beta=0.001),cycle_12,Reduced Rank,3,10,0.6786450657355242,0.4984063978385734,4.842352598717001,0.14005088228042636,0.7146314547769244,0.015375470984956787
resolvent(beta=0.001),cycle_12,Reduced Rank,4,10,0.4224822700708833,0.03477900280632744,2.957591421871794,0.14005088228042636,0.6917078029187267,0.008360111732625557
resolvent(beta=0.001),cycle_12,Reduced Rank,5,10,0.6802860880873685,0.23667039066552018,4.836532785699968,0.14005088228042636,0.9414165758558557,0.00800764905138646
resolvent(beta=0.001),path_12,Principal Components (kDMD),1,10,0.06722940558269311,0.015147500894767662,1.2750892587918945,0.05272297879583239,0.012406517152364778,0.0010148191923632993
resolvent(beta=0.001),path_12,Principal Components (kDMD),2,10,0.3511793121986365,0.0057696043163519214,6.660927114685326,0.05272297879583239,0.5175298036670004,0.03270552754261721
resolvent(beta=0.001),path_12,Principal Components (kDMD),3,10,0.48672946378361004,0.005050089848708441,9.231883321508374,0.05272297879583239,0.7285599364921793,0.011956403235354037
resolvent(beta=0.001),path_12,Principal Components (kDMD),4,10,0.588969495062209,0.0040597293160565305,11.171058124124865,0.05272297879583239,0.8625262391305123,0.006842650631910326
resolvent(beta=0.001),path_12,Principal Components (kDMD),5,10,0.6670650510363145,0.003428134789190882,12.652230008672765,0.05272297879583239,0.9542032060577815,0.00963844328639215
resolvent(beta=0.001),path_12,Reduced Rank,1,10,0.15689258506073372,0.07587485498020041,1.0825311057084657,0.14456842017204363,0.011559078954291282,0.001424373796169805
