kernel,kind,omega,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag,gap
hermite(good),omega=0.0,0.0,Principal Components (kDMD),0,1,5.978238161956435e-06,6.686572548887624,8.940661479775573e-07,0.0003956848773121375,0.007050194136692611,0.9999999998360991,0.0,0.007050194136692611
hermite(good),omega=0.0,0.0,Principal Components (kDMD),0,2,2.0039076614254887e-05,22.413416120926552,8.940661479775573e-07,0.35906526451762744,0.007050194136692611,0.9929498056994065,0.0,0.007050194136692611
hermite(good),omega=0.0,0.0,Principal Components (kDMD),0,3,4.1479022261107624e-05,46.39368390687444,8.940661479775573e-07,0.5335155443456202,0.007050194136692611,0.9696904284111545,0.0,0.007050194136692611
hermite(good),omega=0.0,0.0,Principal Components (kDMD),0,4,3.7769723610430456e-05,42.2448872444934,8.940661479775573e-07,0.6034388311293452,0.007050194136692611,0.915218018986428,0.0,0.007050194136692611
hermite(good),omega=0.0,0.0,Principal Components (kDMD),0,5,8.213776669445825e-05,91.86989897812354,8.940661479775573e-07,0.6656283519041719,0.007050194136692611,0.8529112431506405,0.0,0.007050194136692611
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),0,1,0.7351430411239661,7.915920677879378,0.09286892466953142,0.15834099082451214,0.009793480428756052,0.9997000478648677,0.0,0.009793480428756052
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),0,2,0.6666394976735427,7.178283802097848,0.09286892466953142,0.3829778340977606,0.009793480428756052,0.9899065674361116,0.0,0.009793480428756052
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),0,3,0.7026711086571976,7.566267308010847,0.09286892466953142,0.5061817392757653,0.009793480428756052,0.9694839553265278,0.0,0.009793480428756052
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),0,4,0.6975867023089842,7.511519109231696,0.09286892466953142,0.6014423221784782,0.009793480428756052,0.9361986090344784,0.0,0.009793480428756052
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),0,5,0.7928604567297839,8.53741399021396,0.09286892466953142,0.6438004546831376,0.009793480428756052,0.8860485612051783,0.0,0.009793480428756052
hermite(ugly),omega=0.0,0.0,Principal Components (kDMD),0,1,0.0,9.05520467262247,0.0,0.6711241807003027,0.9197518457467492,0.9197518512277277,0.0,0.9197518457467492
hermite(ugly),omega=0.0,0.0,Principal Components (kDMD),0,2,0.0,0.0,0.0,0.9915404643783106,0.9197518457467492,5.4809785880815435e-09,0.0,0.9197518457467492
hermite(ugly),omega=0.0,0.0,Principal Components (kDMD),0,3,,,0.0,,0.9197518457467492,2.314109181455537e-09,0.0,0.9197518457467492
