kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
hermite(ugly),omega=0.0,Principal Components (kDMD),3.0,1.0,0.0,0.0,4.681435028552114,0.0,0.8127842026572518,0.020426891434545954,,3.2,0.917077108422433,0.008387222413226246,5.0,-0.49126971371984723,-0.7481902435614425,1.3903519365147958,-0.5272557390832673,-0.48718142959489374,-0.3716362505603874,0.0,-0.5683259042422286,-1.4125263649126591,-1.602029397045506,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,5
hermite(good),omega=0.0,Principal Components (kDMD),3.0,1.0,1.2288393006463678e-05,5.852578860387718e-06,20.251307184904604,6.386289987779496e-07,0.2124532679935452,0.018677279735120813,,4.0,0.009129497992713398,0.0023080824768256488,5.0,-0.491262619601462,0.28730027455680957,-0.8376702260843842,-0.5272500974469134,-0.4871740138915851,-0.4600762378841144,0.0,0.38885456606047186,0.7095975970014937,-0.7984168182351996,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,10
hermite(bad),omega=0.0,Principal Components (kDMD),3.0,1.0,0.424828321206696,0.25977718233857483,7.838972928954754,0.05490552667332153,0.28069826279839893,0.042772059574562954,,4.6,0.011111717107218522,0.001416128284691655,5.0,-0.2460153177655715,-0.5381949061795646,-0.5843909893632978,-0.04222136717715579,-0.15802217236178492,0.7578751648576518,0.0,1.106739918787497,0.7049646042689454,0.21947357214892443,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,16
hermite(ugly),omega=0.0,Reduced Rank,3.0,1.0,2.0316522977994225e-16,8.787833158750329e-17,0.37182144885415447,4.942285048417008e-16,0.8180009513032431,0.016438837449789533,,2.0,0.9170904079162417,0.008389515958685175,4.4,-0.4912697137198471,-1.034805570502979,1.4097129771156587,-0.5272557390832628,-0.4871814295948936,-0.5732258055308316,0.0,-2.00409660969628,-1.4125574494974624,-3.355467319875241,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,2
hermite(good),omega=0.0,Reduced Rank,3.0,1.0,0.03414418180156592,0.017305986602535448,50.32417188777706,0.0006962541659479628,0.21387032011267976,0.021668961871084125,,4.0,0.009056983087882674,0.002318742538448045,5.0,-0.47155819670207827,2.2873273743151294,-0.8324110875914486,-0.5211050431054856,-0.4652533077926009,-0.30885163743811334,0.0,0.38885456606047186,0.7097670843324472,1.2730174403878767,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,20
hermite(bad),omega=0.0,Reduced Rank,3.0,1.0,5.190124532071929,2.339366463953247,18.30259782504615,0.3338166260432095,0.29399185548575657,0.10571531976566641,,4.2,0.010094258279993894,0.0018786701590131532,5.0,2.505001470426211,0.15769933471361178,-0.5350541695897326,2.4216739471400754,2.4769900990165037,3.9395532110459897,0.0,0.6281496836361472,0.70734268614582,5.9244404633448084,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,24
hermite(ugly),omega=0.5,Principal Components (kDMD),3.0,1.0,0.0,0.0,4.718707081385456,0.0,0.8180322513405176,0.015380729534434812,,3.3,0.9153118770329328,0.005993443749016008,5.0,-0.49126971371984723,-0.745711426978226,1.4098291416720907,-0.5272557390832673,-0.48718142959489374,-0.6267114164534457,0.0,-0.4486783454543915,-1.4084005323349316,-1.5221316917015584,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,6
hermite(good),omega=0.5,Principal Components (kDMD),3.0,1.0,1.041061217904593e-05,5.526898346503141e-06,20.44471527850761,5.263219288410014e-07,0.22009747136216745,0.02185905063195705,,4.0,0.01033920479407303,0.0032756071842328853,5.0,-0.4912637036487808,0.3001630806891982,-0.8093001163044403,-0.5272510895654201,-0.4871744265558348,-0.2992429639207219,0.0,0.38885456606047186,0.7067701785903799,-0.7183909763102103,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,12
hermite(bad),omega=0.5,Principal Components (kDMD),3.0,1.0,0.33557033376529427,0.21927416240117142,7.985153506349459,0.04272912304556771,0.2821024114802542,0.04712845756437659,,4.4,0.011847351340555779,0.002661959282668563,5.0,-0.2975441653053392,-0.5284730150615627,-0.579179739697294,-0.14978748380513032,-0.209342861262466,0.9780839021007881,0.0,0.8674448012118227,0.7032452241903631,-0.06883798845017652,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,14
hermite(ugly),omega=0.5,Reduced Rank,3.0,1.0,1.521814679957796e-16,7.134509952214091e-17,0.3252141488824562,4.680275166233437e-16,0.8110760676655562,0.012678938390192277,,1.7,0.9153341569501009,0.0059916380790487915,4.3,-0.4912697137198472,-1.0379052373924142,1.384012495385811,-0.5272557390832632,-0.4871814295948937,-0.7632825051279652,0.0,-2.363039286059793,-1.4084526066457714,-3.7886718983314753,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,1
